,Genes,S001,S002,S003,S004,S005,S060,S006,S007,S008,S009,S062,S010,S011,S021,S012,S013,S063,S014,S015,S023,S016,S017,S064,S018,S019,S026,S020,S022,S024,S025,S030,S053,S032,S033,S067,S034,S036,S068,S038,S039,S041,S069,S043,S091,S045,S070,S046,S047,S092,S048,S049,S071,S050,S093,S054,S055,S057,S094,S073,S074,S080,S081,S096,S075,S085,S086,S088,S089,S072,S082,S035,S078,S077,S095,S029,S037,S079,S061,S066,S031,S052,S076,S083,S087,S090,missing,mean_intensity
4936,A1BG,9.48760905309159,11.9094973532795,9.4370137366477,10.6239145103945,11.4506346305213,10.3947864188207,11.7545270763118,9.43018489551077,11.7884360789262,8.49695021561539,10.7871995447127,11.4803101374347,11.4986955619326,9.99117001062647,10.6792419457428,10.6436099569137,8.69255846783997,9.55607164263532,10.6709783746116,11.9854324735649,11.5205465014613,10.3509173482059,9.73580143491677,10.6607954783655,9.48803799259044,10.6107330355041,11.6273638541749,9.63204973665129,10.2056750040981,9.17693805925064,11.8021599484771,8.52486950322016,11.246061938836,8.71457340826174,11.1250153592979,10.6881415069112,9.78430082992704,9.54919332905579,9.86621113676931,9.61278420576942,10.076773975645,10.7945638081559,9.6104604285207,7.35417561810471,10.3868375088548,9.23920501072103,10.438557525046,10.4603982796864,11.4003798313221,9.90231655005175,9.75061164019917,8.36929642342711,11.0050090277381,10.5643756473799,10.4284923051446,9.76542650681048,9.43420975385907,8.03577262620703,10.0449964469555,7.50403754277703,11.438123538117,,8.80818782856165,9.96563258944838,11.3444436123104,9.40617003916031,10.2594061890837,10.9628222308296,9.48024544723896,9.74912170861246,8.47510335472292,11.1886935280639,10.0826757789281,11.6571664761121,11.0913647474443,12.6220243689303,11.3117632344656,10.559157537449,9.30058005128365,10.6368955190326,9.89120855672155,10.2594494591378,9.65218200393136,12.1226041829095,8.77333936709819,0.011764705882352941,10.097611931870128
4409,A1BG,8.65334981549011,9.89445804313357,,8.68949898365896,9.66724333816599,8.282880536074,9.41567176002296,7.64678693753686,9.54109316388689,,8.49462440966761,10.2453094428649,9.87835274984575,8.82608514505977,8.96335218902466,9.89267432031953,8.0450234609209,8.31904338343518,9.67460810655942,10.1089345719958,9.77744791938217,8.80776068878725,8.41698246810495,9.18969391446417,8.3734448829987,8.46048677022941,9.80990346963184,8.08559397413996,9.40668017894949,7.67261807168287,9.08020327513106,,9.23598722458526,7.88853759230065,9.26711093265186,8.58399608814384,8.19043007048608,7.67353378564985,8.40407829180715,,8.16050026565336,8.20058466777139,7.72267747499283,,9.25025395088824,8.16070705715152,8.70369074331305,8.12515920798472,8.70336522524543,8.06852774408242,8.24822995249384,7.08682576608894,8.79092650083976,8.94447087202732,8.44095058500025,,,,8.61517599830448,,8.95192314221279,,,8.84336812658088,9.45209607337242,7.69772775450138,8.22056245957974,9.07724035626828,,,6.71430002540617,9.04979310624964,7.86188561158917,9.05728026196752,9.14164608902446,10.3539586067701,9.64312471478629,8.69756399817347,7.92579932776143,8.56022371234092,8.11553579994692,8.47165726174141,7.85886251929778,10.2596841855503,,0.16470588235294117,8.60978423589029
3503,ACP1,10.6583709688196,9.9866085488759,9.72703470619371,10.9535703287667,8.92697335607774,10.1028761945197,6.97170824372638,10.4362169737456,7.10294869591794,9.50800049736079,11.0998002544946,10.4687387351957,10.4496451189772,10.6115220688916,11.0890023225029,10.8444962185805,10.1843252308831,10.6321076227842,11.0058288659726,10.9481043993295,8.63409926224918,10.8798843464176,10.4036005904071,10.8027454502908,9.52676613690679,10.6512534875729,10.3053264749372,10.694605927043,10.6129421859712,10.2883122813797,11.9614935467587,9.09195149776395,9.72889531863827,9.51503034028856,9.6591070942745,10.3412187133669,10.6284153617197,10.7913084828587,10.1241900140529,10.3983221344449,9.95829790982435,10.7837728707509,10.4325439425405,7.70856238878717,10.1769081109655,10.915848296845,10.8795744616747,10.3117143107567,10.4452104865153,10.2852799808202,10.8149453229085,10.7663043417085,9.91999184101038,9.23526827235726,9.60465980702916,10.1759529633451,10.4262756624242,9.25085451322799,10.3392384512588,9.08455657406585,7.72797407206869,,9.37033544444082,10.9464879600702,10.2296149374883,9.44457841399936,10.0950584416304,10.4425826573235,10.1030090420076,10.1167683203194,10.2018718237724,9.68668454899211,10.5178765105081,8.33994723046514,10.5385436962654,9.85460320965968,10.0766827099056,10.3678689691492,10.6656333001165,10.5807523003173,10.8106416573669,10.2699235322697,10.4252498394466,8.44221278664095,8.40627756709612,0.011764705882352941,9.952188849235023
8731,ACP1,8.17377192241483,8.04024204796633,,7.10476718373747,,7.35050930052563,,7.83496052432858,,,7.95159480716052,,8.09087475347542,6.80352271628806,8.24880867320677,8.17255912788687,7.48079591916391,7.51012989471546,7.37690668129326,8.6029375096267,,7.35080011595816,7.79700226951775,7.109996809534,7.48936114185657,8.28681899175719,7.87826775857781,7.06246417485161,,6.86055850730514,8.55199298589213,7.55488771119519,,7.43469949309216,7.26090091743637,8.10152337559498,7.97563226909122,7.93191434282204,7.30775214757247,8.16288115071363,6.92212629388888,7.46396792799821,8.62992104464416,,7.08174577780796,7.52078055276662,8.60289976934093,8.0005936401836,8.19811013288166,7.90593693247461,8.01328301851897,8.74868542782026,7.1439915113375,,,8.24646020522403,8.24181507584193,,7.82334196233636,,,,,7.87391968782654,8.05309219950387,8.24831451461725,7.3692836856356,7.71402525775953,7.10854713413615,7.29428203247619,8.15879961017274,,,,7.53259453781187,,8.14814827280176,7.2695769495774,7.7845776941073,,8.56428242251303,7.97019547888993,7.90657301138813,,,0.2823529411764706,7.656162256903511
1829,ACTN1,12.8089388060572,11.414536832681,13.6085824409939,11.4823980580608,8.24865168506192,10.8763429420988,7.84819052972539,9.91762041938121,7.07977598876365,7.64451672378671,10.9169355068316,11.0900677214775,10.6627036131461,9.93913504999728,11.4949163790709,10.6853689882206,12.2239639249384,11.0830240221956,10.6883528086103,10.5396827826395,10.0526078698034,10.2740168012382,11.9235633446268,10.7151638601963,11.7605281177909,12.123738836426,11.4887586009207,11.1430698024144,10.2984396011884,11.1540870752922,10.5126347081826,11.3677595910011,9.60163991756353,9.9101313728051,11.2407564395777,10.7176496182439,10.6056777150312,9.97259029284594,11.55347185249,9.69071828493538,11.7123967472972,11.7286025510238,12.6328449281831,7.46575374535935,10.2938878115934,10.0008071616804,11.5560753512158,10.2367382869538,10.9945789107043,9.9280020755565,10.3179252755211,12.5570591869484,11.382071718991,10.0917558194756,12.0245049957876,10.7652322048514,9.93700399363618,9.21218673924495,10.937068521822,11.5896283661993,7.09856885497022,7.28470263296217,10.8123210513836,10.5470944959072,10.5083111639658,10.8327148665931,10.726072378521,11.4865385073885,11.4564041704825,10.3695529781036,13.4767030059355,9.2476231269474,12.6992049963412,7.1861318875687,10.7843858210233,9.20719445751921,10.1975400367693,10.1048819571786,12.6024796791623,10.5773203475404,11.9374750418951,10.3472207107213,10.9249285758211,9.18831134253679,8.95609614818165,0.0,10.468425715741594
1828,ACTN1,7.66209658144659,,,7.78544012309492,,,,7.45095176801198,,,,,,,7.60217531735393,,7.25414329566157,7.55060471662827,,,,,,7.16239964522435,,,,,,,,,,,8.415999943235,,,7.39115255467755,,,,,7.39518521117564,,,7.86440298343894,,,,,7.40631758051268,,7.3570652794553,,7.72074289277953,7.1607234050844,,,7.37087519732417,,,,,,7.59570975561707,,,7.96959127247346,,,7.10791861364007,,,,,,7.15289801876556,,7.00723221330344,,7.33045108412946,,,,,0.7411764705882353,7.193706692331397
3130,ADAR,8.45800773940061,8.69759601552135,8.81501365943372,9.19395472808221,,8.11560976425665,,8.03672704009017,,,8.98664196884805,8.35847759462482,9.09015627925159,9.410934636028,9.262184384057,8.34752408675698,7.94552305782932,8.33991307634826,9.44324179182637,8.90228596003459,6.6773597473716,9.2624863518654,8.49803184208684,8.35749379633943,8.94199188795153,9.1342737987764,8.62085150366184,8.85545837784727,8.04030961297472,9.63877649505649,7.83648785137866,7.03822070791735,7.14754359603927,6.97843299485755,6.95551135656294,8.12130243894651,8.97240185502078,10.0617008922891,8.7080634923576,7.63085805480019,8.879178308824,9.4369707037252,8.49169690313038,,8.80593571381088,8.69349041428116,8.4742291119792,8.4943764498949,9.31206516761614,8.00230484713165,8.29415354852007,8.53677265767623,9.37301472303761,7.72200578702054,8.97254952006966,8.19205729468256,8.48721284745567,8.57089928895434,9.09242601305175,7.90196349276527,,,8.39521200096233,7.69987184817642,8.74258752163465,8.872029182451,8.63892102521588,8.6271346841671,9.03100908692573,7.9420139476224,8.71646333212041,7.66649117165432,8.81332856754279,,10.0523554484959,7.70618306129229,7.40415260424374,9.27509951640996,9.01147085765315,9.93789726170432,9.42410767240516,9.21702425135111,9.09393726994929,7.01067074442559,7.92508243449869,0.09411764705882353,8.434766825231788
9150,ADAR,,,,5.90146023363097,,,,,,,7.24289090982395,,7.58919680048259,,6.73586024406033,,,6.8046601687307,6.68476438790227,7.68997011752451,,7.7959373141077,,,,7.66048664118554,,6.70000999649624,,7.5940862512708,,,,,,,,7.31062292701944,7.56575414539347,,7.14795426510016,7.55114464216443,,,6.84937973475533,,,,,,6.53131384913141,,7.60304940664471,,7.51237295358245,,,,6.95500052274324,,,,,,,,7.53983786797118,7.53091159758525,6.78533108681846,,,,,,7.56834791055894,,,,7.26723602578325,7.92744686475982,7.06591842731129,6.9520860023088,,,,0.6705882352941176,6.990814466556598
7679,ADARB1,8.20858976120873,8.15041135271362,8.44767045474096,7.94922104529654,,,,,,,7.78129724484226,,8.22142421360176,7.97167632096358,8.4629478144284,7.81550199430931,8.05967548928737,7.44168558939357,8.38598820147352,8.02067155298702,,7.70684050397932,8.87192191591605,8.17331831547582,8.12883393758725,8.97973092472309,7.97435891182388,7.10925905851136,7.32286368594845,8.16283972324319,,7.75486833253329,,7.49889195275593,,,7.97118175626746,7.8309403131177,7.9077065438598,,8.30529376484273,8.51207987350449,8.70978309344973,8.79648177563886,8.0308291335328,7.91592243771117,8.07907756526117,7.09847067678967,8.12293893809131,,,8.97543690120923,8.48417419728394,,8.39054448655246,,7.44874882426044,7.6974236336351,8.06669433972447,8.29360816826623,,,7.34189329522065,,7.65908982281739,8.01107284434469,8.21122710108286,8.03593263417117,7.84228144119532,7.45408289436403,9.19020576864429,,9.32136963267226,,8.45871888494315,,,7.95085957561755,9.02950675116202,8.35650088393384,8.17062727067034,7.520724566214,8.30923020141046,,,0.3058823529411765,7.973450510702471
8489,ADARB1,,7.24770792659033,,7.12272377863729,,,,,,,,,7.26613455813548,7.17968788961817,,,7.09645945194688,6.94440921792915,7.53345413699278,6.8749052352612,,,7.74750933324131,,,8.28030569750591,,,,,,,,,,,,,,,7.46630818908502,,7.90325579000776,,,7.0135217028893,7.55965603384944,,,,,8.33539149248651,7.43921567354647,,7.55544168999167,7.1754169448905,,,,,,,,,,,,,7.3673854290511,,8.08376714687956,,8.09705523148809,,,,,,7.99500967274309,7.53067146544001,,,7.2871479370745,,,0.7176470588235294,7.232807547364201
