gene1,gene2,combined_score
A1BG,AHSG,849
A1BG,AMBP,716
A1BG,GRB2,992
A1BG,SERPINA1,735
A2M,AHSG,803
A2M,AMBP,871
A2M,APOA1,998
A2M,APOA2,772
A2M,APOE,975
A2M,APOH,752
A2M,APP,905
A2M,CFB,726
A2M,CLU,896
A2M,CP,889
A2M,CPB2,805
A2M,CTSB,768
A2M,ELANE,735
A2M,F2,700
A2M,FGA,832
A2M,FGB,841
A2M,FGG,761
A2M,FN1,851
A2M,HP,997
A2M,HPX,824
A2M,HRG,762
A2M,HSPA5,972
A2M,KLKB1,957
A2M,KNG1,927
A2M,LRP1,998
A2M,MMP2,953
A2M,MMP9,845
A2M,ORM1,809
A2M,ORM2,808
A2M,PLG,779
A2M,PROC,931
A2M,SERPINA1,980
A2M,SERPINA3,929
A2M,SERPIND1,771
A2M,SERPINE1,804
A2M,SERPINF1,880
A2M,SERPINF2,968
A2M,SERPING1,905
A2M,TGFB1,910
A2M,TIMP1,736
A2M,TTR,905
ABI1,ACTR2,847
ABI1,ACTR3,839
ABI1,ARPC1B,716
ABI1,ARPC2,815
ABI1,ARPC3,781
ABI1,ARPC5,747
ABI1,ARPC5L,704
ABI1,BRK1,999
ABI1,CDC42,816
ABI1,CYFIP1,999
ABI1,GRB2,730
ABI1,HNRNPK,892
ABI1,NCK2,901
ABI1,RAC2,700
ABI1,SRC,878
ABI1,VASP,848
ABI1,WAS,894
ABI1,WASF2,999
ACAA1,DLST,852
ACAA1,ECHS1,977
ACAA1,ECI1,825
ACAA1,ETFA,729
ACAA1,HSD17B10,969
ACAA1,SCP2,982
ACAN,ADAMTS1,860
ACAN,BGN,928
ACAN,CD44,761
ACAN,COL1A1,835
ACAN,COMP,980
ACAN,FBLN1,954
ACAN,FBLN2,931
ACAN,FN1,994
ACAN,GAPDH,715
ACAN,HLA-DRA,798
ACAN,HSPG2,891
ACAN,HTRA1,843
ACAN,LUM,920
ACAN,MMP2,804
ACAN,MMP9,802
ACAN,OGN,714
ACAN,OMD,716
ACAN,PRG4,900
ACAN,SDC4,707
ACAN,SPP1,736
ACAN,TGFB1,725
ACAN,TNC,894
ACAN,VCAN,988
ACO1,ALAD,711
ACO1,FTL,799
ACO1,GLRX3,883
ACO1,HSPA9,808
ACO1,HSPD1,771
ACO1,IDH1,998
ACO1,MDH2,893
ACO1,SOD2,937
ACO1,TFRC,888
ACO1,TPI1,724
ACP1,G6PD,783
ACP1,GET3,897
ACP1,GLRX,851
ACP1,SAA4,711
ACP1,TKT,760
ACTB,ACTBL2,873
ACTB,ACTG1,999
ACTB,ACTN1,985
ACTB,ACTN4,971
ACTB,ACTR1A,977
ACTB,ACTR2,968
ACTB,ACTR3,957
ACTB,ALDOA,784
ACTB,ANXA1,700
ACTB,ANXA2,767
ACTB,APP,801
ACTB,ARPC1B,958
ACTB,ARPC2,962
ACTB,ARPC3,968
ACTB,ARPC4,961
ACTB,ARPC5,952
ACTB,ARPC5L,945
ACTB,BCL2L1,784
ACTB,CAP1,860
ACTB,CAPZA1,964
ACTB,CAPZB,976
ACTB,CASP3,989
ACTB,CCT2,905
ACTB,CCT4,702
ACTB,CCT5,865
ACTB,CCT7,722
ACTB,CD44,728
ACTB,CDC42,975
ACTB,CDH1,833
ACTB,CDH2,784
ACTB,CDH5,746
ACTB,CFL1,999
ACTB,COX4I1,763
ACTB,DCTN1,971
ACTB,DCTN2,950
ACTB,DCTN3,896
ACTB,DIAPH1,934
ACTB,DSTN,910
ACTB,DYNLRB1,853
ACTB,ENG,726
ACTB,ENO1,869
ACTB,FLNA,750
ACTB,FN1,886
ACTB,GAPDH,975
ACTB,GRB2,814
ACTB,H4C1,899
ACTB,HPRT1,795
ACTB,HSP90AA1,967
ACTB,HSP90AB1,911
ACTB,HSPA4,720
ACTB,HSPA5,808
ACTB,HSPA8,955
ACTB,HSPA9,828
ACTB,ILK,951
ACTB,ITGA2,860
ACTB,ITGA2B,937
ACTB,ITGA5,801
ACTB,ITGA6,803
ACTB,ITGAV,799
ACTB,ITGB1,984
ACTB,ITGB3,949
ACTB,LCP1,770
ACTB,LMNA,784
ACTB,LMNB1,884
ACTB,MAPK1,767
ACTB,MMP9,778
ACTB,MSN,975
ACTB,MYH9,991
ACTB,MYL6,973
ACTB,MYL9,945
ACTB,P4HB,714
ACTB,PARVB,915
ACTB,PECAM1,733
ACTB,PFDN1,735
ACTB,PFDN2,744
ACTB,PFDN5,739
ACTB,PFN1,999
ACTB,PGK1,829
ACTB,PPP1CA,785
ACTB,PTMA,705
ACTB,PTPRC,734
ACTB,RHOA,978
ACTB,RHOC,786
ACTB,RPLP0,889
ACTB,RUVBL1,993
ACTB,RUVBL2,995
ACTB,SRC,774
ACTB,TAGLN2,751
ACTB,TCP1,891
ACTB,TFRC,761
ACTB,TGFB1,773
ACTB,TLN1,960
ACTB,TMOD3,701
ACTB,TMSB4X,961
ACTB,TSG101,757
ACTB,TUBA1A,838
ACTB,TUBA1C,825
ACTB,TUBA4A,825
ACTB,TUBB,844
ACTB,TWF2,772
ACTB,VASP,955
ACTB,VCL,984
ACTB,VCP,728
ACTB,VDAC1,864
