gene1,gene2,combined_score
A1BG,AHSG,849
A1BG,AMBP,716
A1BG,CRISP3,941
A1BG,CRK,745
A1BG,GRB2,992
A1BG,PTPN11,940
A1BG,SERPINA1,735
A2M,AHSG,803
A2M,AMBP,871
A2M,APOA1,998
A2M,APOA2,772
A2M,APOE,975
A2M,APOH,752
A2M,APP,905
A2M,CFB,726
A2M,CLU,896
A2M,CP,889
A2M,CPB2,805
A2M,CTSB,768
A2M,ELANE,735
A2M,F2,700
A2M,FGA,832
A2M,FGB,841
A2M,FGG,761
A2M,FN1,851
A2M,HP,997
A2M,HPX,824
A2M,HRG,762
A2M,HSPA5,972
A2M,KLKB1,957
A2M,KNG1,927
A2M,LRP1,998
A2M,MMP1,796
A2M,MMP2,953
A2M,MMP8,856
A2M,MMP9,845
A2M,ORM1,809
A2M,ORM2,808
A2M,PLAU,715
A2M,PLG,779
A2M,PROC,931
A2M,RAB3IL1,950
A2M,SERPINA1,980
A2M,SERPINA3,929
A2M,SERPIND1,771
A2M,SERPINE1,804
A2M,SERPINF1,880
A2M,SERPINF2,968
A2M,SERPING1,905
A2M,TF,820
A2M,TGFB1,910
A2M,TIMP1,736
A2M,TTR,905
AAAS,AHCTF1,869
AAAS,GLE1,844
AAAS,KPNB1,705
AAAS,MAGOH,767
AAAS,NDC1,994
AAAS,NUP107,980
AAAS,NUP133,957
AAAS,NUP153,940
AAAS,NUP155,989
AAAS,NUP160,951
AAAS,NUP188,981
AAAS,NUP205,986
AAAS,NUP210,980
AAAS,NUP214,992
AAAS,NUP35,987
AAAS,NUP37,955
AAAS,NUP42,943
AAAS,NUP43,980
AAAS,NUP50,922
AAAS,NUP54,968
AAAS,NUP58,942
AAAS,NUP62,944
AAAS,NUP85,985
AAAS,NUP88,994
AAAS,NUP93,983
AAAS,NUP98,960
AAAS,PGRMC2,754
AAAS,RAE1,924
AAAS,RANBP2,995
AAAS,SEC13,952
AAAS,SEH1L,994
AAAS,TPR,937
AACS,ACAT1,962
AACS,ACAT2,958
AACS,BDH1,936
AACS,BDH2,939
AACS,CS,735
AACS,EHHADH,945
AACS,GAR1,735
AACS,HMGCL,962
AACS,HSDL2,721
AACS,OXCT1,958
AAGAB,AP1G1,789
AAGAB,AP2A2,775
AAGAB,AP2S1,917
AAK1,AP2A1,780
AAK1,AP2B1,958
AAK1,AP2M1,979
AAK1,AP2S1,954
AAK1,CLTB,796
AAK1,CLTC,769
AAK1,EPN2,743
AAK1,EPS15,960
AAK1,FCHO2,704
AAK1,GAK,785
AAK1,ITSN1,704
AAK1,NECAP1,701
AAK1,NECAP2,836
AAK1,RALBP1,844
AAK1,REPS1,971
AAMP,EGFR,915
AAMP,GRWD1,863
AAMP,MRTO4,712
AAMP,NMD3,710
AAMP,RPL10,957
AAMP,TBL3,708
AAR2,CD2BP2,967
AAR2,DDX23,980
AAR2,EFTUD2,994
AAR2,NCDN,851
AAR2,PRPF6,955
AAR2,PRPF8,999
AAR2,SNRNP200,996
AAR2,SNRNP40,974
AAR2,SNRPB,852
AAR2,SNRPD1,794
AAR2,SNRPD2,758
AAR2,SNRPD3,796
AAR2,SNRPE,775
AAR2,SNRPF,779
AAR2,TSSC4,933
AAR2,TTC27,768
AAR2,TXNL4A,797
AARS1,AARS2,910
AARS1,AARSD1,878
AARS1,AIMP1,918
AARS1,AIMP2,888
AARS1,ANAPC1,832
AARS1,ANAPC2,722
AARS1,ANAPC4,844
AARS1,ANAPC5,783
AARS1,ASNS,840
AARS1,CARS1,872
AARS1,CARS2,853
AARS1,CDC16,837
AARS1,DARS1,743
AARS1,DARS2,907
AARS1,EARS2,894
AARS1,EEF1E1,754
AARS1,EIF5B,715
AARS1,EPRS1,976
AARS1,FARS2,872
AARS1,FARSB,814
AARS1,GARS1,983
AARS1,GATB,832
AARS1,HARS2,893
AARS1,HSD17B4,719
AARS1,HYOU1,709
AARS1,IARS1,980
AARS1,IARS2,942
AARS1,KARS1,992
AARS1,LARS1,968
AARS1,LARS2,929
AARS1,MARS1,913
AARS1,NARS1,947
AARS1,NARS2,881
AARS1,PARS2,890
AARS1,QARS1,964
AARS1,RARS1,850
AARS1,RARS2,911
AARS1,RPA1,724
AARS1,RPS18,729
AARS1,SARS1,881
AARS1,SARS2,867
AARS1,SIL1,725
AARS1,TARS1,929
AARS1,TARS2,924
AARS1,TARS3,955
AARS1,TSFM,750
AARS1,VARS1,938
AARS1,VARS2,927
AARS1,WARS1,906
AARS1,WARS2,879
AARS1,YARS1,996
AARS1,YARS2,938
AARS2,ANAPC1,834
AARS2,ANAPC2,735
AARS2,ANAPC4,848
AARS2,ANAPC5,773
AARS2,CARS1,768
AARS2,CARS2,824
AARS2,CDC16,843
AARS2,DARS2,955
AARS2,EARS2,927
AARS2,EPRS1,898
AARS2,FARS2,833
AARS2,GARS1,877
AARS2,HARS2,871
AARS2,IARS1,863
AARS2,IARS2,918
AARS2,KARS1,829
AARS2,LARS1,832
AARS2,LARS2,924
AARS2,MARS1,841
AARS2,NARS1,791
AARS2,NARS2,845
AARS2,PARS2,886
AARS2,QARS1,875
AARS2,RARS1,774
AARS2,RARS2,905
