,Gene,idx
0,NHP2,0
1,IDH3B,1
2,MRPL14,2
3,ARHGAP35,3
4,SPTAN1,4
5,MAPK3,5
6,NMRAL1,6
7,UBE2F,7
8,MRPL19,8
9,PLD2,9
10,ISOC1,10
11,OGT,11
12,TSFM,12
13,EMC7,13
14,PREP,14
15,GANC,15
16,HMGN5,16
17,CD99L2,17
18,RPL18,18
19,MTHFD1,19
20,TGFBR3,20
21,TREML1,21
22,CASKIN2,22
23,HPSE,23
24,TGM5,24
25,CDKN2A,25
26,GLA,26
27,PSPC1,27
28,DMD,28
29,CNOT1,29
30,CDC73,30
31,INF2,31
32,VSIG4,32
33,ABAT,33
34,SDC1,34
35,UHRF2,35
36,HPCAL1,36
37,RTCB,37
38,ALDH1L2,38
39,STRN3,39
40,DDX39B,40
41,RALY,41
42,VPS39,42
43,CDC37,43
44,FIG4,44
45,CA4,45
46,GNG11,46
47,S100A11,47
48,VCAN,48
49,SAA1,49
50,TPRKB,50
51,OLA1,51
52,DAGLB,52
53,JMJD7,53
54,SLC16A3,54
55,TM7SF2,55
56,CDC37L1,56
57,SLC35A3,57
58,PSMD12,58
59,GAPDH,59
60,PTPA,60
61,EPS8L2,61
62,HNMT,62
63,DGAT1,63
64,SACS,64
65,SYNE2,65
66,TLN2,66
67,TMEM68,67
68,CHRDL1,68
69,GNG7,69
70,HOPX,70
71,RIT1,71
72,NUMA1,72
73,ARHGAP9,73
74,PTPN23,74
75,EXOSC9,75
76,LGALS3,76
77,CSTF3,77
78,HSPA13,78
79,MANBAL,79
80,PRDX2,80
81,U2AF1,81
82,TGM3,82
83,RPL8,83
84,DHRS11,84
85,ACYP1,85
86,APPL1,86
87,ENOSF1,87
88,DUS2,88
89,PSMD1,89
90,CNN3,90
91,LANCL1,91
92,SRSF1,92
93,RPL23A,93
94,RDH10,94
95,RNPS1,95
96,CA5B,96
97,DDA1,97
98,DOP1B,98
99,ZFAND1,99
100,RPA1,100
101,ORC3,101
102,LILRB4,102
103,DDX5,103
104,SLC12A4,104
105,PSMF1,105
106,EDF1,106
107,KPNA4,107
108,UBQLN1,108
109,ZDHHC3,109
110,CORO1A,110
111,PSMG2,111
112,SPAST,112
113,PTDSS1,113
114,LSM6,114
115,SYNCRIP,115
116,PSMC4,116
117,CRBN,117
118,ACIN1,118
119,RABGAP1L,119
120,TRPV2,120
121,SIN3A,121
122,SELENOF,122
123,CUL4A,123
124,SLC25A19,124
125,CDK2,125
126,PDLIM2,126
127,DAP,127
128,EXOC6,128
129,RPL29,129
130,FIBP,130
131,RPS10,131
132,SERPINF1,132
133,RACK1,133
134,SCAF11,134
135,NRM,135
136,ANG,136
137,LSM2,137
138,TAOK3,138
139,MEDAG,139
140,BNIP2,140
141,C1QB,141
142,PPP3CA,142
143,CHIT1,143
144,FLT4,144
145,EXOC4,145
146,GGCT,146
147,MAP1S,147
148,MRPL49,148
149,SLC9A9,149
150,CRTAC1,150
151,TMED1,151
152,ABHD5,152
153,EIF3K,153
154,ARPC1B,154
155,PRRC2C,155
156,MLST8,156
157,RMND5A,157
158,CA13,158
159,MINK1,159
160,MRPL57,160
161,CXCL12,161
162,SORBS2,162
163,LTN1,163
164,NUDT16L1,164
165,HYOU1,165
166,MYO1B,166
167,CDK12,167
168,EMILIN1,168
169,CPT1A,169
170,DCAKD,170
171,DSC3,171
172,RBMXL1,172
173,PTPMT1,173
174,STAT5B,174
175,SLC29A3,175
176,APRT,176
177,ARRB1,177
178,ACADVL,178
179,ABHD16A,179
180,RNF25,180
181,PTCD3,181
182,TGFBRAP1,182
183,DAZAP1,183
184,SMIM12,184
185,VDAC3,185
186,BCAS3,186
187,MPDU1,187
188,SMARCA5,188
189,MINPP1,189
190,GON7,190
191,SMPDL3B,191
192,GBE1,192
193,ETFDH,193
194,PLEKHM2,194
195,RPS7,195
196,ARHGAP4,196
197,PLAU,197
198,AMDHD2,198
199,TMED10,199
200,ACTR10,200
201,RASSF2,201
202,CREB1,202
203,KRT28,203
204,ZSWIM8,204
205,RAB5B,205
206,SPTA1,206
207,CTIF,207
208,KHSRP,208
209,TXNDC9,209
210,MCM2,210
211,BLOC1S5,211
212,CDV3,212
213,ENOPH1,213
214,CHD1L,214
215,LIN7C,215
216,SLC25A6,216
217,THEMIS2,217
218,VMA21,218
219,KARS1,219
220,IK,220
221,ASPH,221
222,SLIRP,222
223,SMIM15,223
224,ABLIM3,224
225,UCHL1,225
226,SGCB,226
227,HCCS,227
228,DHX15,228
229,HLA-DMB,229
230,NDRG1,230
231,CD274,231
232,TSR2,232
233,FLG,233
234,PTGR2,234
235,ACAD11,235
236,GFM1,236
237,QPRT,237
238,ABI2,238
