,Gene,idx
0,ARF4,0
1,COX5B,1
2,GYG1,2
3,AP2S1,3
4,SPTAN1,4
5,AP4S1,5
6,BRCC3,6
7,GPX3,7
8,UBA5,8
9,KRT14,9
10,CLTA,10
11,ISLR,11
12,CLIP1,12
13,SRI,13
14,FHL1,14
15,CIAO2A,15
16,ANXA2,16
17,CAB39,17
18,ITM2B,18
19,ISOC1,19
20,MAVS,20
21,MIF,21
22,PRKCB,22
23,APLP2,23
24,COPG1,24
25,MPIG6B,25
26,BCL2L13,26
27,BGN,27
28,CSTA,28
29,COL18A1,29
30,CD82,30
31,RAB3C,31
32,TPM2,32
33,TGFBR3,33
34,RAB18,34
35,MIA3,35
36,CD36,36
37,DOK3,37
38,TREML1,38
39,HPSE,39
40,ARHGDIA,40
41,PSMA3,41
42,ESYT2,42
43,KALRN,43
44,ARPC3,44
45,TMSB4X,45
46,PRPS1,46
47,INF2,47
48,VSIG4,48
49,SDC1,49
50,ACTN4,50
51,PLXNB2,51
52,TUBA8,52
53,HBD,53
54,GPI,54
55,HPCAL1,55
56,GPLD1,56
57,NUCB2,57
58,NID1,58
59,PDLIM5,59
60,C1QA,60
61,NID2,61
62,KNG1,62
63,C9,63
64,CDC37,64
65,C4B,65
66,ST13,66
67,PTP4A2,67
68,FAM3C,68
69,CFH,69
70,GNG11,70
71,DSP,71
72,SERPINI1,72
73,RHOC,73
74,C1R,74
75,AKAP12,75
76,CAP1,76
77,VCAN,77
78,SAA1,78
79,DIABLO,79
80,OLA1,80
81,PPIB,81
82,MCAM,82
83,BLOC1S1,83
84,LRRC57,84
85,ATP5F1D,85
86,GAPDH,86
87,BIN2,87
88,GP5,88
89,HRNR,89
90,PTPA,90
91,CLEC3B,91
92,HMGB1,92
93,CUTA,93
94,RAB5C,94
95,PRKAR2A,95
96,EIF6,96
97,LGALS3,97
98,RNF11,98
99,PGRMC1,99
100,PRDX2,100
101,GOLM1,101
102,ATP5F1A,102
103,TGM3,103
104,P3H1,104
105,PAM,105
106,PRDX6,106
107,ADAMTSL2,107
108,HRG,108
109,PGD,109
110,B4GAT1,110
111,C8B,111
112,BCHE,112
