,Gene,idx
0,ARF4,0
1,COX5B,1
2,AP2S1,2
3,SPTAN1,3
4,AP4S1,4
5,BRCC3,5
6,GPX3,6
7,UBA5,7
8,KRT14,8
9,SRI,9
10,FHL1,10
11,CIAO2A,11
12,ANXA2,12
13,ITM2B,13
14,ISOC1,14
15,BCL2L13,15
16,BGN,16
17,COL18A1,17
18,RAB3C,18
19,TGFBR3,19
20,CD36,20
21,DOK3,21
22,TREML1,22
23,HPSE,23
24,ARHGDIA,24
25,KALRN,25
26,ARPC3,26
27,INF2,27
28,PPM1L,28
29,VSIG4,29
30,SDC1,30
31,ACTN4,31
32,HBD,32
33,GPI,33
34,HPCAL1,34
35,NUCB2,35
36,PDLIM5,36
37,NOTCH1,37
38,CDC37,38
39,ST13,39
40,CFH,40
41,GNG11,41
42,SERPINI1,42
43,C1R,43
44,VCAN,44
45,SAA1,45
46,OLA1,46
47,MCAM,47
48,BLOC1S1,48
49,LRRC57,49
50,ATP5F1D,50
51,GAPDH,51
52,BIN2,52
53,CHST3,53
54,PTPA,54
55,CUTA,55
56,PRKAR2A,56
57,EIF6,57
58,LGALS3,58
59,PRDX2,59
60,GOLM1,60
61,TGM3,61
62,PAM,62
63,FGFR3,63
64,SNAP29,64
65,HSP90AA1,65
66,GNPTG,66
67,ENDOD1,67
68,LDHA,68
69,ADAM10,69
70,COL15A1,70
71,MPO,71
72,NBL1,72
73,PSMF1,73
74,PDIA3,74
75,PROC,75
76,CCT2,76
77,CORO1A,77
78,SNCA,78
79,MMRN1,79
80,ARG1,80
81,PSMC4,81
82,TMOD3,82
83,CD58,83
84,SELENOF,84
85,TPM1,85
86,ENO2,86
87,GSPT1,87
88,FIS1,88
89,DPM3,89
90,PDE5A,90
91,SELPLG,91
92,SERPINF1,92
93,SDCBP,93
94,LSM2,94
95,C1QB,95
96,SEC13,96
97,FLT4,97
98,ETFB,98
99,CSPG4,99
100,GGCT,100
101,PCBP1,101
102,VASP,102
103,SERPINA11,103
104,CPNE3,104
105,MAPRE1,105
106,CRTAC1,106
107,LMAN1,107
108,EIF3K,108
109,ARPC1B,109
110,SRGN,110
