,Gene,idx
0,NHP2,0
1,IDH3B,1
2,MRPL14,2
3,ARHGAP35,3
4,SPTAN1,4
5,MAPK3,5
6,NMRAL1,6
7,UBE2F,7
8,MRPL19,8
9,PLD2,9
10,ISOC1,10
11,OGT,11
12,TSFM,12
13,EMC7,13
14,PREP,14
15,GANC,15
16,HMGN5,16
17,CD99L2,17
18,RPL18,18
19,MTHFD1,19
20,TGFBR3,20
21,TREML1,21
22,CASKIN2,22
23,HPSE,23
24,TGM5,24
25,CDKN2A,25
26,GLA,26
27,PSPC1,27
28,DMD,28
29,CNOT1,29
30,CDC73,30
31,INF2,31
32,VSIG4,32
33,ABAT,33
34,SDC1,34
35,UHRF2,35
36,HPCAL1,36
37,RTCB,37
38,ALDH1L2,38
39,STRN3,39
40,DDX39B,40
41,RALY,41
42,VPS39,42
43,CDC37,43
44,FIG4,44
45,CA4,45
46,GNG11,46
47,S100A11,47
48,VCAN,48
49,SAA1,49
50,TPRKB,50
51,OLA1,51
52,DAGLB,52
53,JMJD7,53
54,SLC16A3,54
55,TM7SF2,55
56,CDC37L1,56
57,SLC35A3,57
58,PSMD12,58
59,GAPDH,59
60,PTPA,60
61,EPS8L2,61
62,HNMT,62
63,DGAT1,63
64,SACS,64
65,SYNE2,65
66,TLN2,66
67,TMEM68,67
68,CHRDL1,68
69,GNG7,69
70,HOPX,70
71,RIT1,71
72,NUMA1,72
73,ARHGAP9,73
74,PTPN23,74
75,EXOSC9,75
76,LGALS3,76
77,CSTF3,77
78,HSPA13,78
79,MANBAL,79
80,PRDX2,80
81,U2AF1,81
82,TGM3,82
83,RPL8,83
84,DHRS11,84
85,ACYP1,85
86,APPL1,86
87,ENOSF1,87
88,DUS2,88
89,PSMD1,89
90,CNN3,90
91,LANCL1,91
92,SRSF1,92
93,RPL23A,93
94,RDH10,94
95,RNPS1,95
96,CA5B,96
97,DDA1,97
98,DOP1B,98
99,ZFAND1,99
100,RPA1,100
101,ORC3,101
102,LILRB4,102
103,DDX5,103
104,SLC12A4,104
105,PSMF1,105
106,EDF1,106
107,KPNA4,107
108,UBQLN1,108
109,ZDHHC3,109
110,CORO1A,110
111,PSMG2,111
112,SPAST,112
113,PTDSS1,113
114,LSM6,114
115,SYNCRIP,115
116,PSMC4,116
117,CRBN,117
118,ACIN1,118
119,RABGAP1L,119
120,TRPV2,120
121,SIN3A,121
122,SELENOF,122
123,CUL4A,123
124,SLC25A19,124
125,CDK2,125
126,PDLIM2,126
127,DAP,127
128,EXOC6,128
129,RPL29,129
130,FIBP,130
131,RPS10,131
132,SERPINF1,132
133,RACK1,133
134,SCAF11,134
135,NRM,135
136,ANG,136
137,LSM2,137
138,TAOK3,138
139,MEDAG,139
140,BNIP2,140
141,C1QB,141
142,PPP3CA,142
143,CHIT1,143
144,EXOC4,144
145,GGCT,145
146,MAP1S,146
147,MRPL49,147
148,SLC9A9,148
149,CRTAC1,149
150,TMED1,150
151,ABHD5,151
152,EIF3K,152
153,ARPC1B,153
154,PRRC2C,154
155,MLST8,155
156,RMND5A,156
157,CA13,157
158,MINK1,158
159,MRPL57,159
160,CXCL12,160
161,SORBS2,161
162,LTN1,162
163,NUDT16L1,163
164,HYOU1,164
165,MYO1B,165
166,CDK12,166
167,EMILIN1,167
168,CPT1A,168
169,DCAKD,169
170,DSC3,170
171,RBMXL1,171
172,PTPMT1,172
173,STAT5B,173
174,SLC29A3,174
175,APRT,175
176,ARRB1,176
177,ACADVL,177
178,ABHD16A,178
179,RNF25,179
180,PTCD3,180
181,TGFBRAP1,181
182,DAZAP1,182
183,SMIM12,183
184,VDAC3,184
185,BCAS3,185
186,MPDU1,186
187,SMARCA5,187
188,MINPP1,188
189,GON7,189
190,SMPDL3B,190
191,GBE1,191
192,ETFDH,192
193,PLEKHM2,193
194,RPS7,194
195,ARHGAP4,195
196,PLAU,196
197,AMDHD2,197
198,TMED10,198
199,ACTR10,199
200,RASSF2,200
201,CREB1,201
202,KRT28,202
203,ZSWIM8,203
204,RAB5B,204
205,SPTA1,205
206,CTIF,206
207,KHSRP,207
208,TXNDC9,208
209,MCM2,209
210,BLOC1S5,210
211,CDV3,211
212,ENOPH1,212
213,CHD1L,213
214,LIN7C,214
215,SLC25A6,215
216,THEMIS2,216
217,VMA21,217
218,KARS1,218
219,IK,219
220,ASPH,220
221,SLIRP,221
222,SMIM15,222
223,ABLIM3,223
224,UCHL1,224
225,SGCB,225
226,HCCS,226
227,DHX15,227
228,HLA-DMB,228
229,NDRG1,229
230,CD274,230
231,TSR2,231
232,FLG,232
233,PTGR2,233
234,ACAD11,234
235,GFM1,235
236,QPRT,236
237,ABI2,237
238,TANC1,238
