,PR50,PR75,PR80
Sample 84,75.96479350033853,67.04331450094162,63.39662447257383
Sample 4,68.78808395396074,56.96798493408662,52.109704641350206
Sample 37,64.86120514556534,52.16572504708098,47.04641350210971
Sample 68,60.93432633716994,46.70433145009416,41.45569620253164
Sample 44,59.10629654705484,44.44444444444444,38.607594936708864
Sample 64,53.14827352742044,36.25235404896422,29.957805907172997
Sample 24,53.012863913337846,36.53483992467043,29.64135021097046
Sample 66,49.08598510494245,32.48587570621469,26.476793248945146
Sample 87,40.14895057549086,21.28060263653484,15.822784810126583
Sample 12,37.71157752200406,19.774011299435028,15.18987341772152
Sample 78,35.27420446851727,17.60828625235405,13.60759493670886
Sample 90,30.60257278266757,10.451977401129943,6.5400843881856545
Sample 39,26.878808395396074,7.721280602636535,4.324894514767933
Sample 1,24.983073798239673,7.627118644067797,4.430379746835443
Sample 73,24.847664184157075,6.308851224105462,3.9029535864978904
Sample 75,22.274881516587676,4.80225988700565,2.109704641350211
Sample 91,22.004062288422478,5.83804143126177,2.5316455696202533
Sample 85,21.868652674339877,5.273069679849341,3.059071729957806
Sample 80,20.040622884224778,3.5781544256120528,1.4767932489451476
Sample 8,18.07718348002708,2.824858757062147,0.8438818565400843
Sample 5,17.73865944482058,3.8606403013182673,1.5822784810126582
Sample 45,14.962762356127286,1.5065913370998116,0.6329113924050633
Sample 49,14.556533513879485,2.0715630885122414,0.949367088607595
Sample 79,13.134732566012186,1.5065913370998116,0.5274261603375527
Sample 15,12.660798916723087,0.7532956685499058,0.42194092827004215
Sample 34,12.322274881516588,2.0715630885122414,0.6329113924050633
Sample 70,11.848341232227488,1.4124293785310735,0.31645569620253167
Sample 16,11.577522004062288,1.60075329566855,1.0548523206751055
Sample 17,11.17129316181449,2.2598870056497176,1.3713080168776373
Sample 83,9.20785375761679,1.2241054613935969,0.7383966244725738
Sample 52,8.93703452945159,3.483992467043315,2.4261603375527425
Sample 61,7.718348002708192,0.847457627118644,0.6329113924050633
Sample 86,6.296547054840894,0.7532956685499058,0.31645569620253167
Sample 7,5.348679756262695,0.847457627118644,0.42194092827004215
Sample 25,5.0101557210561944,0.2824858757062147,0.31645569620253167
Sample 22,4.942450914014895,2.354048964218456,1.6877637130801686
Sample 36,4.671631685849696,0.4708097928436911,0.10548523206751054
Sample 28,4.536222071767095,0.847457627118644,0.8438818565400843
Sample 82,4.468517264725795,2.0715630885122414,1.7932489451476792
Sample 11,4.265402843601896,0.3766478342749529,0.21097046413502107
Sample 23,4.062288422477995,0.2824858757062147,0.21097046413502107
Sample 60,3.5883547731888963,1.1299435028248588,0.7383966244725738
Sample 18,2.911306702775897,0.847457627118644,0.42194092827004215
Sample 57,2.640487474610697,1.0357815442561207,0.7383966244725738
Sample 51,2.4373730534867977,0.847457627118644,0.31645569620253167
Sample 42,2.3696682464454977,0.2824858757062147,0.21097046413502107
Sample 31,2.3019634394041977,0.847457627118644,0.42194092827004215
Sample 77,2.2342586323628977,1.1299435028248588,0.5274261603375527
Sample 29,2.2342586323628977,0.7532956685499058,0.5274261603375527
Sample 95,2.1665538253215977,0.7532956685499058,0.21097046413502107
Sample 32,2.1665538253215977,0.5649717514124294,0.5274261603375527
Sample 30,2.098849018280298,0.5649717514124294,0.31645569620253167
Sample 55,2.0311442112389977,0.4708097928436911,0.0
Sample 38,1.9634394041976981,0.2824858757062147,0.21097046413502107
Sample 59,1.8957345971563981,0.5649717514124294,0.42194092827004215
Sample 88,1.6926201760324981,0.3766478342749529,0.0
Sample 76,1.5572105619498984,0.5649717514124294,0.42194092827004215
Sample 65,1.4895057549085984,0.4708097928436911,0.31645569620253167
Sample 72,1.4895057549085984,0.2824858757062147,0.10548523206751054
Sample 20,1.3540961408259988,0.2824858757062147,0.10548523206751054
Sample 48,1.2186865267433988,0.2824858757062147,0.0
Genes,0.06770480704129993,0.09416195856873823,0.10548523206751054
