,PR50,PR75,PR80
Sample 95,76.83868974042028,69.15189062166203,65.91992373689229
Sample 91,76.66872682323856,68.25464644306773,64.77597712106768
Sample 8,76.59147095179235,69.23734244819482,66.27740705433747
Sample 80,75.50988875154512,67.50694296090579,64.08484270734033
Sample 5,51.715080346106305,36.06067079683829,30.028598665395617
Sample 87,51.45241038318912,35.9111301004059,29.551954242135363
Sample 84,47.52781211372064,30.99765007477035,24.904671115347952
Sample 16,41.96538936959209,24.54603717154454,18.398474737845564
Sample 37,38.53522867737948,20.145268105105746,14.132507149666349
Sample 32,36.696538936959215,17.517624439222388,11.415633937082937
Sample 79,32.4938195302843,13.223670155949582,7.6978074356530035
Sample 90,31.937577255871446,15.594958342234566,11.177311725452812
Sample 78,29.326328800988875,11.920529801324504,7.4118207816968535
Sample 39,25.355377008652656,6.814783165990174,3.3603431839847473
Sample 82,23.03770086526576,8.352916043580432,4.861773117254528
Sample 75,22.62051915945612,5.8748130741294595,2.8122020972354624
Sample 59,21.554388133498144,6.2379833368938264,3.0505243088655862
Sample 30,20.503708281829418,5.10574663533433,2.740705433746425
Sample 7,20.04017305315204,4.123050630207221,1.9304099142040037
Sample 49,16.96538936959209,3.866695150608844,2.001906577693041
Sample 57,16.177379480840546,3.097628711813715,1.6920877025738796
Sample 55,15.528430160692213,2.948088015381329,1.572926596758818
Sample 48,14.446847960444995,2.71309549241615,1.572926596758818
Sample 18,14.400494437577255,2.5849177526169624,1.4299332697807436
Sample 24,12.391841779975278,1.153599658192694,0.42897998093422307
Sample 60,11.217552533992583,2.050843836787011,1.1677788369876072
Sample 34,9.50247218788628,0.4699850459303568,0.16682554814108674
Sample 85,9.162546353522867,1.0681478316599018,0.47664442326024786
Sample 1,7.5401730531520395,0.9826960051271096,0.6196377502383222
Sample 22,6.489493201483312,1.0681478316599018,0.548141086749285
Sample 23,6.242274412855377,0.6836146122623371,0.40514775977121065
Sample 88,6.056860321384425,0.640888698995941,0.23832221163012393
Sample 83,6.025957972805934,1.0895107882930999,0.6911344137273594
Sample 73,5.7478368355995055,0.8758812219611195,0.548141086749285
Sample 28,5.65512978986403,1.4954069643238623,1.09628217349857
Sample 45,5.11433868974042,0.34180730613116855,0.2621544327931363
Sample 70,4.898022249690976,0.7477034821619312,0.5243088655862727
Sample 64,4.465389369592089,0.619525742362743,0.3813155386081983
Sample 20,4.449938195302843,0.21362956633198035,0.07149666348903717
Sample 44,3.6155747836835603,0.4272591326639607,0.2621544327931363
Sample 77,3.584672435105068,1.0254219183935056,0.7387988560533841
Sample 86,3.5074165636588384,0.6836146122623371,0.42897998093422307
Sample 4,3.012978986402967,0.5340739158299509,0.3574833174451859
Sample 36,2.904820766378245,0.3204443494979705,0.16682554814108674
Sample 51,2.688504326328801,0.21362956633198035,0.16682554814108674
Sample 65,2.626699629171817,0.5340739158299509,0.3336510962821735
Sample 25,2.6112484548825714,0.640888698995941,0.5004766444232602
Sample 66,2.3022249690976513,0.640888698995941,0.5243088655862727
Sample 76,2.2404202719406676,0.34180730613116855,0.19065776930409914
Sample 38,2.2404202719406676,0.21362956633198035,0.16682554814108674
Sample 42,2.2249690976514214,0.3631702627643666,0.23832221163012393
Sample 68,2.0704573547589615,0.6622516556291391,0.5004766444232602
Sample 11,2.008652657601978,0.10681478316599018,0.07149666348903717
Sample 17,1.8850432632880099,0.17090365306558428,0.07149666348903717
Sample 61,1.6069221260815822,0.27771843623157444,0.11916110581506197
Sample 52,1.5914709517923362,0.27771843623157444,0.14299332697807435
Sample 72,1.4215080346106306,0.3204443494979705,0.14299332697807435
Sample 12,1.4215080346106306,0.14954069643238624,0.09532888465204957
Sample 29,1.3597033374536465,0.5340739158299509,0.47664442326024786
Sample 15,1.3288009888751544,0.27771843623157444,0.16682554814108674
Sample 31,0.7725587144622992,0.0640888698995941,0.023832221163012392
Genes,0.015451174289245981,0.021362956633198035,0.023832221163012392
