Model,Pathway,Mean_Pearson_r,Mean_Abs_Pearson_r,Mean_Spearman_rho,Mean_Abs_Spearman_rho
Baseline,REACTOME_COLLAGEN_DEGRADATION,-0.027,0.149,-0.013,0.152
Baseline,REACTOME_COLLAGEN_FORMATION,-0.024,0.143,-0.0,0.159
Baseline,REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX,-0.023,0.121,-0.014,0.127
Baseline,REACTOME_ELASTIC_FIBRE_FORMATION,0.007,0.137,0.007,0.139
Baseline,REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,-0.018,0.12,-0.016,0.126
Baseline,REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS,-0.023,0.088,-0.02,0.112
Baseline,REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,-0.002,0.125,-0.013,0.121
Orthogonal,REACTOME_COLLAGEN_DEGRADATION,-0.034,0.137,-0.028,0.154
Orthogonal,REACTOME_COLLAGEN_FORMATION,-0.033,0.141,-0.032,0.147
Orthogonal,REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX,-0.031,0.125,-0.028,0.131
Orthogonal,REACTOME_ELASTIC_FIBRE_FORMATION,-0.01,0.18,-0.024,0.175
Orthogonal,REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,-0.029,0.137,-0.039,0.145
Orthogonal,REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS,-0.024,0.101,-0.032,0.119
Orthogonal,REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,-0.01,0.146,-0.022,0.137
Orthogonal + Recon,REACTOME_COLLAGEN_DEGRADATION,0.031,0.144,0.029,0.15
Orthogonal + Recon,REACTOME_COLLAGEN_FORMATION,0.021,0.143,0.021,0.144
Orthogonal + Recon,REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX,0.033,0.136,0.031,0.142
Orthogonal + Recon,REACTOME_ELASTIC_FIBRE_FORMATION,0.049,0.128,0.058,0.148
Orthogonal + Recon,REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,0.033,0.123,0.038,0.144
Orthogonal + Recon,REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS,0.017,0.099,0.023,0.115
Orthogonal + Recon,REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,0.006,0.142,0.016,0.139
