Model,Pathway,Embedding,N,Pearson_r,Pearson_p,Spearman_rho,Spearman_p
Baseline,REACTOME_ELASTIC_FIBRE_FORMATION,embedding_0,52,-0.01817405494154422,0.898244216014561,0.07239819004524886,0.6100164930584998
Baseline,REACTOME_ELASTIC_FIBRE_FORMATION,embedding_1,52,-0.10238350638708942,0.4701396005292448,-0.03013745411081704,0.8320372548081505
Baseline,REACTOME_ELASTIC_FIBRE_FORMATION,embedding_2,52,-0.20274614414622885,0.14944281219459085,-0.15504140698369331,0.2724254300407472
Baseline,REACTOME_ELASTIC_FIBRE_FORMATION,embedding_3,52,-0.31753844983253,0.021798561252648573,-0.37402885682574916,0.006304419664426395
Baseline,REACTOME_ELASTIC_FIBRE_FORMATION,embedding_4,52,0.15222568371200512,0.2813353976774624,0.0904977375565611,0.5234502789418363
Baseline,REACTOME_ELASTIC_FIBRE_FORMATION,embedding_5,52,0.20640534644147485,0.14208001125659947,0.2265004695637326,0.10638089671244087
Baseline,REACTOME_ELASTIC_FIBRE_FORMATION,embedding_6,52,0.06975611689912974,0.6231506893797872,-0.05028600700076837,0.7233188066985506
Baseline,REACTOME_ELASTIC_FIBRE_FORMATION,embedding_7,52,-0.05465987684925145,0.700337935525352,-0.03457696576453514,0.8077345802457403
Baseline,REACTOME_ELASTIC_FIBRE_FORMATION,embedding_8,52,0.22669873052706985,0.10606679951073993,0.08844873217792196,0.5329348411220906
Baseline,REACTOME_ELASTIC_FIBRE_FORMATION,embedding_9,52,-0.017836955279917546,0.90012194222083,0.12396482540766669,0.38126014687638765
Baseline,REACTOME_ELASTIC_FIBRE_FORMATION,embedding_10,52,-0.10448211295519295,0.46103894946007645,-0.1795440963032528,0.20279931619765343
Baseline,REACTOME_ELASTIC_FIBRE_FORMATION,embedding_11,52,-0.015580669906298418,0.9127034599364264,-0.04012635533168274,0.7776099291906903
Baseline,REACTOME_ELASTIC_FIBRE_FORMATION,embedding_12,52,0.17472179548995317,0.2153956104783895,0.11986681465038845,0.3973198123160191
Baseline,REACTOME_ELASTIC_FIBRE_FORMATION,embedding_13,52,0.30747688164282055,0.02659788372564658,0.29001963630154526,0.03701678351007989
Baseline,REACTOME_ELASTIC_FIBRE_FORMATION,embedding_14,52,-0.0020551409792149127,0.9884633243986263,0.06360454196192265,0.6541796160630742
Baseline,REACTOME_ELASTIC_FIBRE_FORMATION,embedding_15,52,-0.23699938630093595,0.09070743762958243,-0.21224280713736873,0.13089848399682816
Baseline,REACTOME_ELASTIC_FIBRE_FORMATION,embedding_16,52,-0.12161957343941271,0.3904031050142004,-0.151114146674635,0.28490489571485306
Baseline,REACTOME_ELASTIC_FIBRE_FORMATION,embedding_17,52,-0.05932159772197012,0.6761345975362241,0.027405446939298212,0.8470720521767376
Baseline,REACTOME_ELASTIC_FIBRE_FORMATION,embedding_18,52,0.23001002939219364,0.10092559032091761,0.2522837872449415,0.07117956000913286
Baseline,REACTOME_ELASTIC_FIBRE_FORMATION,embedding_19,52,0.06636180317620713,0.6401960334558559,0.11551267822078032,0.4148090988488151
Baseline,REACTOME_ELASTIC_FIBRE_FORMATION,embedding_20,52,0.04631581926477641,0.7443908831695025,0.04550499445061043,0.7487178910183686
Baseline,REACTOME_ELASTIC_FIBRE_FORMATION,embedding_21,52,0.0002845156007275974,0.9984027991245392,0.042687612054981644,0.7638119494016434
Baseline,REACTOME_ELASTIC_FIBRE_FORMATION,embedding_22,52,-0.04650185067032553,0.7433992140895481,-0.018270297959532143,0.8977082201602024
Baseline,REACTOME_ELASTIC_FIBRE_FORMATION,embedding_23,52,-0.3090072122727858,0.025815424071497478,-0.2993255357295313,0.031107877349322924
Baseline,REACTOME_ELASTIC_FIBRE_FORMATION,embedding_24,52,0.21263839660471012,0.13016540702023194,0.16656706223853837,0.23792059654394337
Baseline,REACTOME_ELASTIC_FIBRE_FORMATION,embedding_25,52,-0.3218333809927967,0.019984689439683498,-0.30444804917612905,0.02820515671126567
Baseline,REACTOME_ELASTIC_FIBRE_FORMATION,embedding_26,52,0.013931623227303694,0.921912503771777,-0.02757619738751814,0.8461307362617853
Baseline,REACTOME_ELASTIC_FIBRE_FORMATION,embedding_27,52,0.17737428108694375,0.20840111110227572,0.3247673525143004,0.018820426466599902
Baseline,REACTOME_ELASTIC_FIBRE_FORMATION,embedding_28,52,0.01118591365529801,0.9372677840625063,-0.07692307692307693,0.5878046148022049
Baseline,REACTOME_ELASTIC_FIBRE_FORMATION,embedding_29,52,0.21811455806161387,0.12033219518533776,0.21087680355160932,0.13345373903726385
Baseline,REACTOME_ELASTIC_FIBRE_FORMATION,embedding_30,52,-0.1445128170999644,0.3067135943924861,-0.15444378041492357,0.2743006998419455
Baseline,REACTOME_ELASTIC_FIBRE_FORMATION,embedding_31,52,0.19973245564988934,0.15571572346448173,0.08631435157517288,0.5429033900481453
Baseline,REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,embedding_0,52,0.1064551229911318,0.4525707833668373,0.09621787757192861,0.4974246641564496
Baseline,REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,embedding_1,52,0.06458970212210499,0.6491694845797766,0.04644412191582002,0.7437069020316298
Baseline,REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,embedding_2,52,-0.40500962482175623,0.0028981561631928605,-0.33748826090668493,0.014414703704445397
Baseline,REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,embedding_3,52,-0.07405426705776078,0.6018451629327359,-0.13352685050798258,0.3453208039980191
Baseline,REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,embedding_4,52,0.17544168291580858,0.21348129103183594,0.10356014684538546,0.4650252680088308
Baseline,REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,embedding_5,52,-0.05181111110288193,0.7152769942385614,-0.11824468539229915,0.4037844169357798
Baseline,REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,embedding_6,52,-0.21631783031768795,0.12349424763473871,-0.316400580551524,0.022301749758101518
Baseline,REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,embedding_7,52,0.0914418369569062,0.5191086173410231,0.014086911978143943,0.9210448471531073
Baseline,REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,embedding_8,52,0.1069876082405093,0.45030004561875037,0.10688978058567401,0.4507167533676859
Baseline,REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,embedding_9,52,0.007917837012913202,0.9555734572114246,0.17314095449500555,0.2196413661377263
Baseline,REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,embedding_10,52,-0.15568114852506226,0.2704274578766641,-0.13429522752497225,0.342526821412225
Baseline,REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,embedding_11,52,0.002190593907818235,0.9877030066179872,0.04448049176129087,0.7541961772529935
Baseline,REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,embedding_12,52,0.03561022204421714,0.8021031803825923,0.04354136429608128,0.7592285049880272
Baseline,REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,embedding_13,52,0.02077788537586809,0.8837596233301632,-0.03380858874754546,0.8119286379281327
Baseline,REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,embedding_14,52,0.04026422015591071,0.7768654485172706,0.0762400751301972,0.5911340208880014
Baseline,REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,embedding_15,52,0.03477724500969391,0.8066422641050445,0.01579441646034321,0.9115106056478497
Baseline,REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,embedding_16,52,-0.06473890521605925,0.6484120303321577,-0.15982241953385126,0.2577298049455155
Baseline,REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,embedding_17,52,0.06047709979291524,0.6701840218252848,0.02962520276615726,0.834851913727837
Baseline,REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,embedding_18,52,0.04343463541085038,0.7598010437142807,0.10005976265687697,0.48032776064942573
Baseline,REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,embedding_19,52,0.046280251555183824,0.7445805291862743,-0.013147784512934345,0.9262934603352633
Baseline,REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,embedding_20,52,-0.1580076987717243,0.2632437093131552,-0.15598053444890292,0.2694958023486874
Baseline,REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,embedding_21,52,0.18723256256096743,0.18380804181650975,0.09937676086399727,0.48334432382469694
Baseline,REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,embedding_22,52,-0.2609466091020337,0.0616942130221887,-0.21027917698283957,0.1345833583427923
Baseline,REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,embedding_23,52,-0.06034970990781823,0.670839075941859,-0.09621787757192861,0.4974246641564496
Baseline,REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,embedding_24,52,0.22001494216647224,0.11705499725216895,0.1769828395799539,0.20942315914710785
Baseline,REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,embedding_25,52,-0.40512179017051486,0.0028896234363539066,-0.33800051225134464,0.014257555667666413
Baseline,REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,embedding_26,52,-0.15886755791029392,0.26062132510361397,-0.09963288653632715,0.48221194554324176
Baseline,REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,embedding_27,52,-0.01978596751047719,0.8892732852170511,0.10637752924101425,0.45290219801437337
Baseline,REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,embedding_28,52,0.07097053366945515,0.6170988450684856,0.018270297959532143,0.8977082201602024
Baseline,REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,embedding_29,52,0.15522421233957465,0.27185351515225303,0.05745752582600529,0.6857754921863055
Baseline,REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,embedding_30,52,0.10565241733316688,0.45600567540907855,0.1470161359173568,0.2983205130521296
Baseline,REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,embedding_31,52,0.3789149420996863,0.005604037218856927,0.26056518398360795,0.06208932154309688
