,Gene,idx
0,PDGFB,0
1,DDX5,1
2,HPS6,2
3,ATP1B1,3
4,HSPA14,4
5,NUDT21,5
6,PTPRE,6
7,ILVBL,7
8,BSDC1,8
9,TRAPPC5,9
10,TRIOBP,10
11,STARD5,11
12,ARID1A,12
13,MAPK9,13
14,ECHS1,14
15,C1QC,15
16,HSP90AA1,16
17,PLEKHA2,17
18,PRMT1,18
19,EIF3L,19
20,H2BC14,20
21,TXLNA,21
22,HERC4,22
23,IFT27,23
24,ADAMTS8,24
25,ANO6,25
26,PPP6R2,26
27,PUS7,27
28,TTC39C,28
29,PURB,29
30,VCL,30
31,UNC93B1,31
32,SCIN,32
33,SLIT2,33
34,TSC1,34
35,EHD4,35
36,WRNIP1,36
37,NCCRP1,37
38,STK39,38
39,SUN1,39
40,BAG2,40
41,NID2,41
42,FBXL8,42
43,RNMT,43
44,SRSF2,44
45,COL6A2,45
46,JAGN1,46
47,SULT1B1,47
48,CLEC16A,48
49,MPEG1,49
50,HDGFL2,50
51,MOB3A,51
52,ADPGK,52
53,AKR1B10,53
54,ATP6V1B2,54
55,PPCS,55
56,SCRN3,56
57,MYO5A,57
58,SNX3,58
59,BLOC1S2,59
60,ZER1,60
61,PPP1R3D,61
62,MTA2,62
63,SON,63
64,FKBP15,64
65,P4HB,65
66,ICAM4,66
67,GTF2A1,67
68,THRAP3,68
69,BTN3A2,69
70,DOCK2,70
71,LSM6,71
72,WNK1,72
73,ALDH6A1,73
74,DIP2C,74
75,MTA1,75
76,OARD1,76
77,ARSA,77
78,NFATC1,78
79,RBM47,79
80,LZTFL1,80
81,LYRM2,81
82,PPP3R1,82
83,NDUFA5,83
84,TNFRSF6B,84
85,DNAJC25,85
86,TOMM34,86
87,SEC61B,87
88,QKI,88
89,ZC3HAV1L,89
90,SAA1,90
91,LEMD2,91
92,SCOC,92
93,SSR4,93
94,CST3,94
95,CHERP,95
96,OSTC,96
97,DCTN3,97
98,ALKBH4,98
99,EPDR1,99
100,GPX7,100
101,ATP5MG,101
102,ERAP1,102
103,CD200,103
104,EIF3M,104
105,SLC25A36,105
106,NUMA1,106
107,SEZ6L2,107
108,UTP20,108
109,H2AC6,109
110,IRAK3,110
111,DBR1,111
112,KALRN,112
113,RAN,113
114,MAST3,114
115,RPS6KA4,115
116,RAB1B,116
117,PANK2,117
118,CPD,118
119,TBC1D2B,119
120,RUVBL2,120
121,SMARCA4,121
122,EP400,122
123,FHIT,123
124,UPP1,124
125,THOC3,125
126,TRAPPC9,126
127,CHMP4A,127
128,ADI1,128
129,SAMM50,129
130,RHOF,130
131,KIF5B,131
132,RB1,132
133,DNPH1,133
134,SGSH,134
135,GTF3C1,135
136,CPSF7,136
137,OTUB1,137
138,PABPC4,138
139,SNX14,139
140,NDUFB3,140
141,TBRG4,141
142,LAMA4,142
143,PLIN3,143
144,ZMYND8,144
145,IFI16,145
146,CNOT6L,146
147,RHCE,147
148,EIF4G3,148
149,KEL,149
150,TCEAL3,150
151,NRP2,151
152,RPLP1,152
153,FKBP9,153
154,EHBP1L1,154
155,EPS15,155
156,NOP14,156
157,THBS1,157
158,VPS33A,158
159,SPCS2,159
160,MON1B,160
161,IGFBP4,161
162,PLPP3,162
163,UAP1,163
164,ITGA1,164
165,DDX50,165
166,TRAPPC3,166
167,ADO,167
168,XPO6,168
169,NSFL1C,169
170,IGKV2D-29,170
171,KHSRP,171
172,PDLIM4,172
173,ANXA5,173
174,ATRX,174
175,CSNK1A1,175
176,DENND4C,176
177,PPT1,177
178,PREB,178
179,GSDMA,179
180,CSNK1D,180
181,SLC44A1,181
182,ASAP1,182
183,SCAMP4,183
184,FGFR1,184
185,CD3E,185
186,GOLGA3,186
187,TTR,187
188,DARS2,188
189,BID,189
190,HEXB,190
191,GPAT3,191
192,NUCB1,192
193,COA4,193
194,QPCTL,194
195,DMKN,195
196,CAVIN2,196
197,PIK3IP1,197
198,RARRES2,198
199,PIN4,199
200,MAPK14,200
201,ARRB2,201
202,CSRP1,202
203,OSBP2,203
204,PSME4,204
205,TNIP2,205
206,WDR26,206
207,RUFY3,207
208,GSK3A,208
209,TST,209
210,CASP6,210
211,CNNM3,211
212,PDLIM1,212
213,VAV3,213
214,TBC1D22A,214
215,GBP1,215
216,MMAB,216
217,HIP1R,217
218,CTTN,218
219,YIPF6,219
220,ANXA6,220
221,LPIN1,221
222,ADAMTSL4,222
223,MCU,223
224,SMPDL3B,224
225,SEPTIN6,225
226,RSF1,226
227,DHX29,227
228,FXYD1,228
229,ADRM1,229
230,CD300A,230
231,PDIA4,231
232,PBLD,232
233,DSG1,233
234,TMEM160,234
235,SLC4A2,235
236,HDHD2,236
237,AOC3,237
238,SUGCT,238
239,TIMM8A,239
240,GON7,240
241,CNPY2,241
242,ANKFY1,242
243,UBA7,243
244,SMS,244
245,PTPRZ1,245
246,EIF1AX,246
247,GALK1,247
248,TXNDC5,248
249,GRAP2,249
250,PAPPA,250
251,ITPRID2,251
252,UBL5,252
253,MTDH,253
254,TCAF2,254
255,GOLGA7,255
256,CD34,256
257,ABLIM3,257
258,GCC2,258
259,DEGS1,259
260,EVI2B,260
261,KRTDAP,261
262,RSL1D1,262
263,PI4KB,263
264,RIPK2,264
265,EPHB4,265
266,SEC31A,266
267,RNASEH2C,267
268,EEF1AKMT2,268
269,C15orf40,269
270,NCAM2,270
271,PLTP,271
272,F2,272
273,CDK14,273
274,LRRC47,274
275,PDPK1,275
276,KPRP,276
277,XRN2,277
278,PTK7,278
279,THYN1,279
280,NEDD8,280
281,ARL6IP5,281
282,FOS,282
283,MRPS7,283
284,NAT10,284
285,LYPLA2,285
286,HMGB1,286
287,GMPR,287
288,TOR1A,288
289,PIK3R1,289
290,LMCD1,290
291,BZW1,291
292,CCDC92,292
293,CEP41,293
294,SMOC1,294
295,FHL1,295
296,PCNP,296
297,TINAGL1,297
298,CDC42,298
299,GAK,299
300,CD82,300
301,CSE1L,301
302,UQCR10,302
303,VPS33B,303
304,GPAA1,304
305,STX2,305
306,IFIT5,306
307,RAB2A,307
308,TOM1L2,308
309,PPM1G,309
310,THEM4,310
311,HSPA4L,311
312,PLAA,312
313,PECAM1,313
314,MEF2D,314
315,SPATA13,315
316,SMIM12,316
317,UBE4B,317
318,HOMER3,318
319,FGGY,319
320,COPS7A,320
321,DYNC1I2,321
322,THSD4,322
323,MICAL3,323
324,EFHD1,324
325,CNPY3,325
326,UBXN1,326
327,POLDIP3,327
328,BCL3,328
329,SIGMAR1,329
330,CD2AP,330
331,CSNK2B,331
332,DOCK9,332
333,HEATR5A,333
334,DENND10,334
335,GIPC2,335
336,ANXA7,336
337,S1PR2,337
338,FEN1,338
339,TRARG1,339
340,ELN,340
341,RAB11B,341
342,POLR2E,342
343,SLC12A9,343
344,SHISA4,344
345,VNN1,345
346,AAMDC,346
347,IK,347
348,UQCRC2,348
349,WDR3,349
350,ALG9,350
351,CLEC1B,351
352,ADD1,352
353,CYLD,353
354,DOHH,354
355,ATG2B,355
356,SNX27,356
357,ITIH3,357
358,YWHAE,358
359,EIF2S3,359
360,FILIP1,360
361,NTRK2,361
362,RPA1,362
363,DHODH,363
364,PLPP1,364
365,ATOX1,365
366,PRDX5,366
367,RBPMS2,367
368,LIMS1,368
369,MINDY3,369
370,TCEA1,370
371,SF3B6,371
372,BAG5,372
373,CD55,373
374,SRM,374
375,OGFRL1,375
376,NMRAL1,376
377,APOBR,377
378,AMFR,378
379,EXOC3,379
380,MROH1,380
381,SLC35E1,381
382,METTL7A,382
383,NPNT,383
384,CSNK1G3,384
385,NRF1,385
386,RRAGA,386
387,APP,387
388,MOB1A,388
389,COL11A1,389
390,DMAC2L,390
391,COPZ1,391
392,SERPINA4,392
393,TMEM167A,393
394,LAMTOR4,394
395,DNAJB2,395
396,MTMR1,396
397,ARFGAP1,397
398,UFC1,398
399,SLC2A1,399
400,CCDC91,400
401,TBCB,401
402,ARF4,402
403,CDS2,403
404,PIP,404
405,STMN2,405
406,ENTPD1,406
407,COPG2,407
408,HMCN1,408
409,SNRPC,409
410,BNIP2,410
411,TRIM25,411
412,CELF2,412
413,ERGIC1,413
414,ECHDC1,414
415,GTF2B,415
416,CCT4,416
417,NFIC,417
418,FABP5,418
419,PRKACB,419
420,MANBA,420
421,PPP1R10,421
422,VWA1,422
423,CHL1,423
424,LIG4,424
425,CCDC88A,425
426,CYSTM1,426
427,SLC7A5,427
428,TMEM35A,428
429,ERLIN2,429
430,AHR,430
431,CARD19,431
