,Gene,idx
0,NHP2,0
1,IDH3B,1
2,MRPL14,2
3,ARHGAP35,3
4,SPTAN1,4
5,MAPK3,5
6,NMRAL1,6
7,UBE2F,7
8,MRPL19,8
9,PLD2,9
10,ISOC1,10
11,OGT,11
12,TSFM,12
13,EMC7,13
14,PREP,14
15,GANC,15
16,HMGN5,16
17,CD99L2,17
18,RPL18,18
19,MTHFD1,19
20,TGFBR3,20
21,H2AC11,21
22,TREML1,22
23,MYL12A,23
24,CASKIN2,24
25,HPSE,25
26,TGM5,26
27,CDKN2A,27
28,GLA,28
29,PSPC1,29
30,DMD,30
31,CNOT1,31
32,CDC73,32
33,INF2,33
34,VSIG4,34
35,ABAT,35
36,SDC1,36
37,UHRF2,37
38,HPCAL1,38
39,RTCB,39
40,ALDH1L2,40
41,STRN3,41
42,DDX39B,42
43,RALY,43
44,VPS39,44
45,CDC37,45
46,FIG4,46
47,CA4,47
48,GNG11,48
49,S100A11,49
50,VCAN,50
51,SAA1,51
52,TPRKB,52
53,OLA1,53
54,DAGLB,54
55,JMJD7,55
56,SLC16A3,56
57,TM7SF2,57
58,CDC37L1,58
59,SLC35A3,59
60,PSMD12,60
61,GAPDH,61
62,PTPA,62
63,EPS8L2,63
64,HNMT,64
65,DGAT1,65
66,SACS,66
67,SYNE2,67
68,TLN2,68
69,TMEM68,69
70,CHRDL1,70
71,GNG7,71
72,HOPX,72
73,RIT1,73
74,NUMA1,74
75,ARHGAP9,75
76,PTPN23,76
77,EXOSC9,77
78,LGALS3,78
79,CSTF3,79
80,HSPA13,80
81,MANBAL,81
82,PRDX2,82
83,U2AF1,83
84,TGM3,84
85,RPL8,85
86,DHRS11,86
87,ACYP1,87
88,APPL1,88
89,ENOSF1,89
90,DUS2,90
91,PSMD1,91
92,CNN3,92
93,LANCL1,93
94,SRSF1,94
95,RPL23A,95
96,RDH10,96
97,RNPS1,97
98,CA5B,98
99,DDA1,99
100,DOP1B,100
101,ZFAND1,101
102,RPA1,102
103,ORC3,103
104,LILRB4,104
105,DDX5,105
106,SLC12A4,106
107,PSMF1,107
108,EDF1,108
109,KPNA4,109
110,UBQLN1,110
111,ZDHHC3,111
112,CORO1A,112
113,PSMG2,113
114,SPAST,114
115,PTDSS1,115
116,LSM6,116
117,SYNCRIP,117
118,PSMC4,118
119,CRBN,119
120,ACIN1,120
121,RABGAP1L,121
122,TRPV2,122
123,SIN3A,123
124,SELENOF,124
125,CUL4A,125
126,SLC25A19,126
127,CDK2,127
128,PDLIM2,128
129,DAP,129
130,EXOC6,130
131,RPL29,131
132,FIBP,132
133,RPS10,133
134,SERPINF1,134
135,RACK1,135
136,SCAF11,136
137,NRM,137
138,ANG,138
139,LSM2,139
140,TAOK3,140
141,MEDAG,141
142,BNIP2,142
143,C1QB,143
144,PPP3CA,144
145,CHIT1,145
146,FLT4,146
147,EXOC4,147
148,GGCT,148
149,MAP1S,149
150,MRPL49,150
151,SLC9A9,151
152,CRTAC1,152
153,TMED1,153
154,ABHD5,154
155,EIF3K,155
156,ARPC1B,156
157,PRRC2C,157
158,MLST8,158
159,RMND5A,159
160,CA13,160
161,MINK1,161
162,MRPL57,162
163,CXCL12,163
164,IFITM1,164
165,SORBS2,165
166,LTN1,166
167,NUDT16L1,167
168,HYOU1,168
169,MYO1B,169
170,CDK12,170
171,EMILIN1,171
172,CPT1A,172
173,DCAKD,173
174,DSC3,174
175,RBMXL1,175
176,FABP3,176
177,PTPMT1,177
178,STAT5B,178
179,SLC29A3,179
180,APRT,180
181,ARRB1,181
182,ACADVL,182
183,ABHD16A,183
184,RNF25,184
185,PTCD3,185
186,TGFBRAP1,186
187,DAZAP1,187
188,SMIM12,188
189,VDAC3,189
190,BCAS3,190
191,MPDU1,191
192,SMARCA5,192
193,MINPP1,193
194,GON7,194
195,SMPDL3B,195
196,GBE1,196
197,ETFDH,197
198,PLEKHM2,198
199,RPS7,199
200,ARHGAP4,200
201,PLAU,201
202,AMDHD2,202
203,TMED10,203
204,ACTR10,204
205,RASSF2,205
206,CREB1,206
207,KRT28,207
208,ZSWIM8,208
209,RAB5B,209
210,SPTA1,210
211,CTIF,211
212,KHSRP,212
213,TXNDC9,213
214,MCM2,214
215,BLOC1S5,215
216,CDV3,216
217,ENOPH1,217
218,CHD1L,218
219,LIN7C,219
220,SLC25A6,220
221,THEMIS2,221
222,VMA21,222
223,KARS1,223
224,IK,224
225,ASPH,225
226,SLIRP,226
227,SMIM15,227
228,ABLIM3,228
229,UCHL1,229
230,SGCB,230
231,HCCS,231
232,DHX15,232
233,HLA-DMB,233
234,NDRG1,234
235,CD274,235
236,TSR2,236
237,FLG,237
