Gene,S001,S002,S003,S004,S060,S007,S062,S010,S011,S021,S012,S013,S063,S014,S015,S023,S017,S064,S018,S019,S026,S020,S022,S024,S025,S030,S053,S032,S033,S067,S034,S036,S068,S038,S039,S041,S069,S043,S045,S070,S047,S092,S048,S049,S071,S050,S054,S055,S057,S094,S073,S074,S096,S075,S085,S086,S088,S089,S072,S082,S035,S078,S077,S029,S079,S061,S066,S031,S052,S076,S083,S090
A1BG,9.487609,11.909497,9.437014,10.623915,10.394787,9.430185,10.7872,11.48031,11.498695,9.99117,10.679242,10.64361,8.692558,9.556071,10.670979,11.985433,10.350918,9.735802,10.660795,9.488038,10.610733,11.627364,9.63205,10.205675,9.176938,11.80216,8.52487,11.246062,8.714574,11.125015,10.688142,9.784301,9.549193,9.866211,9.612784,10.076774,10.794564,9.61046,10.386838,9.239205,10.460399,11.40038,9.902316,9.750611,8.369296,11.005009,10.428493,9.765427,9.43421,8.035772,10.044996,7.5040374,8.8081875,9.965632,11.344443,9.40617,10.259406,10.962822,9.480246,9.749122,8.475103,11.188694,10.082676,11.091365,11.311763,10.559157,9.30058,10.636895,9.891209,10.259449,9.652182,8.773339
A2M,11.524832,12.45467,10.367755,11.103111,11.910801,10.987381,12.534193,13.210897,12.904687,11.644356,12.065091,11.657157,9.513343,11.922245,12.604783,13.020021,11.563885,13.573175,11.438731,11.082471,12.070736,13.238482,10.893612,12.248214,10.141188,12.779103,8.707053,13.974616,10.191757,12.2063875,12.239518,11.149607,11.44585,12.067708,12.412332,11.684021,11.786215,10.209149,12.290321,10.972546,11.126495,11.547869,11.523027,11.378421,8.612853,12.102122,11.764661,11.811325,10.56081,8.859698,10.757875,7.8713293,9.322194,12.109439,12.5721655,11.631353,12.043157,12.516376,10.497679,10.514625,9.373424,12.638044,11.388688,12.046088,13.240458,11.630389,9.974179,11.36867,12.067282,12.221355,10.741696,9.702744
AAAS,7.995981,8.299102,8.536424,8.529734,8.200985,7.9445796,8.599443,8.042504,8.615847,9.174426,8.912235,8.364139,7.5343585,8.079293,9.199967,8.734896,8.416767,8.467802,7.7752337,8.765256,8.793201,8.243471,8.371123,8.18072,9.102096,7.361531,7.770407,7.710785,7.500058,7.814017,7.4178853,8.664103,9.176582,8.217199,7.7331038,9.078259,9.0066185,8.321949,8.44751,8.61812,8.400708,8.706925,8.481477,7.79166,8.638273,8.775205,8.730991,7.522117,7.851406,8.11291,8.6431875,7.8890023,8.781089,7.088474,7.6536546,8.495523,8.314958,8.218539,8.669444,7.8912826,8.650996,7.653199,8.632469,9.446988,7.794242,8.799419,8.590561,9.482975,8.968479,8.518233,8.705449,7.861571
AAGAB,7.13764,8.03226,7.833686,8.244435,7.526952,7.7184486,8.638608,8.338488,8.211007,8.742573,8.181408,8.1035795,7.55301,7.96113,8.92712,7.568335,7.987148,7.806713,7.528795,7.8086724,8.652502,8.2715645,7.70393,7.102375,8.640875,7.6950135,7.493184,6.918697,7.4026513,7.460033,8.1420965,8.339978,8.833199,7.6461225,6.8798103,8.052262,8.537454,8.139052,8.188845,8.123785,8.546632,7.809924,7.5029974,7.5987887,8.015884,8.373007,8.359239,7.70215,8.06486,7.7710333,8.301588,7.5401015,6.9082475,7.590627,7.806183,7.956197,7.952167,7.4069777,8.495432,7.444564,7.527323,7.050237,7.5392466,8.953078,7.053249,8.782744,8.749932,8.687434,8.681486,8.340952,8.223504,7.4618874
AAK1,8.152582,8.314384,8.316711,8.985793,8.0235,7.2475896,8.876068,8.242281,8.721687,8.489136,8.533541,8.618406,8.07843,7.9515843,8.639041,8.667142,8.672185,8.513237,7.9964857,8.66589,9.274113,8.510913,8.3589,7.8216915,8.8043585,8.068652,7.4025927,6.965578,7.739135,7.6998854,8.213332,8.507633,9.266466,8.487243,7.1438107,8.701622,9.27308,8.499221,8.226914,8.360653,8.401565,8.719981,7.949791,8.165087,8.653046,8.83879,8.821934,8.13709,7.4662013,8.77511,8.244321,8.172234,7.877101,7.337435,8.081982,8.532819,8.628407,7.9402804,8.912836,7.868616,8.601777,7.881488,8.902181,9.190138,7.2114058,8.922295,9.174534,8.950231,8.905613,8.838526,8.71031,8.229508
AAMDC,10.130845,9.510921,7.765846,9.627058,9.353781,8.205023,9.452296,7.2729774,9.980017,9.527794,9.739289,11.166875,9.375384,8.6993265,9.287746,9.46236,9.404003,11.077811,9.737762,10.287386,11.582033,10.098453,9.579859,8.534609,8.318351,8.7935,9.337952,8.367083,8.096853,6.732322,9.271363,8.725994,10.297698,8.891822,8.112708,9.451594,10.6163645,11.432073,8.808397,9.581241,9.759032,10.107262,9.292339,8.777532,11.388305,9.243552,9.1005945,9.396754,7.893687,9.268403,9.195016,10.836982,9.107704,8.147273,8.971181,9.073561,9.600991,9.674199,9.809361,9.44142,10.63977,8.148823,10.907817,10.148595,7.7373166,9.60554,11.918618,9.256181,10.968068,9.563463,9.891073,8.542467
AAMP,7.640238,8.037564,6.8985195,7.932114,6.920074,7.5938425,8.183024,7.7876744,8.346667,8.464909,8.395856,7.9231343,7.4559193,7.1536117,8.453909,8.311817,8.380713,8.1179495,7.5203466,8.380848,8.836609,7.960241,8.1818075,7.737929,8.323479,7.0746975,7.411747,7.197168,7.4046526,7.298135,7.9893665,8.018667,9.352801,8.084251,7.1541004,7.755942,8.692569,8.368944,7.5118885,8.101624,8.425147,8.8462,7.4964957,7.1949873,8.761691,8.176872,7.871126,7.3636065,7.5961466,7.594327,8.025935,7.5889926,7.788357,7.7223377,7.9213495,8.633334,8.16121,7.681903,8.062407,7.8130255,8.327918,6.8627152,8.87483,8.611145,6.3955855,8.561729,8.9115715,8.489432,8.75766,8.46772,8.386581,7.006774
AARS1,9.45783,9.889016,7.927781,9.794717,8.84136,8.466179,9.808266,8.825582,9.686397,10.550032,10.034889,9.407467,8.732889,9.020927,10.178045,10.000663,9.672688,9.733866,8.858285,9.571083,10.320145,9.460193,9.236946,8.705153,9.575988,9.047627,8.114183,8.041226,7.5883403,8.574443,8.988395,9.96799,10.304072,9.173595,8.323474,9.080257,10.273862,10.008108,9.013864,9.342247,9.434554,10.375526,8.9079895,8.416667,10.120175,9.895612,9.521161,8.970417,8.909126,9.06553,9.80409,9.145495,9.139441,8.613055,9.108692,9.640015,9.615305,9.086942,9.625299,9.037266,9.553874,8.153116,9.899611,10.519631,7.85088,9.963807,10.278811,10.40573,10.351904,10.0536585,9.599574,8.7387495
AARS2,8.239049,8.129547,8.169467,8.570408,8.1374655,7.9065466,8.540896,8.256592,8.586419,9.321147,8.772353,8.194933,8.197566,7.762674,8.880421,8.407482,8.67438,8.355902,8.257563,9.011675,8.689062,8.2098055,8.466862,7.9917397,9.026755,8.123724,7.982933,6.889845,7.36471,8.011225,8.200603,8.829132,9.360647,8.4820175,7.6165333,8.9757805,8.860746,8.451423,8.561108,8.795881,8.337292,9.204495,8.255841,8.125215,8.531403,8.750965,8.813296,8.322794,8.223338,8.5672455,8.458503,8.185032,8.848678,7.826171,8.467695,8.643848,8.295174,8.279306,9.038391,8.098863,8.476695,8.145874,8.602738,9.201716,7.8988886,8.785833,8.526002,9.051392,9.02611,8.853976,8.64819,8.121686
AARSD1,8.42952,8.433318,7.730705,8.674891,8.137507,7.94536,8.501562,7.8111525,8.518751,8.794595,8.6712055,8.84277,7.8247385,7.848338,9.039501,8.415393,8.658128,8.961582,8.36875,8.558647,9.271353,8.43738,8.346616,8.259085,8.7245245,8.496937,7.7481346,7.26918,7.055125,7.1046453,8.219248,8.753502,9.2027,8.430223,7.9430466,8.414721,9.162075,8.877053,8.439147,8.449981,8.611074,8.367434,8.332839,7.761722,9.1492815,8.700316,8.522934,8.38448,8.306256,8.110365,8.488673,8.096154,7.7399364,8.102684,8.217993,8.628881,8.396358,8.277682,8.676603,7.716089,8.941618,8.404806,9.35224,9.516817,7.845002,8.993566,9.442814,8.872302,9.220998,8.864832,8.461318,8.078597
