Genes,Sample 60,Sample 65,Sample 18,Sample 59,Sample 42,Sample 30,Sample 31,Sample 77,Sample 32,Sample 7,Sample 55,Sample 76,Sample 28,Sample 72,Sample 88,Sample 11,Sample 64,Sample 25,Sample 78,Sample 83,Sample 70,Sample 90,Sample 45,Sample 85,Sample 17,Sample 22,Sample 57,Sample 66,Sample 38,Sample 82,Sample 39,Sample 61,Sample 16,Sample 23,Sample 24,Sample 87,Sample 73,Sample 15,Sample 49,Sample 75,Sample 79,Sample 34,Sample 1,Sample 36,Sample 29,Sample 5,Sample 86,Sample 52,Sample 12,Sample 20,Sample 51,Sample 48
ACO1,2.971986646023988,2.829284680874331,3.140230544350372,2.809809955980966,2.975592896575235,2.667328168782503,2.836774563919185,2.853789492937346,2.846163733286133,2.7747351289928,2.73666692789669,2.579597330570825,2.621189685793633,2.7747351289928,2.796826385550208,2.673593656342292,2.7747351289928,2.573807237939417,2.7747351289928,2.7747351289928,2.557801116906929,2.7747351289928,2.7747351289928,2.7747351289928,2.7747351289928,3.125283738555886,2.795102817645067,2.7747351289928,2.754367440340533,2.750156561119725,2.7747351289928,2.689134831062516,2.658408432361758,2.684207255549393,2.7747351289928,2.7747351289928,2.7747351289928,2.7747351289928,2.7747351289928,2.7747351289928,2.7747351289928,2.7747351289928,2.7747351289928,2.7747351289928,2.820231653971184,2.7747351289928,2.434216615208289,2.867750452453416,2.7747351289928,2.7747351289928,2.7747351289928,2.7747351289928
AKAP12,2.801332996675246,2.815325944835696,2.801332996675246,2.788448886674265,2.838054087730709,2.814473049554405,2.660649596778705,2.813082013098582,2.876204215132748,2.789895095544474,2.848519840058655,2.798900989912645,2.801332996675246,2.766387264854135,2.681057839783213,2.850376837034958,2.801332996675246,2.736548810555648,2.859256838697546,2.823866681586513,2.905571342220908,2.79616899335025,2.801332996675246,2.786673957237436,2.801332996675246,2.743378910486073,2.780815248920172,2.801332996675246,2.860714136887006,2.782402053360205,2.824436049138239,2.891319901143501,2.860317353814052,2.805305069021945,2.801332996675246,2.801332996675246,2.836214774643278,2.82663834707673,2.769487072378524,2.847519761133753,2.794855083913236,2.801721619666824,2.811487714225601,2.740040724748776,2.801332996675246,2.801332996675246,2.761203769131421,2.801332996675246,2.712674433062559,2.776882966696702,2.786165071776101,2.73972318157412
GXYLT1,2.611599836472146,3.036813337827052,2.710201122684722,2.991092381045633,2.744971455433559,2.963665077398619,2.957809405083005,2.929123187695907,2.556598621017554,2.944289237707408,2.938565057217597,2.939346641274531,2.805904070294566,2.703356009826564,2.801780405944769,2.705031844713414,2.805904070294566,2.467369280347047,2.805904070294566,2.705349533183857,2.805904070294566,2.805904070294566,2.805904070294566,2.805904070294566,2.805904070294566,2.805904070294566,2.805904070294566,2.805904070294566,2.761152991709539,2.805904070294566,2.805904070294566,2.805904070294566,2.805904070294566,2.718501913826017,2.805904070294566,2.805904070294566,2.805904070294566,2.805904070294566,2.698166385905431,2.805904070294566,2.736183856981385,2.866680712961902,2.828125323473441,2.806732202423722,2.982638612873222,2.805904070294566,2.805904070294566,2.805904070294566,2.805904070294566,3.038697694253859,2.983128090037789,2.772033517082959
ITM2B,2.555752955740502,2.784249731740315,2.636997383055558,2.770643212693588,2.828856857185028,2.916377064582366,2.973220062853314,2.922599126245532,2.816874827056202,2.961622581699503,2.817621331563914,2.791838166656896,2.820802772490338,2.794115748278092,2.837489925109792,2.641836729628992,2.907072527140719,2.746984087558329,2.767806455578086,2.816128322548489,2.755812289648201,2.816874827056202,2.702448415757648,2.816874827056202,2.768671436523931,2.604676829103638,2.740048488088802,2.816874827056202,2.778925575551892,2.753294829493171,2.967511353405063,2.883651104027826,2.816874827056202,2.77600263769579,2.83763024046947,3.14900969208968,2.766130238130863,2.795512713960973,2.778235501091499,2.837277887812734,2.930775271992258,2.947410718566855,2.911731185681554,2.980546058835901,2.909109092454889,2.958602049542172,2.932252855908396,3.056710686505492,2.816874827056202,2.918723284324741,2.810206782797299,2.698230519320874
PEPD,3.042463932002289,2.932290435430051,3.108156598961672,2.932131312465041,2.956729941026794,2.704692013922946,2.961719631695002,2.92292025165319,2.820739776132728,2.679930196697456,2.809737155763961,2.780474034164796,2.786147816497481,2.817135994579043,2.878044264335565,2.726739716459126,2.81346448990763,2.780841102459041,2.81346448990763,2.822563322332972,2.81346448990763,2.81346448990763,2.776219692609833,2.741927119939226,2.687196397865878,3.187279972583065,2.809792985236217,2.979172335849996,2.94772694303315,2.874299050979531,2.81346448990763,2.916154093070912,2.877604927254923,2.81346448990763,2.795103040733579,2.81346448990763,2.81346448990763,2.565682691084492,2.81346448990763,2.549998328441543,2.81346448990763,2.921602376692118,2.81346448990763,2.676706190279099,2.689152675046343,2.81346448990763,2.732101589166751,2.931771854150188,2.616382184260192,2.71983072901673,2.817589236809057,2.714327400553871
TKFC,3.000470101081972,2.848478529338411,3.116547056519856,2.731148100545809,2.863515404906602,2.716894993481281,2.770554469700861,2.826171156840183,2.784710824265157,2.738446180260031,2.624921608248831,2.66955593580921,2.738446180260031,2.977036838075084,2.733292555564954,2.613275458036334,2.738446180260031,2.743599804955107,2.738446180260031,2.738446180260031,2.738446180260031,2.738446180260031,2.738446180260031,2.738446180260031,2.738446180260031,2.984833569203958,2.994931087742275,2.738446180260031,2.902488420676828,2.738446180260031,2.738446180260031,2.738446180260031,2.738446180260031,2.754496524321806,2.738446180260031,2.738446180260031,2.738446180260031,2.738446180260031,2.738446180260031,2.738446180260031,2.738446180260031,2.738446180260031,2.738446180260031,2.703501240218015,2.587668238658063,2.638387522228451,2.631232073389927,2.698547088266686,2.738446180260031,2.738446180260031,2.673048119125346,2.578361798278723
TNN,2.811868175763392,2.863237174044996,2.814268270627681,2.628598467328018,2.814268270627681,2.870771411687582,2.814268270627681,2.793399857395702,2.814268270627681,2.814268270627681,2.811268447985606,2.816668365491971,2.814268270627681,2.780765833815211,2.814268270627681,2.744987253280555,2.814268270627681,2.888971685912562,2.792749254393174,2.93328563113757,2.814268270627681,2.814268270627681,2.875365486279606,2.814268270627681,2.814268270627681,2.814268270627681,2.814268270627681,2.814268270627681,2.841455548675939,2.769378756709904,2.822100041125718,2.814268270627681,2.701388309047531,2.93933076176008,2.814268270627681,2.814268270627681,2.777329681155773,2.747409833086697,2.936365253388169,2.814268270627681,2.89593494754043,2.876967670899979,2.814268270627681,2.722834618086646,2.814268270627681,2.814268270627681,2.814268270627681,2.772637885057074,2.814268270627681,2.838195534997099,2.863864373096979,2.70444156433326
XYLT2,2.557026023503352,2.842593751139597,2.71570596367909,2.796841996447416,2.613155600533412,2.795224371268127,2.77584447752586,2.739147158979232,2.796841996447416,2.83999585330276,2.731238486834294,2.798459621626705,2.696479420055315,2.785164780613465,2.801684220480088,2.807540332975645,2.796841996447416,2.796841996447416,2.796841996447416,2.796841996447416,2.778766986375249,2.796841996447416,2.796841996447416,2.796841996447416,2.796841996447416,2.827206285683181,2.796841996447416,2.796841996447416,2.728970349108074,2.796841996447416,2.796841996447416,2.796841996447416,2.796841996447416,2.820729328387396,2.796841996447416,2.796841996447416,2.796841996447416,2.796841996447416,2.710411707103253,2.796841996447416,2.796841996447416,2.864832058054776,2.796841996447416,2.898962414607846,2.99704643018104,2.796841996447416,2.796841996447416,2.955557258328818,2.796841996447416,2.834881371984947,2.831067130986867,2.786548752729605
A1BG,3.056956902717784,3.168647568848876,3.189753526497234,3.17202687541051,3.243289747741855,3.16968729520856,3.251240577659703,3.187263794053668,3.136898085847332,3.169132034500711,3.21020108486502,3.236001395301955,3.116003198411127,3.223819545508813,3.265790815673645,3.219240022956419,2.829512656740865,3.243863364007659,3.006095850602566,3.08858229584288,3.072010580066868,2.964380664428478,3.019687519315332,3.037569519962276,3.135212767658209,3.112245074873252,3.131802794146381,3.294243719328674,3.13881645778589,3.174006228437396,3.028834432191622,3.111175673697025,3.026001586843116,3.248468383481981,2.670148385131419,2.91918200938799,3.098078481321366,3.092530454616562,3.099046402839821,3.212734927208638,3.174128457147121,3.126712381286255,3.156166559087036,3.175241042053361,3.19912712369493,3.154578036064299,3.269690833898407,3.353936548678528,3.186007814634747,3.160047554536728,3.218556476177938,3.265901214685512
A2M,3.351894028018645,3.382669876067875,3.241579892147914,3.387573563837071,3.403834607700723,3.41927867857669,3.374692309488546,3.37387167432602,3.328976092431406,3.329153013616278,3.496762623462386,3.564657373185016,3.356213038827561,3.45104857833162,3.551156093709804,3.491577693154141,3.198022592349036,3.559081909429096,3.315693601305699,3.274230540808921,3.314525634682128,3.217026414881278,3.373980864810452,3.234021251524061,3.181476708017376,3.180101650343039,3.370250101276529,3.032353732987574,3.449617814854851,3.382570162870401,3.290763963184522,3.296808010390276,3.360665874106397,3.452138132043579,3.138297525797161,3.132468889120832,3.314748422895999,3.450643349375609,3.357840592977311,3.528255074961656,3.413477782865368,3.346227378233347,3.387975609401907,3.467404925002043,3.535891617938932,3.326644003904773,3.509020455973581,3.53847124694689,3.376549609997912,3.536571785601037,3.499410122220357,3.549408184875732
