,Genes,Sample 60,Sample 65,Sample 18,Sample 59,Sample 42,Sample 30,Sample 31,Sample 77,Sample 32,Sample 7,Sample 55,Sample 76,Sample 28,Sample 72,Sample 88,Sample 11,Sample 64,Sample 91,Sample 25,Sample 78,Sample 83,Sample 80,Sample 70,Sample 90,Sample 8,Sample 45,Sample 85,Sample 84,Sample 17,Sample 44,Sample 22,Sample 68,Sample 57,Sample 66,Sample 38,Sample 82,Sample 39,Sample 37,Sample 61,Sample 16,Sample 23,Sample 24,Sample 87,Sample 4,Sample 73,Sample 15,Sample 49,Sample 75,Sample 79,Sample 34,Sample 1,Sample 36,Sample 29,Sample 5,Sample 86,Sample 52,Sample 12,Sample 95,Sample 20,Sample 51,Sample 48,missing,mean_intensity
4409,A1BG,8.282880536074,8.73521670776038,9.18969391446417,9.67162737121731,8.9919779427498,9.08020327513106,8.56022371234092,7.86188561158917,9.23598722458526,7.64678693753686,,8.47165726174141,8.28873769571623,,8.22056245957974,9.87835274984575,8.41698246810495,,7.67261807168287,9.04979310624964,7.85886251929778,8.95192314221279,8.16070705715152,,9.54109316388689,9.25025395088824,9.45209607337242,6.58583135539883,8.80776068878725,8.91128777363893,8.08559397413996,7.67353378564985,,7.92579932776143,8.40407829180715,,,10.3539586067701,8.69756399817347,9.77744791938217,10.1089345719958,9.40668017894949,10.2596841855503,8.68949898365896,8.61517599830448,9.67460810655942,8.24822995249384,8.84336812658088,9.64312471478629,8.58399608814384,8.65334981549011,8.19043007048608,9.14164608902446,9.66724333816599,7.69772775450138,8.11553579994692,8.96335218902466,9.05728026196752,9.80990346963184,8.47179624867758,8.06852774408242,0.11666666666666667,8.619201083209319
4936,A1BG,10.3947864188207,10.3363545042651,10.6607954783655,12.5902252523613,11.0532364649445,11.8021599484771,10.6368955190326,10.0826757789281,11.246061938836,9.43018489551077,9.76542650681048,10.2594494591378,9.38047476913422,9.48024544723896,10.2594061890837,11.4986955619326,9.73580143491677,7.35417561810471,9.17693805925064,11.1886935280639,9.65218200393136,11.438123538117,9.23920501072103,8.77333936709819,11.7884360789262,10.3868375088548,11.3444436123104,8.9784726432893,10.3509173482059,10.4262526697206,9.63204973665129,9.54919332905579,9.43420975385907,9.30058005128365,9.86621113676931,9.74912170861246,9.61278420576942,12.6220243689303,10.559157537449,11.5205465014613,11.9854324735649,10.2056750040981,12.1226041829095,10.6239145103945,10.0449964469555,10.6709783746116,9.75061164019917,9.96563258944838,11.3117632344656,10.6881415069112,9.48760905309159,9.78430082992704,11.0913647474443,11.4506346305213,9.40617003916031,9.89120855672155,10.6792419457428,11.6571664761121,11.6273638541749,10.7272363783549,9.90231655005175,0.0,10.216989303119213
8731,ACP1,7.35050930052563,6.83757771751096,7.109996809534,,8.59923408698351,8.55199298589213,,,,7.83496052432858,8.24646020522403,7.97019547888993,7.88405452047335,7.10854713413615,7.3692836856356,8.09087475347542,7.79700226951775,,6.86055850730514,,7.90657301138813,,7.52078055276662,,,7.08174577780796,8.05309219950387,8.07466926112022,7.35080011595816,8.13168630234833,7.06246417485161,7.93191434282204,8.24181507584193,7.7845776941073,7.30775214757247,7.29428203247619,8.16288115071363,,7.2695769495774,,8.6029375096267,,,7.10476718373747,7.82334196233636,7.37690668129326,8.01328301851897,7.87391968782654,8.14814827280176,8.10152337559498,8.17377192241483,7.97563226909122,7.53259453781187,,8.24831451461725,8.56428242251303,8.24880867320677,,7.87826775857781,8.02652571533394,7.90593693247461,0.25,7.636615476207386
3503,ACP1,10.1028761945197,10.3858552785659,10.8027454502908,9.7038259334864,10.8295654906241,11.9614935467587,10.5807523003173,10.5178765105081,9.72889531863827,10.4362169737456,10.1759529633451,10.2699235322697,10.3520945850051,10.1030090420076,10.0950584416304,10.4496451189772,10.4036005904071,7.70856238878717,10.2883122813797,9.68668454899211,10.4252498394466,7.72797407206869,10.915848296845,8.40627756709612,7.10294869591794,10.1769081109655,10.2296149374883,10.3940665469114,10.8798843464176,10.8727330850773,10.694605927043,10.7913084828587,10.4262756624242,10.6656333001165,10.1241900140529,10.1167683203194,10.3983221344449,9.85460320965968,10.3678689691492,8.63409926224918,10.9481043993295,10.6129421859712,8.44221278664095,10.9535703287667,10.3392384512588,11.0058288659726,10.8149453229085,10.9464879600702,10.0766827099056,10.3412187133669,10.6583709688196,10.6284153617197,10.5385436962654,8.92697335607774,9.44457841399936,10.8106416573669,11.0890023225029,8.33994723046514,10.3053264749372,10.5244244866391,10.2852799808202,0.0,9.995376831968729
1828,ACTN1,,,7.16239964522435,,,,,,,7.45095176801198,7.1607234050844,,,,,,,,,,,,7.86440298343894,,,,7.59570975561707,,,,,7.39115255467755,,7.00723221330344,,,,,,,,,,7.78544012309492,7.37087519732417,,7.40631758051268,,7.15289801876556,,7.66209658144659,,,,,7.33045108412946,7.60217531735393,,,,,0.7666666666666667,6.980632859643447
1829,ACTN1,10.8763429420988,10.756207807159,10.7151638601963,10.8495212947974,10.6802714908263,10.5126347081826,10.5773203475404,12.6992049963412,9.60163991756353,9.91762041938121,10.7652322048514,10.3472207107213,12.5456024623807,11.4564041704825,10.726072378521,10.6627036131461,11.9235633446268,7.46575374535935,11.1540870752922,9.2476231269474,10.9249285758211,7.09856885497022,10.0008071616804,8.95609614818165,7.07977598876365,10.2938878115934,10.5083111639658,10.4021554227757,10.2740168012382,11.3210162533145,11.1430698024144,9.97259029284594,9.93700399363618,12.6024796791623,11.55347185249,10.3695529781036,9.69071828493538,9.20719445751921,10.1048819571786,10.0526078698034,10.5396827826395,10.2984396011884,9.18831134253679,11.4823980580608,10.937068521822,10.6883528086103,10.3179252755211,10.5470944959072,10.1975400367693,10.7176496182439,12.8089388060572,10.6056777150312,10.7843858210233,8.24865168506192,10.8327148665931,11.9374750418951,11.4949163790709,7.1861318875687,11.4887586009207,11.2768701365822,9.9280020755565,0.0,10.255802763629022
9150,ADAR,,7.57162659985984,,,7.54823475951355,,7.92744686475982,,,,,6.9520860023088,,6.78533108681846,7.53983786797118,7.58919680048259,,,7.5940862512708,,,,,,,6.84937973475533,,,7.7959373141077,,6.70000999649624,7.31062292701944,,7.26723602578325,7.56575414539347,,,,,,7.68997011752451,,,5.90146023363097,6.95500052274324,6.68476438790227,6.53131384913141,,,,,,7.56834791055894,,,7.06591842731129,6.73586024406033,,,7.45692427789711,,0.6166666666666667,6.925125542248634
3130,ADAR,8.11560976425665,9.00014136669615,8.35749379633943,8.29384822030608,9.31515377331976,7.83648785137866,9.93789726170432,8.81332856754279,7.14754359603927,8.03672704009017,8.19205729468256,9.21702425135111,8.51954834977571,9.03100908692573,8.63892102521588,9.09015627925159,8.49803184208684,,9.63877649505649,7.66649117165432,9.09393726994929,,8.69349041428116,7.92508243449869,,8.80593571381088,8.74258752163465,,9.2624863518654,8.7512689730602,8.85545837784727,10.0617008922891,8.48721284745567,9.01147085765315,8.7080634923576,7.9420139476224,7.63085805480019,7.70618306129229,9.27509951640996,6.6773597473716,8.90228596003459,8.04030961297472,7.01067074442559,9.19395472808221,9.09242601305175,9.44324179182637,8.29415354852007,7.69987184817642,7.40415260424374,8.12130243894651,8.45800773940061,8.97240185502078,10.0523554484959,,8.872029182451,9.42410767240516,9.262184384057,,8.62085150366184,9.15600391982849,8.00230484713165,0.1,8.454244774297287
8489,ADARB1,,,,,,,7.53067146544001,8.09705523148809,,,7.1754169448905,,8.02914673593103,7.3673854290511,,7.26613455813548,7.74750933324131,,,,7.2871479370745,,7.0135217028893,,,,,,,,,,,7.99500967274309,,,,,,,6.8749052352612,,,7.12272377863729,,7.53345413699278,,,,,,,,,,,,,,,,0.7833333333333333,6.987386821079215
7679,ADARB1,,7.50820380610463,8.17331831547582,8.06087635523829,8.10120779092843,,8.35650088393384,9.32136963267226,,,,7.520724566214,8.71062538458202,7.84228144119532,8.21122710108286,8.22142421360176,8.87192191591605,8.79648177563886,8.16283972324319,,8.30923020141046,,7.91592243771117,,,8.0308291335328,7.65908982281739,,7.70684050397932,7.98854020303123,7.10925905851136,7.8309403131177,7.44874882426044,9.02950675116202,7.9077065438598,7.45408289436403,,,7.95085957561755,,8.02067155298702,7.32286368594845,,7.94922104529654,8.06669433972447,8.38598820147352,,,,,8.20858976120873,7.97118175626746,8.45871888494315,,8.01107284434469,8.17062727067034,8.4629478144284,,7.97435891182388,8.33781506442648,,0.3333333333333333,7.899381552099489
9011,ADD2,7.16220666348445,6.54456986099913,,7.46742836422296,7.1706814844539,7.88298478509553,7.0570606586806,5.44380126560495,,7.81611869873759,7.60523870178676,7.13507586702939,,,,7.41250548981165,,6.66164024404491,6.96815558117052,7.04758052893616,,,8.50881819628414,7.68505077312998,,7.12630989887934,7.62024379533866,,7.96344113717738,7.42176549660663,6.9074708504574,,7.21081473898265,,,,8.11226799528929,,,,7.18453976288515,7.32237714551835,,7.11175100578116,,7.21809483553722,7.61176944390085,,,7.47332236896085,,7.0662826550219,,,,,7.30659487058138,,6.63915102284865,,,0.48333333333333334,7.068320026784011
1178,ADD2,10.2206388341968,10.3372715503009,10.7051855018579,9.20441403821285,10.0155522037823,11.2972927795804,10.0167897011253,9.08396613897373,8.99677154773996,11.1145737577792,10.8527991231579,10.6788804675653,9.85536153994334,10.4612156332751,10.1506763578872,10.1079755975915,8.7858542180759,8.75895516492384,9.86281263705929,9.57965891625648,9.86415832223941,7.89075413731386,11.6613304673971,9.53213441795694,7.28800800029744,10.0019384610706,10.3246545013653,10.9689749920532,10.5146879551166,10.4317143266923,10.4273797101436,9.47363569147485,10.6547714013546,8.24187869744426,10.2117437662686,9.99501388348064,11.0523659820185,9.55737011177713,9.47204472315345,8.40909870067869,10.0803997313386,10.5479590422465,9.34584087749865,10.52759068133,9.06448581669953,10.1893578481725,10.6205046990582,10.8244206271545,9.90440172960026,10.1070813931301,9.04390795305177,9.67961321736033,8.7846800434406,8.73352703608714,9.99812260975198,8.81107002873787,10.3865721791574,7.79399120033716,9.1538268986235,9.45736269443268,10.4282364422526,0.0,9.661026522522087
8082,AGTRAP,,,8.50936092605945,7.80031446104777,,,9.09430580786588,,,,,,,,,,,,8.89258280368157,,,,,,,8.59056766724864,,,,,8.65506898393082,8.56369548041173,,8.91849860846743,,,,,8.75889558907088,,,,,,8.85425366121712,8.53166978520815,,,,,9.27008792866963,9.28738644942192,8.83726600605932,,,9.22519222812945,9.21843250429821,,,9.23220070701811,,0.7166666666666667,8.386469236915154
8080,AGTRAP,9.18217960330022,9.36710188168251,9.42796423629845,9.36890751264531,9.68716145607424,9.4090055778394,9.97451102173705,8.75024036330458,8.38883362999227,9.60374501182883,9.35652467533482,9.1898315822629,8.78986139899419,9.44415545782724,9.62189010587922,9.93190630916595,9.45971021820127,,9.75695453990406,9.35625307509909,9.47467791295932,,9.05816464024336,8.54078266324837,,9.65433040197703,8.75155158687952,8.35441928635987,9.40049051596671,9.38941782721826,9.77954409358176,10.0655814175693,9.22187448203212,8.94144585759675,9.92769358967028,8.67307900446875,8.8995483773487,8.84853276815714,10.392290908341,8.63849813480565,9.62674595477604,9.16475892091423,7.68847499779554,9.62835570511319,8.87992357201396,9.92073044351652,8.8029464559305,9.01499483640179,8.24281257358697,9.58815677899734,9.35858941237092,9.61946243750021,10.4894817986546,7.32860006076132,8.54636837346609,10.0919951214372,10.0971191777881,,9.72790579004785,10.2683590473251,8.56866774838281,0.06666666666666667,9.11609819992881
9436,AKR1C3,6.99863992789737,8.57155608268206,6.85376736843339,6.62438846480494,6.07270642104803,,,5.79239303838081,,,8.09360794876197,6.96649889059262,,,7.40129118970842,6.97224356136489,7.8412795581521,,6.70921228484212,,7.40986168511053,,,,,6.32746502976082,,,7.48082736936787,6.97465412329873,7.05898683388686,6.82636795825181,7.27969183895859,8.01413664628468,7.52814985572547,6.79162684029879,,,6.94901844927037,,6.39311313938244,,,,6.873549036414,7.14692860081618,,,,,7.07031424610056,6.28169116587116,6.70739265743296,,6.59440660880321,6.60971104389491,6.65857739655176,,,,8.21193145450867,0.4666666666666667,6.83497010470995
6069,AKR1C3,9.49129280605825,11.0886681496345,10.0223477641646,9.84886649074958,9.44170715035195,8.82488399225664,9.10192202936576,10.1623933037334,8.61511954630762,9.61633433322074,10.8013452074272,9.69808069416501,9.43381964790031,10.0620701303544,9.60718109998445,10.0387158868696,10.0691433750331,,8.75323619291591,6.64267468781415,9.4376051921964,5.76661912272743,9.07446603350651,7.94961857058781,3.54217561515181,9.32131507970015,8.77342684597505,8.01576278922036,10.0526860556582,9.44018819403909,10.274887876776,9.65073081165355,9.7850619396488,10.8171946249582,9.74586755601201,8.41347680703167,8.99401642440212,6.93645744537185,9.38610412094356,7.86855158883091,9.86709751328365,8.31900627551164,5.89654667316075,9.45746008802152,9.17858305027783,9.78101684135919,8.30173025930227,8.51327832520374,7.72380359762721,9.74052060200254,9.76612958885889,8.87314885124163,9.8188720497377,8.1293534750666,9.38503709603939,9.7786847958162,9.77159886615402,,9.42313894429152,9.8512315535389,11.1094108054874,0.03333333333333333,8.945656016304344
2969,ALDH9A1,,7.33927445581583,,,,,6.75061962447752,7.42454439000161,,,,,,7.35799442257207,,,,,,,,,,,,,,,7.40522480073709,6.62665776594073,,8.13591652726374,,7.53924078850014,6.94198249131083,,,,7.44904086520762,,,,,,,7.16418846104014,,,,6.21829688794376,,,6.49093210805425,,7.61199394993895,7.20454403940512,,,,,7.42067234195844,0.7333333333333333,6.812615132558893
984,ALDH9A1,10.6264878595869,11.1259468392252,9.97012152181723,9.48174979165034,10.6475490421858,9.51765615474536,10.8337168018454,10.892660343487,8.54130553210249,9.77828307217103,10.3404182523467,10.6045176738793,10.2359003000365,10.8754107292852,9.55701065201383,10.4281077445875,10.146403979103,7.52968694192984,10.4523371268802,9.59617351232274,10.5229932914464,6.81579624941409,10.3181967685532,9.24255446477169,6.38548773881202,9.70133551953381,9.97219217298342,8.84009812058005,10.5257811405522,10.4953395578972,10.8694114401935,11.7817303901553,10.0114766747637,10.9585283310469,10.3406915973676,9.98876482268973,9.3477332298916,8.41619491113304,11.0055697662493,7.73469532954952,10.197876874203,9.26072524527783,7.89859456476149,10.2436473335407,10.5695740293327,10.4570247940879,9.3786263843931,9.77664957512619,8.83838035584541,10.0703545635878,10.1222662404729,10.3466382261373,10.9498743639842,8.28458073485794,10.9435265046517,10.3873374721167,10.1596350982666,6.82089930115389,9.99663327549995,10.0444921136953,10.8418393638429,0.0,9.662601704000567
