,PR50,PR75,PR80
Sample 95,76.57276995305165,69.17325357829523,65.94375595805529
Sample 91,76.38497652582159,68.27600939970092,64.7998093422307
Sample 8,76.36932707355243,69.25870540482802,66.30123927550048
Sample 80,75.24256651017215,67.52830591753899,64.10867492850333
Sample 5,51.158059467918626,36.06067079683829,30.028598665395617
Sample 87,50.923317683881066,35.9111301004059,29.551954242135363
Sample 84,46.901408450704224,31.019013031403546,24.928503336510964
Sample 16,41.36150234741784,24.54603717154454,18.398474737845564
Sample 37,37.80907668231612,20.145268105105746,14.132507149666349
Sample 32,35.978090766823165,17.517624439222388,11.415633937082937
Sample 79,31.67449139280125,13.223670155949582,7.6978074356530035
Sample 90,31.251956181533647,15.594958342234566,11.177311725452812
Sample 78,28.528951486697967,11.920529801324504,7.4118207816968535
Sample 39,24.522691705790297,6.814783165990174,3.3603431839847473
Sample 82,22.269170579029733,8.352916043580432,4.861773117254528
Sample 75,21.90923317683881,5.8748130741294595,2.8122020972354624
Sample 59,20.7981220657277,6.2379833368938264,3.0505243088655862
Sample 30,19.74960876369327,5.10574663533433,2.740705433746425
Sample 7,19.233176838810643,4.123050630207221,1.9304099142040037
Sample 49,16.118935837245697,3.866695150608844,2.001906577693041
Sample 57,15.446009389671362,3.097628711813715,1.6920877025738796
Sample 55,14.741784037558686,2.948088015381329,1.572926596758818
Sample 48,13.708920187793428,2.71309549241615,1.572926596758818
Sample 18,13.661971830985916,2.5849177526169624,1.4299332697807436
Sample 24,11.799687010954617,1.153599658192694,0.42897998093422307
Sample 60,10.438184663536775,2.050843836787011,1.1677788369876072
Sample 34,8.810641627543037,0.4699850459303568,0.16682554814108674
Sample 85,8.63849765258216,1.0681478316599018,0.47664442326024786
Sample 1,7.042253521126761,0.9826960051271096,0.6196377502383222
Sample 22,6.071987480438184,1.0681478316599018,0.548141086749285
Sample 23,5.68075117370892,0.6836146122623371,0.40514775977121065
Sample 83,5.602503912363067,1.0895107882930999,0.6911344137273594
Sample 88,5.571205007824727,0.640888698995941,0.23832221163012393
Sample 73,5.446009389671361,0.8758812219611195,0.548141086749285
Sample 28,5.352112676056338,1.4954069643238623,1.09628217349857
Sample 45,4.741784037558686,0.34180730613116855,0.2621544327931363
Sample 70,4.600938967136151,0.7477034821619312,0.5243088655862727
Sample 64,4.162754303599374,0.619525742362743,0.3813155386081983
Sample 20,4.05320813771518,0.21362956633198035,0.07149666348903717
Sample 77,3.4428794992175273,1.0254219183935056,0.7387988560533841
Sample 44,3.2394366197183095,0.4272591326639607,0.2621544327931363
Sample 86,3.1924882629107985,0.6836146122623371,0.42897998093422307
Sample 4,2.832550860719875,0.5340739158299509,0.3574833174451859
Sample 36,2.566510172143975,0.3204443494979705,0.16682554814108674
Sample 51,2.488262910798122,0.21362956633198035,0.16682554814108674
Sample 25,2.456964006259781,0.640888698995941,0.5004766444232602
Sample 65,2.4100156494522693,0.5340739158299509,0.3336510962821735
Sample 66,2.15962441314554,0.640888698995941,0.5243088655862727
Sample 42,2.0500782472613457,0.3631702627643666,0.23832221163012393
Sample 76,2.0500782472613457,0.34180730613116855,0.19065776930409914
Sample 68,1.9405320813771518,0.6622516556291391,0.5004766444232602
Sample 38,1.9092331768388107,0.21362956633198035,0.16682554814108674
Sample 11,1.8309859154929577,0.10681478316599018,0.07149666348903717
Sample 17,1.7370892018779343,0.17090365306558428,0.07149666348903717
Sample 52,1.5023474178403755,0.27771843623157444,0.14299332697807435
Sample 61,1.3928012519561817,0.27771843623157444,0.11916110581506197
Sample 29,1.330203442879499,0.5340739158299509,0.47664442326024786
Sample 12,1.2832550860719876,0.14954069643238624,0.09532888465204957
Sample 72,1.2519561815336464,0.3204443494979705,0.14299332697807435
Sample 15,1.2050078247261347,0.27771843623157444,0.16682554814108674
Sample 31,0.7668231611893583,0.0640888698995941,0.023832221163012392
