protein,missingness_percentage
A1BG,0.0
A2M,0.0
A2ML1,95.45454545454545
A4GALT,59.09090909090909
AAAS,9.090909090909092
AACS,40.909090909090914
AAGAB,15.909090909090908
AAK1,0.0
AAMDC,0.0
AAMP,2.272727272727273
AAR2,29.545454545454547
AARS1,0.0
AARS2,4.545454545454546
AARSD1,2.272727272727273
AASDHPPT,11.363636363636363
AASS,9.090909090909092
AATF,54.54545454545454
ABAT,11.363636363636363
ABCA1,20.454545454545457
ABCA2,77.27272727272727
ABCA6,15.909090909090908
ABCA8,11.363636363636363
ABCA9,77.27272727272727
ABCB1,47.72727272727273
ABCB10,0.0
ABCB11,77.27272727272727
ABCB6,0.0
ABCB7,0.0
ABCB8,63.63636363636363
ABCC1,0.0
ABCC10,93.18181818181817
ABCC2,97.72727272727273
ABCC3,36.36363636363637
ABCC4,0.0
ABCC9,59.09090909090909
ABCD1,13.636363636363635
ABCD2,79.54545454545455
ABCD3,0.0
ABCD4,59.09090909090909
ABCE1,0.0
ABCF1,0.0
ABCF2,13.636363636363635
ABCF3,6.8181818181818175
ABCG1,88.63636363636364
ABCG2,52.27272727272727
ABHD10,0.0
ABHD11,2.272727272727273
ABHD12,0.0
ABHD13,79.54545454545455
ABHD14B,0.0
ABHD15,84.0909090909091
ABHD16A,0.0
ABHD17B,54.54545454545454
ABHD4,38.63636363636363
ABHD5,29.545454545454547
ABHD6,22.727272727272727
ABI1,0.0
ABI2,34.090909090909086
ABI3,0.0
ABI3BP,0.0
ABITRAM,100.0
ABL1,52.27272727272727
ABL2,81.81818181818183
ABLIM1,4.545454545454546
ABLIM2,13.636363636363635
ABLIM3,18.181818181818183
ABR,0.0
ABRACL,34.090909090909086
ABRAXAS2,0.0
ABT1,95.45454545454545
ABTB2,97.72727272727273
ACAA1,0.0
ACAA2,0.0
ACACA,9.090909090909092
ACACB,40.909090909090914
ACAD10,84.0909090909091
ACAD11,29.545454545454547
ACAD8,4.545454545454546
ACAD9,0.0
ACADL,38.63636363636363
ACADM,0.0
ACADS,0.0
ACADSB,0.0
ACADVL,0.0
ACAN,6.8181818181818175
ACAP1,15.909090909090908
ACAP2,0.0
ACAT1,0.0
ACAT2,0.0
ACBD3,0.0
ACBD5,6.8181818181818175
ACBD6,25.0
ACE,0.0
ACHE,31.818181818181817
ACIN1,0.0
ACLY,0.0
ACO1,0.0
ACO2,0.0
ACOT1,0.0
ACOT11,59.09090909090909
ACOT13,0.0
ACOT7,0.0
ACOT8,9.090909090909092
