original_gene,new_gene
CAT;cRAP-CAT,CAT
PPIA;cRAP-PPIA,PPIA
LTF;cRAP-LTF,LTF
MAP1LC3B;MAP1LC3B2,MAP1LC3B
IGKV1-33;IGKV1D-33,IGKV1-33
CTSD;cRAP-CTSD,CTSD
HARS1;cRAP-HARS,HARS1
CYCS;cRAP-CYCS,CYCS
IFITM1;IFITM2;IFITM3,IFITM1
CA2;cRAP-CA2,CA2
IGLC2;IGLC3,IGLC2
GLUD1;GLUD2;cRAP-GLUD1,GLUD1
HBB;cRAP-HBB,HBB
TXN;cRAP-TXN,TXN
C5;cRAP-C5,C5
PPP2CA;PPP2CB,PPP2CA
SULT1A3;SULT1A4,SULT1A3
SLC2A14;SLC2A3,SLC2A14
H2AC11;H2AC12;H2AC14;H2AC18;H2AC20;H2AC7;H2AJ,H2AC11
CA1;cRAP-CA1,CA1
IGKV2-24;IGKV2D-24,IGKV2-24
IGKV1-39;IGKV1D-39,IGKV1-39
SNRPG;SNRPGP15,SNRPG
MOB1A;MOB1B,MOB1A
KRT1;cRAP-KRT1,KRT1
KRT9;cRAP-KRT9,KRT9
EIF1AX;EIF1AY,EIF1AX
SUMO1;cRAP-SUMO1,SUMO1
IGKV2-28;IGKV2D-28,IGKV2-28
GSTP1;cRAP-GSTP1,GSTP1
IGHV3-30;IGHV3-30-5,IGHV3-30
RBP4;cRAP-RBP4,RBP4
HSPA1A;HSPA1B,HSPA1A
AKR7A2;AKR7L,AKR7A2
UBE2I;cRAP-UBE2I,UBE2I
SOD1;cRAP-SOD1,SOD1
PRDX1;cRAP-PRDX1,PRDX1
CRP;cRAP-CRP,CRP
H2AC11;H2AC12;H2AC14;H2AJ,H2AC11
IGKV1-13;IGKV1D-13,IGKV1-13
ALB;cRAP-ALB,ALB
CYB5A;cRAP-CYB5A,CYB5A
IGKV1-12;IGKV1D-12,IGKV1-12
NOMO1;NOMO2;NOMO3,NOMO1
GSN;cRAP-GSN,GSN
GSTT2;GSTT2B,GSTT2
CCZ1;CCZ1B,CCZ1
KRT10;cRAP-KRT10,KRT10
MYL12A;MYL12B,MYL12A
LYNX1;SLURP2,LYNX1
UBE2D1;UBE2D4,UBE2D1
EEF1A1;EEF1A1P5,EEF1A1
TPSAB1;TPSB2,TPSAB1
RBM24;RBM38,RBM24
GGT1;GGT3P,GGT1
HRAS;cRAP-HRAS,HRAS
TRAPPC2;TRAPPC2B,TRAPPC2
PAGE2;PAGE2B,PAGE2
KRT2;cRAP-KRT2,KRT2
ATP5F1E;ATP5F1EP2,ATP5F1E
CALM1;CALM2;CALM3,CALM1
SERPINC1;cRAP-SERPINC1,SERPINC1
H2BC12;H2BC12L;H2BC13;H2BC14;H2BC15;H2BC18;H2BC4;H2BC5;H2BC9,H2BC12
HBA1;cRAP-HBA1,HBA1
LYZ;cRAP-LYZ,LYZ
ANXA5;cRAP-ANXA5,ANXA5
PDGFB;cRAP-PDGFB,PDGFB
AHCYL1;AHCYL2,AHCYL1
MYL1;MYL3,MYL1
IGKV2-40;IGKV2D-40,IGKV2-40
NQO2;cRAP-NQO2,NQO2
CTSG;cRAP-CTSG,CTSG
NQO1;cRAP-NQO1,NQO1
RPS27A;cRAP-RPS27A,RPS27A
KRT86;cRAP-KRT86,KRT86
NEDD8;cRAP-NEDD8,NEDD8
UBE2E1;cRAP-UBE2E1,UBE2E1
ARF1;ARF3,ARF1
RAB22A;RAB31,RAB22A
TICAM2;TMED7,TICAM2
IGF2;cRAP-IGF2,IGF2
GPR89A;GPR89B,GPR89A
GATD3;GATD3B,GATD3
B2M;cRAP-B2M,B2M
WASH2P;WASH3P,WASH2P
EGF;cRAP-EGF,EGF
FABP3;cRAP-FABP3,FABP3
RPS27A;UBA52;UBB;UBC;cRAP-RPS27A,RPS27A
