Genes,Median_Abundance,Missingness_Rate,Below_Threshold,Gene_Symbol
BLTP3B,6.93780563997556,0.5,True,BLTP3B
BRD1,7.116364154873976,0.5,True,BRD1
TEX2,7.171155636508415,0.5,True,TEX2
TMEM175,7.186714394127909,0.5,True,TMEM175
DRAM2,7.210445247038545,0.5,True,DRAM2
SYPL2,7.271488869998006,0.5,True,SYPL2
ZNF362,7.302080124448334,0.5,True,ZNF362
MAP4K3,7.30954753370907,0.5,True,MAP4K3
EXOC3L2,7.321082184723251,0.5,True,EXOC3L2
RNF135,7.33778983072158,0.5,True,RNF135
TMEM181,7.346456329375846,0.5,True,TMEM181
SMAD1,7.353768509544995,0.5,True,SMAD1
IFT81,7.386378123366111,0.5,True,IFT81
ATXN1,7.4466537140612,0.5,True,ATXN1
LZTR1,7.451482060851015,0.5,True,LZTR1
IFNGR1,7.458842148317845,0.5,True,IFNGR1
MANBAL,6.70318900459229,0.4807692307692308,True,MANBAL
C6orf120,6.99495645904816,0.4807692307692308,True,C6orf120
FAM185A,7.32755048223966,0.4807692307692308,True,FAM185A
RASAL2,7.35718811609293,0.4807692307692308,True,RASAL2
MTFMT,7.45849757848685,0.4807692307692308,True,MTFMT
GPRIN3,6.979933671058555,0.46153846153846156,True,GPRIN3
MLX,7.085189499790545,0.46153846153846156,True,MLX
ASXL2,7.09303996898765,0.46153846153846156,True,ASXL2
CEP41,7.13764638220336,0.46153846153846156,True,CEP41
LAGE3,7.21202050845841,0.46153846153846156,True,LAGE3
ATF2,7.22465298843737,0.46153846153846156,True,ATF2
ICMT,7.24253830429582,0.46153846153846156,True,ICMT
ANKRD54,7.243653000776209,0.46153846153846156,True,ANKRD54
ADAMTS4,7.292046997357,0.46153846153846156,True,ADAMTS4
SERPINA12,7.317121109551195,0.46153846153846156,True,SERPINA12
EPG5,7.335342168795045,0.46153846153846156,True,EPG5
SSBP2,6.92095103965111,0.4423076923076923,True,SSBP2
MR1,6.94663077653644,0.4423076923076923,True,MR1
KCMF1,7.15927484294881,0.4423076923076923,True,KCMF1
BPIFA1,7.19416781574161,0.4423076923076923,True,BPIFA1
AFTPH,7.22302325871384,0.4423076923076923,True,AFTPH
SP2,7.22720678950966,0.4423076923076923,True,SP2
TANK,7.26538870707035,0.4423076923076923,True,TANK
MTRF1L,7.33194514613363,0.4423076923076923,True,MTRF1L
CCDC126,7.34187806714263,0.4423076923076923,True,CCDC126
ADCY7,7.35004473481342,0.4423076923076923,True,ADCY7
TTC8,7.35236013162197,0.4423076923076923,True,TTC8
PNPLA4,7.36271729279197,0.4423076923076923,True,PNPLA4
IL18R1,7.36775765665448,0.4423076923076923,True,IL18R1
NSUN7,7.44712932516536,0.4423076923076923,True,NSUN7
KDELR3,7.45334460256814,0.4423076923076923,True,KDELR3
WDR54,7.240007245134335,0.4230769230769231,True,WDR54
ADCK5,7.3277923629920405,0.4230769230769231,True,ADCK5
SACS,7.33932466370171,0.4230769230769231,True,SACS
RFTN2,7.375410686753581,0.4230769230769231,True,RFTN2
NPRL3,7.416274622851055,0.4230769230769231,True,NPRL3
INTS12,7.435854173151575,0.4230769230769231,True,INTS12
TP53BP2,7.440691937778755,0.4230769230769231,True,TP53BP2
