protein,significance
A1BG,1
A2M,1
AAAS,1
AACS,1
AAGAB,1
AAK1,1
AAMDC,1
AAMP,1
AAR2,1
AARS1,1
AARS2,1
AARSD1,1
AASDHPPT,1
AASS,1
ABAT,1
ABCA1,1
ABCA6,1
ABCA8,1
ABCB10,1
ABCB6,1
ABCB7,1
ABCC1,1
ABCC3,1
ABCC4,1
ABCD1,1
ABCD3,1
ABCE1,1
ABCF1,1
ABCF2,1
ABCF3,1
ABHD10,1
ABHD11,1
ABHD12,1
ABHD14B,1
ABHD16A,1
ABHD4,1
ABHD5,1
ABHD6,1
ABI1,1
ABI2,1
ABI3,1
ABI3BP,1
ABLIM1,1
ABLIM2,1
ABLIM3,1
ABR,1
ABRACL,1
ABRAXAS2,1
ACAA1,1
ACAA2,1
ACACA,1
ACACB,1
ACAD11,1
ACAD8,1
ACAD9,1
ACADL,1
ACADM,1
ACADS,1
ACADSB,1
ACADVL,1
ACAN,1
ACAP1,1
ACAP2,1
ACAT1,1
ACAT2,1
ACBD3,1
ACBD5,1
ACBD6,1
ACE,1
ACHE,1
ACIN1,1
ACLY,1
ACO1,1
ACO2,1
ACOT1,1
ACOT13,1
ACOT7,1
ACOT8,1
ACOT9,1
ACOX1,1
ACOX2,1
ACOX3,1
ACP1,1
ACP2,1
ACP3,1
ACP5,1
ACSF2,1
ACSF3,1
ACSL1,1
ACSL3,1
ACSL4,1
ACSL5,1
ACSS1,1
ACSS2,1
ACSS3,1
ACTA2,1
ACTB,1
ACTBL2,1
ACTG1,1
ACTG2,1
ACTL6A,1
ACTN1,1
ACTN2,1
ACTN4,1
ACTR10,1
ACTR1A,1
ACTR1B,1
ACTR2,1
ACTR3,1
ACVR1,1
ACY1,1
ACYP1,1
ACYP2,1
ADA,1
ADA2,1
ADAM10,1
ADAM15,1
ADAM17,1
ADAM8,1
ADAM9,1
ADAMDEC1,1
ADAMTS1,1
ADAMTS13,1
ADAMTS4,1
ADAMTS7,1
ADAMTSL1,1
ADAMTSL2,1
ADAMTSL3,1
ADAMTSL4,1
ADAP1,1
ADAP2,1
ADAR,1
ADARB1,1
ADCK5,1
ADCY3,1
ADCY5,1
ADCY6,1
ADCY7,1
ADD1,1
ADD2,1
ADD3,1
ADGRE2,1
ADGRE5,1
ADGRF5,1
ADGRG3,1
ADGRL2,1
ADH1B,1
ADH1C,1
ADH5,1
ADI1,1
ADIPOQ,1
ADIRF,1
ADK,1
ADNP,1
ADO,1
ADPGK,1
ADPRH,1
ADPRS,1
ADRA2A,1
ADRM1,1
ADSL,1
ADSS1,1
ADSS2,1
AEBP1,1
AFAP1,1
AFAP1L2,1
AFDN,1
AFG3L2,1
AFM,1
AFTPH,1
AGA,1
AGAP3,1
AGFG1,1
AGFG2,1
AGK,1
AGL,1
AGO1,1
AGO2,1
AGO3,1
AGPAT1,1
AGPAT2,1
AGPAT3,1
AGPAT4,1
AGPAT5,1
AGPS,1
AGRN,1
AGT,1
AGTRAP,1
AHCTF1,1
AHCY,1
AHCYL1,1
AHCYL2,1
AHNAK,1
AHNAK2,1
AHR,1
AHSA1,1
AHSG,1
AHSP,1
AIDA,1
AIF1,1
AIF1L,1
AIFM1,1
AIFM2,1
AIG1,1
AIMP1,1
AIMP2,1
AIP,1
AK1,1
AK2,1
AK3,1
AK4,1
AKAP1,1
AKAP10,1
AKAP12,1
AKAP13,1
AKAP2,1
AKAP8L,1
AKAP9,1
AKR1A1,1
AKR1B1,1
AKR1B10,1
AKR1C1,1
AKR1C2,1
AKR1C3,1
AKR1E2,1
AKR7A2,1
AKT1,1
AKT2,1
AKT3,1
AKTIP,1
ALAD,1
ALB;cRAP-ALB,1
ALCAM,1
ALDH16A1,1
ALDH18A1,1
ALDH1A1,1
ALDH1A2,1
ALDH1A3,1
ALDH1B1,1
ALDH1L1,1
ALDH1L2,1
ALDH2,1
ALDH3A2,1
ALDH3B1,1
ALDH4A1,1
ALDH5A1,1
ALDH6A1,1
ALDH7A1,1
ALDH9A1,1
ALDOA,1
ALDOC,1
ALG1,1
ALG11,1
ALG12,1
ALG14,1
ALG2,1
ALG3,1
ALG5,1
ALG9,1
ALKBH4,1
ALKBH5,1
ALOX12,1
ALOX12B,1
ALOX15,1
ALOX5,1
ALOX5AP,1
ALPL,1
ALYREF,1
AMACR,1
AMBP,1
AMDHD2,1
AMFR,1
AMOTL1,1
AMPD2,1
AMPD3,1
ANAPC1,1
ANAPC2,1
ANAPC4,1
ANAPC5,1
ANAPC7,1
ANG,1
ANGPTL1,1
ANGPTL2,1
ANGPTL4,1
ANGPTL6,1
ANK1,1
ANK2,1
ANK3,1
ANKFY1,1
ANKH,1
ANKHD1,1
ANKLE2,1
ANKMY2,1
ANKRD13A,1
ANKRD13D,1
ANKRD17,1
ANKRD22,1
ANKRD28,1
ANKRD44,1
ANKRD50,1
ANKRD54,1
ANKS1A,1
ANO10,1
ANO6,1
ANOS1,1
ANP32A,1
ANP32B,1
ANP32E,1
ANPEP,1
ANTXR1,1
ANTXR2,1
ANXA1,1
ANXA11,1
ANXA2,1
ANXA3,1
ANXA4,1
ANXA5;cRAP-ANXA5,1
