protein,significance
A1BG,1
A2M,1
ABI1,1
ABI3BP,1
ACAN,1
ACTB,1
ACTBL2,1
ACTG1,1
ACTN1,1
ACTN3,1
ACTN4,1
ACTR1A,1
ACTR1B,1
ACTR2,1
ACTR3,1
ADAM10,1
ADAMDEC1,1
ADAMTS13,1
ADAMTSL2,1
ADAMTSL4,1
ADD1,1
ADGRF5,1
ADGRG6,1
ADIPOQ,1
AEBP1,1
AFM,1
AGRN,1
AGT,1
AHCYL1;AHCYL2,1
AHSG,1
AKAP12,1
AKR7A2;AKR7L,1
ALAD,1
ALB;cRAP-ALB,1
ALCAM,1
ALDOA,1
ALDOB,1
AMBP,1
ANGPTL3,1
ANGPTL6,1
ANGPTL8,1
ANK1,1
ANP32B,1
ANPEP,1
ANTXR1,1
ANXA11,1
ANXA2,1
AP2S1,1
APCS,1
APEH,1
APLP1,1
APLP2,1
APMAP,1
APOA1,1
APOA2,1
APOA4,1
APOA5,1
APOB,1
APOBR,1
APOC1,1
APOC2,1
APOC3,1
APOC4,1
APOD,1
APOE,1
APOF,1
APOH,1
APOL1,1
APOM,1
APP,1
APPL2,1
APRT,1
ARCN1,1
ARF1;ARF3,1
ARF4,1
ARF6,1
ARG1,1
ARHGAP1,1
ARHGAP45,1
ARHGAP6,1
ARHGDIA,1
ARHGDIB,1
ARL1,1
ARPC1B,1
ARPC2,1
ARPC3,1
ARPC4,1
ARPC5,1
ASAH1,1
ASAP1,1
ASPN,1
ATG3,1
ATP1A1,1
ATP2A3,1
ATP5F1A,1
ATP5F1B,1
ATP5F1D,1
ATP5ME,1
ATP5MG,1
ATP5PD,1
ATP6AP2,1
ATP6V1G1,1
ATRN,1
AXL,1
AZGP1,1
B2M;cRAP-B2M,1
B3GNT2,1
B4GALT5,1
B4GAT1,1
BAX,1
BCHE,1
BGN,1
BIN2,1
BLMH,1
BLVRB,1
BMP1,1
BPIFA1,1
BPIFB1,1
BRK1,1
BSG,1
BTD,1
C18orf63,1
C1QA,1
C1QB,1
C1QBP,1
C1QC,1
C1QTNF3,1
C1QTNF5,1
C1R,1
C1RL,1
C1S,1
C2,1
C3,1
C4A,1
C4B,1
C4BPA,1
C4BPB,1
C5;cRAP-C5,1
C6,1
C7,1
C8A,1
C8B,1
C8G,1
C9,1
CA1;cRAP-CA1,1
CA2;cRAP-CA2,1
CADM1,1
CALD1,1
CALM1;CALM2;CALM3,1
CALR,1
CALU,1
CAMK1,1
CAMP,1
CANX,1
CAP1,1
CAPN1,1
CAPN2,1
CAPNS1,1
CAPZA1,1
CAPZA2,1
CAPZB,1
CASP14,1
CASS4,1
CAT;cRAP-CAT,1
CAVIN2,1
CBLN1,1
CBR1,1
CCT2,1
CCT5,1
CCT7,1
CD109,1
CD14,1
CD226,1
CD248,1
CD34,1
CD36,1
CD44,1
CD47,1
CD55,1
CD59,1
CD5L,1
CD63,1
CD82,1
CD84,1
CD9,1
CD93,1
CD99,1
CDC37,1
CDC42,1
CDH1,1
CDH11,1
CDH13,1
CDH19,1
CDH2,1
CDH23,1
CDH5,1
CDH6,1
CDHR2,1
CDHR5,1
CDSN,1
CETP,1
CFB,1
CFD,1
CFH,1
CFHR1,1
CFHR2,1
CFHR4,1
CFHR5,1
CFI,1
CFL1,1
CFP,1
CHCHD3,1
CHGA,1
CHL1,1
CHST3,1
CISD2,1
CLEC11A,1
CLEC1B,1
CLEC3B,1
CLIC1,1
CLIP1,1
CLSTN1,1
CLTA,1
CLTC,1
CLU,1
CMIP,1
CMTM5,1
CNDP1,1
CNDP2,1
CNN2,1
CNPY2,1
CNST,1
COL12A1,1
COL15A1,1
COL18A1,1
COL1A1,1
COL6A1,1
COL6A2,1
COL6A3,1
COLEC10,1
COLEC11,1
COMP,1
COPB2,1
COPE,1
COPG1,1
COPS4,1
COPS5,1
COPS6,1
COPS7B,1
COPS8,1
COPZ1,1
CORO1A,1
CORO1B,1
CORO1C,1
COX4I1,1
COX5A,1
COX5B,1
COX7A2,1
CP,1
CPB2,1
CPN1,1
CPN2,1
CPNE3,1
CPQ,1
CPVL,1
CRKL,1
CRLF3,1
CRP;cRAP-CRP,1
CRTAC1,1
CSF1,1
CSF1R,1
CSK,1
CSNK2B,1
CSPG4,1
CSRP1,1
CST3,1
CSTA,1
CTSA,1
CTSB,1
CTSC,1
CTSD;cRAP-CTSD,1
CTSF,1
CTSG;cRAP-CTSG,1
CTSL,1
CTSS,1
CTTN,1
CUTA,1
CYB5B,1
CYFIP1,1
DAG1,1
DARS1,1
DBN1,1
DBNL,1
DCD,1
DCHS1,1
DCTN1,1
DCTN2,1
DCTN3,1
DEFA1,1
DERA,1
DIAPH1,1
DKK3,1
DLD,1
DLST,1
DMKN,1
DMTN,1
DNASE1,1
DNM1L,1
DOK2,1
DOK3,1
DPP4,1
DPT,1
DSC1,1
DSC2,1
DSG1,1
DSG2,1
DSP,1
DSTN,1
DYNLL1,1
DYNLRB1,1
ECH1,1
ECM1,1
ECM2,1
EEF1A1;EEF1A1P5,1
EEF1B2,1
EEF1D,1
EEF1G,1
EEF2,1
EFEMP1,1
EFEMP2,1
EGF;cRAP-EGF,1
