Genes,S001,S002,S003,S004,S060,S007,S062,S010,S011,S021,S012,S013,S063,S014,S015,S023,S017,S064,S018,S019,S026,S020,S022,S024,S025,S030,S053,S032,S033,S067,S034,S036,S068,S038,S039,S041,S069,S043,S045,S070,S047,S092,S048,S049,S071,S050,S054,S055,S057,S094,S073,S074,S096,S075,S085,S086,S088,S089,S072,S082,S035,S078,S077,S029,S079,S061,S066,S031,S052,S076,S083,S090
A1BG,9.48760905309159,11.9094973532795,9.4370137366477,10.6239145103945,10.3947864188207,9.43018489551077,10.7871995447127,11.4803101374347,11.4986955619326,9.99117001062647,10.6792419457428,10.6436099569137,8.69255846783997,9.55607164263532,10.6709783746116,11.9854324735649,10.3509173482059,9.73580143491677,10.6607954783655,9.48803799259044,10.6107330355041,11.6273638541749,9.63204973665129,10.2056750040981,9.17693805925064,11.8021599484771,8.52486950322016,11.246061938836,8.71457340826174,11.1250153592979,10.6881415069112,9.78430082992704,9.54919332905579,9.86621113676931,9.61278420576942,10.076773975645,10.7945638081559,9.6104604285207,10.3868375088548,9.23920501072103,10.4603982796864,11.4003798313221,9.90231655005175,9.75061164019917,8.36929642342711,11.0050090277381,10.4284923051446,9.76542650681048,9.43420975385907,8.03577262620703,10.0449964469555,7.50403754277703,8.80818782856165,9.96563258944838,11.3444436123104,9.40617003916031,10.2594061890837,10.9628222308296,9.48024544723896,9.74912170861246,8.47510335472292,11.1886935280639,10.0826757789281,11.0913647474443,11.3117632344656,10.559157537449,9.30058005128365,10.6368955190326,9.89120855672155,10.2594494591378,9.65218200393136,8.77333936709819
A2M,11.5248321907469,12.4546702477299,10.3677551378457,11.1031113695783,11.910800536754,10.987381446268,12.5341933380008,13.2108971631531,12.904687353663,11.644355388088,12.0650913800137,11.6571573241733,9.51334271852099,11.9222450080969,12.6047829713487,13.0200216577464,11.563885207166,13.5731754965469,11.4387308382194,11.0824707396732,12.0707363999114,13.2384821122073,10.8936121964159,12.2482135914623,10.1411873864309,12.7791028266953,8.70705318916311,13.9746157999832,10.1917570617353,12.2063878126288,12.2395181043356,11.1496070947086,11.4458504049319,12.0677083761433,12.4123320105264,11.6840209442348,11.786214931278,10.2091489154859,12.2903210106443,10.9725453895125,11.1264954875573,11.5478683654334,11.5230278909477,11.3784207814314,8.61285267035441,12.1021224821857,11.7646610082286,11.8113251007954,10.560810501443,8.85969800970265,10.7578758459764,7.87132916071197,9.32219457474002,12.1094392208468,12.5721655268489,11.6313532141851,12.0431568168135,12.5163758979595,10.4976783831286,10.5146242410541,9.3734236724936,12.6380441235048,11.3886881898928,12.046087772724,13.2404574764918,11.6303896330153,9.97417949893644,11.3686703014463,12.0672816722313,12.2213551779125,10.7416961768997,9.70274312954293
AAAS,7.99598124747644,8.2991020022245,8.53642399165868,8.52973401456794,8.20098493823439,7.94457980336869,8.59944297811363,8.04250445049003,8.61584698688031,9.17442578948895,8.91223543009007,8.36413869524084,7.53435856875691,8.07929295155975,9.19996751313116,8.7348955485788,8.41676718389026,8.46780227159929,7.77523369784998,8.76525610792187,8.7932013800844,8.24347139006965,8.37112302844121,8.18072009617635,9.10209536944836,7.36153094061386,,,7.50005822652576,,7.41788526573869,8.66410289102157,9.17658244118589,8.21719935989497,7.73310381716523,9.0782598756332,9.00661851184777,8.32194938766196,8.44750974172168,8.61812041786456,8.40070806514602,8.70692575589884,8.4814766262513,7.79165999228339,8.63827370495664,8.77520431354415,8.73099175159535,7.52211705195727,7.85140610150411,8.11291012029595,8.64318706232628,7.88900252082264,8.78108874473329,7.08847401296937,7.65365477067193,8.49552388495683,8.31495798574237,8.2185392950324,8.66944424720225,,8.65099615593928,7.65319897322501,8.63246878051559,9.44698779856314,,8.79941935360988,8.59056079765341,9.48297496640052,8.96847882071889,8.51823294983137,8.70544885795899,
AAGAB,7.13763996120173,8.03226017360302,,8.24443553075706,7.526951946968,7.71844843509623,8.63860818369752,8.33848736407172,8.21100670613627,8.74257274609097,8.18140833226231,8.10357962537537,,7.96113022798928,8.92712003038795,7.5683351284307,7.98714782831712,7.8067131725225,7.52879467987245,7.80867244215936,8.65250232746776,8.27156430913307,7.7039300115842,7.10237502817139,8.64087507586202,,,6.91869682546529,,7.4600327751247,8.14209692273741,8.3399779893833,8.83319887994666,7.64612262542384,6.87981038492134,8.05226252548521,8.53745355842031,8.13905196186537,8.18884451610632,,8.54663186366479,7.80992413872649,7.50299760766221,7.59878894083053,8.01588460504391,8.37300681373405,8.3592388801531,,8.06486051938628,,8.30158801493965,,6.90824755939479,,7.80618271369717,7.95619667777317,7.95216686851491,7.40697772324698,8.49543236052527,,7.52732283180183,7.05023731986007,7.5392464341135,8.9530780593893,7.05324882939448,8.78274442383164,8.74993221108369,8.68743461242911,8.68148655695956,8.34095191331917,8.22350453652546,
AAK1,8.15258209518907,8.31438466647874,8.31671129435292,8.98579295230035,8.02350091762356,7.24758956687128,8.87606852213675,8.24228057082847,8.72168740616594,8.48913563857618,8.53354092166818,8.61840600209571,8.07843001832885,7.95158419545308,8.63904089955147,8.66714174112428,8.67218486168074,8.51323677141572,7.99648573354158,8.66589014172346,9.27411266135205,8.51091271382238,8.35890035989639,7.82169161779325,8.80435850043562,8.06865249050622,7.40259265157767,6.96557810963389,,,8.21333170338563,8.50763337758337,9.26646609144519,8.48724239754498,7.14381096880573,8.70162246962827,9.27308004866882,8.49922120702885,8.2269148037631,8.36065246148691,8.40156433096154,8.71998099057498,7.94979085387238,8.16508641875771,8.65304542097248,8.83878978559965,8.82193329906669,8.13708956509487,7.46620149956145,8.77511053647036,8.2443213354095,8.17223378352628,7.8771008116094,7.3374345390582,8.08198195645303,8.53281919306309,8.62840674722772,7.94028033106229,8.91283590160126,7.86861600735013,8.60177723213343,7.88148804488685,8.90218085719841,9.19013751308874,7.21140564404927,8.92229452804109,9.17453396379456,8.95023070129695,8.90561316719524,8.83852589531652,8.71031018342802,8.22950799634669
AAMDC,10.1308447599064,9.51092072525326,7.76584596616304,9.62705792708581,9.35378033682294,8.20502323271841,9.45229651572983,7.27297712954279,9.98001636644421,9.52779423110077,9.73928945266581,11.1668751098426,9.37538406367023,8.69932675387082,9.28774675092651,9.46236045246873,9.40400339615135,11.0778110283699,9.73776285224882,10.2873860137169,11.5820331765555,10.0984527184798,9.5798591612318,8.53460883901644,8.31835115101855,8.79349974016239,9.33795189724024,8.36708219212913,8.09685353961837,6.73232231908396,9.27136302770769,8.72599416490753,10.2976977018252,8.89182186372,8.11270830568557,9.45159411040499,10.6163646676312,11.4320727093899,8.80839713541002,9.58124029053432,9.75903213048053,10.1072621106687,9.29233941945028,8.77753169083166,11.3883044766804,9.24355199685743,9.10059474049749,9.3967538062717,7.89368658804119,9.26840341274962,9.19501586465525,10.8369817458809,9.10770455405631,8.14727262055561,8.97118128484539,9.07356072047215,9.60099162827144,9.67419938468912,9.8093618914223,9.44141992150768,10.6397697845207,8.14882281545523,10.9078170245604,10.1485951792416,7.73731670486476,9.60554060036958,11.9186186549306,9.25618069811459,10.9680683348388,9.56346363403325,9.89107303216119,8.54246728212743
AAMP,7.64023773709403,8.0375642068583,6.89851969334617,7.93211414494531,6.92007402164847,7.59384270139143,8.18302421415063,7.78767433140327,8.34666754893381,8.4649088034419,8.39585604596035,7.92313434195849,7.45591930493983,7.15361158936722,8.45390875743155,8.31181741252361,8.38071342604599,8.11794922947931,7.52034653665745,8.3808479701487,8.83660864166458,7.96024107647506,8.18180741958954,,8.32347845868869,7.07469766581139,,,,,7.98936643222673,8.01866704837761,9.35280167085228,8.08425164169254,7.15410049368765,7.75594208563977,8.69256901157919,8.3689444831365,7.51188869221579,8.1016234048849,8.42514752872846,8.84619977234724,7.49649576707959,7.19498736001874,8.76169145378831,8.17687230521764,7.87112615942721,7.36360660530808,7.59614674075572,7.59432711351929,8.02593543575158,7.58899281648331,7.78835665677218,7.72233785421975,7.92134969317042,8.63333450606622,8.16120998000421,7.68190268917676,8.06240612884448,7.81302535799596,8.32791760257417,6.86271534759865,8.87483048697971,8.61114515594875,6.39558574866671,8.56172954160708,8.91157144855478,8.48943250864134,8.75766019776536,8.46772014327322,8.38658174873207,7.00677411433175
AARS1,9.45782995290971,9.88901635773751,7.92778099302837,9.79471672756055,8.8413600867681,8.46617872341824,9.80826547906613,8.82558144714806,9.68639628892499,10.5500320186644,10.0348887730691,9.4074670904853,8.73288902373182,9.02092700278319,10.1780449309598,10.0006629674247,9.67268759204281,9.73386614344746,8.85828469113079,9.57108325843276,10.3201446215873,9.46019291876476,9.23694585538794,8.70515323273774,9.57598766210248,9.04762724697093,8.11418375456801,8.04122592851687,7.58834018664098,8.57444257834726,8.98839433181306,9.96799005317335,10.3040721102661,9.17359523889782,8.32347383281824,9.08025772317073,10.2738617564021,10.0081083440473,9.01386372563816,9.34224692263276,9.434553677914,10.3755260246666,8.90798966788912,8.41666689216573,10.1201758173964,9.89561145958297,9.52116153781243,8.97041743985539,8.90912652080373,9.06552996400106,9.80408914070411,9.14549508446938,9.13944080856023,8.61305560044092,9.10869238359301,9.64001480466823,9.61530506417223,9.08694193471566,9.62529898448681,9.03726622618133,9.55387365754876,8.15311580852571,9.89961107901209,10.5196317442956,7.85087991499512,9.9638073460706,10.2788111037078,10.4057302474564,10.3519041033304,10.0536580324645,9.59957394216595,8.73874973754606
AARS2,8.23904934985404,8.12954724200878,8.16946723763285,8.57040775261915,8.13746549890875,7.90654680696644,8.54089675948055,8.25659226562748,8.58641898811787,9.32114722690054,8.77235295379883,8.19493331809122,8.19756608292866,7.76267397397246,8.88042048498414,8.40748204396119,8.67438052176247,8.35590165403388,8.25756259835388,9.01167461112193,8.68906174023605,8.20980582510301,8.46686141762841,7.99173994915986,9.02675487850606,,,6.88984498974419,7.36471003822895,,8.20060264530392,8.82913240269608,9.36064742353596,8.48201729273378,7.61653325713296,8.97578068770585,8.86074678006492,8.45142256241112,8.56110762766816,8.79588104410648,8.33729167814098,9.20449578079306,8.25584078882681,8.12521448496124,8.53140289331623,8.75096542065904,8.81329615218025,8.32279385191163,8.22333822414304,8.56724556564747,8.45850316514337,8.18503160014487,8.8486776700036,7.82617106836703,8.4676949908563,8.64384855964931,8.29517323558872,8.27930603264852,9.03839072368417,8.09886272473858,8.47669490847396,8.14587440584682,8.60273871746542,9.20171615318772,,8.78583305864133,8.52600227195105,9.05139191526763,9.0261094058192,8.85397664807139,8.64818942054594,8.12168633667523
AARSD1,8.42951988012481,8.43331842896946,7.73070488792127,8.67489117840038,8.1375078677101,7.9453599911515,8.50156190980353,7.81115238788887,8.51875071410581,8.79459470746939,8.67120548351966,8.8427698148746,7.82473851943395,7.84833790813099,9.03950125326738,8.41539335192676,8.65812820510084,8.9615820008109,8.36874975936069,8.55864684007196,9.27135319571402,8.43737956500767,8.34661573758943,8.25908428276942,8.72452456693805,8.4969364296533,7.74813440160539,7.26917994247395,7.05512517032073,7.10464533137053,8.2192474443195,8.75350224887456,9.20269968652019,8.43022311397055,7.94304675533017,8.41472018160614,9.16207470806578,8.87705337460149,8.43914702017717,8.44998055637676,8.61107455046521,8.36743336469962,8.33283928163536,7.76172205392795,9.14928127674664,8.70031614342715,8.52293442732699,8.38448038367449,8.30625591796001,,8.48867345000867,8.09615415480545,7.73993639345697,8.10268383326398,8.21799310293394,8.62888165616719,8.39635719146654,8.27768237098539,8.6766036113153,7.71608855372924,8.94161768894264,8.40480578347631,9.35223942414265,9.51681663744023,,8.99356537333816,9.44281399523563,8.87230201158037,9.22099802456734,8.86483164744299,8.46131781706095,8.07859665609754
