Genes,Sample 60,Sample 65,Sample 18,Sample 59,Sample 42,Sample 30,Sample 31,Sample 77,Sample 32,Sample 7,Sample 55,Sample 76,Sample 28,Sample 72,Sample 88,Sample 11,Sample 64,Sample 25,Sample 78,Sample 83,Sample 70,Sample 90,Sample 45,Sample 85,Sample 17,Sample 22,Sample 57,Sample 66,Sample 38,Sample 82,Sample 39,Sample 61,Sample 16,Sample 23,Sample 24,Sample 87,Sample 73,Sample 15,Sample 49,Sample 75,Sample 79,Sample 34,Sample 1,Sample 36,Sample 29,Sample 5,Sample 86,Sample 52,Sample 12,Sample 20,Sample 51,Sample 48
ABRACL,2.896484639173397,2.733447834721337,2.790385758377913,2.790385758377913,2.819255992800598,2.790385758377913,2.78556538020113,2.647871700583376,2.67910782520227,2.790385758377913,2.797432269967316,2.759692604055509,2.790385758377913,2.789670570832861,2.790385758377913,2.646130568398505,2.692511409538611,2.80968895374727,2.893415612446833,2.790385758377913,2.857465817858855,2.711183730633683,2.634659705076282,2.790385758377913,2.624695373712971,2.790385758377913,2.688633259129069,2.831957216697469,2.790385758377913,2.790385758377913,2.790385758377913,2.82893099907071,2.790385758377913,2.955228647086078,2.606788170825074,2.790385758377913,2.801211251618023,2.619091179685809,2.854971726780275,2.790385758377913,2.800812203349454,2.838603173588421,2.790385758377913,2.785720200968859,2.943163600464127,2.790385758377913,2.821654585778011,2.809657343822307,2.790385758377913,2.790385758377913,2.779708832322848,2.790385758377913
ADAMTS4,2.884181027204329,2.866257698949132,2.852440962667897,2.655039425595093,2.866257698949132,2.866257698949132,2.67496461926707,2.866257698949132,2.771397237159262,2.8457747993326,2.894023271954839,2.828230504031057,2.866257698949132,3.003080683784368,2.882115378981411,2.789094954477709,2.866257698949132,2.880194269921048,2.866257698949132,2.866257698949132,2.866257698949132,2.663285448840977,2.890147687177161,2.866257698949132,2.712299845987998,2.903361939749383,2.993867143772347,2.866257698949132,2.988811982604934,2.952909812286402,2.866257698949132,2.866257698949132,2.866257698949132,2.866257698949132,2.63070176480915,2.866257698949132,2.941379131564664,2.735792942265438,2.866257698949132,2.866257698949132,2.866257698949132,2.650445588156063,2.866257698949132,2.966654299158236,3.014472598113809,2.866257698949132,2.866257698949132,2.768314866279648,2.639067763665123,2.866257698949132,2.880074435230366,2.866257698949132
ADCK5,2.891597021734586,2.887296495851242,2.873376966086953,2.873376966086953,2.895024387678128,2.873376966086953,3.025888656333731,2.937285930392366,2.873376966086953,2.873376966086953,2.873376966086953,2.873376966086953,2.761563347682165,3.022971678078047,2.840088591855049,2.989967332354475,2.886793411960765,2.841975064428176,2.873376966086953,2.863076808010742,2.905087648669079,2.873376966086953,2.836421116739088,2.815865327392219,2.801633557630826,2.799668156530999,2.873376966086953,2.890567818787099,2.875564443122949,2.873376966086953,2.593464009760761,2.955709282984744,2.873376966086953,2.873376966086953,2.873376966086953,2.873376966086953,2.873376966086953,2.950335290048809,2.873376966086953,2.873376966086953,2.873376966086953,2.844605938789081,2.873376966086953,2.871189489050956,2.858787623800358,2.873376966086953,2.873376966086953,2.968413273336074,2.909433598344073,2.813287982284058,2.79687444805954,2.868226893505431
ADCY7,2.877753030696903,2.917373221049634,2.762619753351901,2.877753030696903,2.871214143100688,2.877753030696903,2.975849459722095,2.81183151389918,2.877753030696903,2.877753030696903,2.877753030696903,2.877753030696903,2.877753030696903,2.847312297770038,2.91708997978231,2.881537188868084,2.877753030696903,2.968266808371851,2.747210109208062,2.986169798317398,2.877753030696903,2.877753030696903,2.877753030696903,2.905786048276747,2.828385703374535,2.837085424151394,2.877753030696903,2.790808114607171,2.742261892032915,2.877753030696903,2.877753030696903,2.928022238398793,2.877753030696903,2.91262363601462,2.877753030696903,2.877753030696903,2.877753030696903,2.876631026363103,2.877753030696903,2.877753030696903,2.877753030696903,2.794428164549422,2.791398374970452,2.875938708144742,2.91838139556878,2.877753030696903,2.852834159837705,2.92502758211659,2.903679902636604,2.914425743063697,3.023002502859008,2.877753030696903
AFTPH,2.781673536167874,2.852602815980216,2.852602815980216,2.811371500289086,2.923016158028063,2.852602815980216,2.93156979913877,2.947874208975166,2.852602815980216,2.852602815980216,2.769042968878211,2.882042978035567,2.786194257296418,2.793163669092834,2.852602815980216,2.821864058868846,2.820055830763152,2.823260356734293,2.852602815980216,2.955959776244943,2.852602815980216,2.852602815980216,2.852602815980216,2.830294495302308,2.902741097558935,2.852602815980216,2.852602815980216,2.950565867925197,2.718480998343243,2.852602815980216,2.852602815980216,2.85570785054613,2.852602815980216,2.797948831101058,2.684524725342126,2.852602815980216,2.886149630677929,2.85816090612979,2.852602815980216,2.852602815980216,2.852602815980216,2.78613265754267,2.852602815980216,2.852602815980216,2.852602815980216,2.852602815980216,2.874577209412046,2.816561530891094,2.925534847629221,2.870496229905028,2.997733010974076,2.852602815980216
ANKRD13D,2.840193203343352,2.905070621648397,2.918407110144287,2.898464919759968,2.880447585409595,2.743556638944516,2.904072192367826,3.040931421908937,2.896708467253354,2.848260124847112,2.896708467253354,3.016454076637041,2.927738172229109,2.97911078437823,2.896708467253354,2.892860482660891,2.954467480908827,2.935106991424898,2.896708467253354,2.896708467253354,2.892317376514987,2.896708467253354,2.843134913255945,2.858002915656903,2.955689178689626,2.896708467253354,2.896708467253354,3.076352944699811,2.821198429654645,2.896708467253354,2.79021377792564,2.886972894627516,2.745239257275735,2.899623153644662,2.896708467253354,2.896708467253354,2.894952014746739,2.890260897467767,2.785242320071922,2.896708467253354,2.896708467253354,2.920964594104611,2.867291764818795,2.921574317811009,2.984034173064325,2.896708467253354,3.016524939115626,2.978664431983391,2.883126296769919,2.807877815702074,2.925745257105405,2.816095181852083
ANKRD54,2.837570104618672,2.898021949615826,2.856715509491343,2.856715509491343,2.856715509491343,2.856715509491343,2.968380332918802,2.856715509491343,2.786222500561777,2.743118980689645,2.856715509491343,2.978598000398325,2.800734226422396,2.925646152396492,2.856715509491343,2.727217901479901,2.881486570527009,2.843668345866345,2.856715509491343,2.856715509491343,2.864273833657279,2.856715509491343,2.937830963674655,2.856715509491343,2.85435706354306,2.782078289020402,2.856715509491343,2.856715509491343,2.992766922819962,2.856715509491343,2.849951327484977,2.983679633152114,2.856715509491343,2.856715509491343,2.859073955439627,2.856715509491343,2.90215854011617,2.919694455173957,2.875054278684723,2.737335313478186,2.856715509491343,2.775603442400386,2.856715509491343,2.88001229527269,2.84814962902793,2.856715509491343,2.856715509491343,2.81503392805425,2.643253019003005,2.856715509491343,2.856715509491343,2.856715509491343
ARHGAP21,2.72525571894226,2.867711867519311,2.706345408214925,2.870326559382044,2.88869703759653,2.870326559382044,2.888568344310149,2.821126251288244,2.870326559382044,2.880833893298223,2.870326559382044,2.820700095974882,2.99525890339687,2.972648466639432,2.870326559382044,2.87024730627707,2.949883367469415,2.870326559382044,2.870326559382044,2.870326559382044,2.870326559382044,2.870326559382044,2.748839535217469,2.89007821871061,2.798650125845776,2.937579243514361,2.625255785612139,2.983379629509843,2.893437625842616,2.870326559382044,2.675740569642668,2.856468599125638,2.870326559382044,2.870326559382044,2.870326559382044,2.870326559382044,2.870326559382044,2.906530348265292,2.843905151009241,2.870326559382044,2.870326559382044,2.870326559382044,2.829747433058488,2.870326559382044,2.889746931188063,2.870326559382044,2.915815343372275,2.854168389053064,3.017108431824778,2.897840898585637,2.870326559382044,2.641461348098288
ASXL2,2.826403741799639,2.925133270246782,2.819231672828411,2.826403741799639,2.92996901276162,2.826403741799639,2.973371228872238,2.696780929006533,2.826403741799639,2.826403741799639,2.730276233005094,2.903110182199589,2.826403741799639,2.826403741799639,3.038534268582008,2.825420077457611,2.826403741799639,2.991456248094769,2.826403741799639,2.826403741799639,2.88731107096293,2.826403741799639,2.826403741799639,2.758576780416217,2.827387406141668,2.916945451638238,2.826403741799639,2.738607198389448,2.858944142839785,2.826403741799639,2.826403741799639,2.780211583177453,2.826403741799639,2.706026600709623,2.826403741799639,2.826403741799639,2.794554257326734,2.979409317083182,2.826403741799639,2.826403741799639,2.826403741799639,2.671857257898783,2.826403741799639,2.826403741799639,2.926944322292079,2.826403741799639,2.785978676454362,2.849518477875545,2.892392934217244,2.690040880318889,2.791346909135199,2.713403539159739
ATF2,2.852926186906406,2.794002722632199,2.852926186906406,2.852926186906406,2.850460263659403,2.852926186906406,2.8899686332067,2.918445289752614,2.852926186906406,2.852926186906406,2.852926186906406,2.795276303753198,2.850064791616403,2.860868636962607,2.852926186906406,2.913483166033899,2.801606800849354,2.852926186906406,2.852926186906406,2.942698139617712,2.831815803786671,2.884719700328187,2.838828612621478,2.852926186906406,2.838395217960774,2.852926186906406,2.852926186906406,2.936769869324475,2.846129711163183,2.852926186906406,2.852926186906406,2.848111420800788,2.852926186906406,2.855392110153408,2.852926186906406,2.852926186906406,2.852926186906406,2.900813884390706,2.852926186906406,2.852926186906406,2.852926186906406,2.74231320956108,2.847034262793638,2.819038828813741,2.935375872153228,2.852926186906406,2.937327289706397,2.892811201365276,2.899486097357001,2.692194991280662,2.921043246276253,2.852926186906406
ATXN1,2.89659219410606,2.897061954148448,2.89659219410606,2.89659219410606,2.89659219410606,2.89659219410606,2.927001424991297,2.947890469275089,2.89659219410606,2.89659219410606,2.89659219410606,2.834850141625574,2.857463503301663,2.887746218676444,2.761414925416606,2.996778085700258,2.812360949536847,2.955025776914958,2.89659219410606,3.00980275080353,2.99461451003026,2.89659219410606,2.816478482985529,2.848469578053916,2.89659219410606,2.89659219410606,2.89659219410606,2.89659219410606,2.863519833052096,2.89659219410606,2.89659219410606,2.885017352637271,2.89659219410606,2.97617885881328,2.89659219410606,2.89659219410606,2.89659219410606,2.945132505191223,2.896122434063672,2.89659219410606,2.89659219410606,2.89659219410606,2.80335456254209,2.89659219410606,3.011810235533745,2.89659219410606,2.905250871478631,2.915671172196116,3.045501508155691,2.868985192261183,2.836664519115974,2.89659219410606
B3GNT9,2.853935391167844,2.658121541724362,2.666463619884501,2.853935391167844,2.760975656202963,2.853935391167844,2.88394630688769,2.771533362762138,2.853935391167844,2.853935391167844,2.853935391167844,2.853935391167844,2.814007276369992,2.859169049785115,2.815033817780933,2.916529070965403,2.834603829050026,2.866509083189837,2.853935391167844,2.881995687653947,2.864945227724831,2.853935391167844,2.848701732550572,2.923793288111637,2.737523392161259,2.853935391167844,2.853935391167844,2.914417985102262,2.731526504308848,2.764915985460468,2.853935391167844,2.676317099270217,2.853935391167844,2.875883621149294,2.853935391167844,2.853935391167844,2.997131182226521,2.883689644010742,2.853935391167844,2.768588095476444,2.853935391167844,2.853935391167844,2.772163861010274,2.861498609487708,3.126831023953005,2.853935391167844,2.825923279816711,2.915478262094786,2.933026859967355,2.609971008349401,3.090102755645335,2.853935391167844
B4GALT7,2.748669006478721,2.93031481934838,2.796859470000699,2.855833180533677,2.998028219575768,2.855833180533677,2.923922912232552,2.897174462150577,2.797314793356164,2.855833180533677,2.855833180533677,2.931234766204169,2.855833180533677,2.787732846786195,2.948855898168498,2.854688156544654,2.704227741853153,3.008048591817799,2.855833180533677,2.828178142210998,2.922641593344776,2.855833180533677,2.855833180533677,2.929000860585538,2.876390060922748,2.855833180533677,2.855833180533677,2.855833180533677,2.838989910487486,2.855833180533677,2.855833180533677,2.911317235595178,2.855833180533677,2.766606453102449,2.855833180533677,2.40970009728809,2.698629253044626,2.890881648902303,2.80049152619768,2.683398014746758,2.855833180533677,2.855833180533677,2.855833180533677,2.949080021903594,3.031552399273403,2.855833180533677,2.800443882462246,3.097372492359021,2.881846360038055,2.804297989580561,2.79083784753568,2.855833180533677
BLTP3B,2.794476884859394,2.884057726823738,2.794476884859394,2.794476884859394,2.808481470081735,2.794476884859394,2.805110271110573,2.7335984953693,2.794476884859394,2.794476884859394,2.794476884859394,2.85944212639399,2.794476884859394,2.864275886336911,2.725300024021152,2.791769814095417,2.797183955623372,2.776553582319802,2.549861526248186,2.848256061172346,2.794476884859394,2.794476884859394,2.761762078229504,2.794476884859394,2.794476884859394,2.643308437817335,2.794476884859394,2.859939777130453,2.833196091112767,2.794476884859394,2.794476884859394,2.749848805495338,2.794476884859394,2.810516622541973,2.794476884859394,2.794476884859394,2.763478088377583,2.794476884859394,2.794476884859394,2.968491302094788,2.794476884859394,2.794476884859394,2.794476884859394,2.68818230296361,2.842498682252533,2.794476884859394,2.744777413162471,2.698737547324145,2.794476884859394,2.773344279648298,2.874555211991747,2.794476884859394
