Genes,Sample 60,Sample 65,Sample 18,Sample 59,Sample 42,Sample 30,Sample 31,Sample 77,Sample 32,Sample 7,Sample 55,Sample 76,Sample 28,Sample 72,Sample 88,Sample 11,Sample 64,Sample 25,Sample 78,Sample 83,Sample 70,Sample 90,Sample 45,Sample 85,Sample 17,Sample 22,Sample 57,Sample 66,Sample 38,Sample 82,Sample 39,Sample 61,Sample 16,Sample 23,Sample 24,Sample 87,Sample 73,Sample 15,Sample 49,Sample 75,Sample 79,Sample 34,Sample 1,Sample 36,Sample 29,Sample 5,Sample 86,Sample 52,Sample 12,Sample 20,Sample 51,Sample 48
A1BG,10.3947864188207,10.3363545042651,10.6607954783655,12.5902252523613,11.0532364649445,11.8021599484771,10.6368955190326,10.0826757789281,11.246061938836,9.43018489551077,9.76542650681048,10.2594494591378,9.38047476913422,9.48024544723896,10.2594061890837,11.4986955619326,9.73580143491677,9.17693805925064,11.1886935280639,9.65218200393136,9.23920501072103,8.77333936709819,10.3868375088548,11.3444436123104,10.3509173482059,9.63204973665129,9.43420975385907,9.30058005128365,9.86621113676931,9.74912170861246,9.61278420576942,10.559157537449,11.5205465014613,11.9854324735649,10.2056750040981,12.1226041829095,10.0449964469555,10.6709783746116,9.75061164019917,9.96563258944838,11.3117632344656,10.6881415069112,9.48760905309159,9.78430082992704,11.0913647474443,11.4506346305213,9.40617003916031,9.89120855672155,10.6792419457428,11.6273638541749,10.7272363783549,9.90231655005175
A2M,11.910800536754,11.2553653619055,11.4387308382194,14.0374907848971,11.878064068079,12.7791028266953,11.3686703014463,11.3886881898928,13.9746157999832,10.987381446268,11.8113251007954,12.2213551779125,9.83283397092464,10.4976783831286,12.0431568168135,12.904687353663,13.5731754965469,10.1411873864309,12.6380441235048,10.7416961768997,10.9725453895125,9.70274312954293,12.2903210106443,12.5721655268489,11.563885207166,10.8936121964159,10.560810501443,9.97417949893644,12.0677083761433,10.5146242410541,12.4123320105264,11.6303896330153,14.7382305269478,13.0200216577464,12.2482135914623,13.0997176075314,10.7578758459764,12.6047829713487,11.3784207814314,12.1094392208468,13.2404574764918,12.2395181043356,11.5248321907469,11.1496070947086,12.046087772724,12.5071527234319,11.6313532141851,12.0672816722313,12.0650913800137,13.2384821122073,13.0718459616907,11.5230278909477
AAAS,8.20098493823439,8.88366914400725,7.77523369784998,8.07801039976185,9.01663595531471,7.36153094061386,9.48297496640052,8.63246878051559,,7.94457980336869,7.52211705195727,8.51823294983137,8.64583629687711,8.66944424720225,8.31495798574237,8.61584698688031,8.46780227159929,9.10209536944836,7.65319897322501,8.70544885795899,8.61812041786456,,8.44750974172168,7.65365477067193,8.41676718389026,8.37112302844121,7.85140610150411,8.59056079765341,8.21719935989497,,7.73310381716523,8.79941935360988,,8.7348955485788,8.18072009617635,,8.64318706232628,9.19996751313116,7.79165999228339,7.08847401296937,,7.41788526573869,7.99598124747644,8.66410289102157,9.44698779856314,,8.49552388495683,8.96847882071889,8.91223543009007,8.24347139006965,8.81603223232789,8.4814766262513
AACS,,,,,8.6321941250248,,8.14974236087598,7.89271790801372,,,8.14204477945467,8.36095241787886,8.19426022782697,8.14362088276307,7.95924039306731,8.3130368671681,8.10486925845224,8.67216015186891,,,,,7.91509888025092,7.73719335389063,8.67700985387907,8.1976950045991,,8.40394887416546,8.03106080240359,,,8.78191565522221,,,8.67503584851921,,7.90248940903028,8.34929926047523,,,,8.00370927012301,8.53795440719711,8.22803571639379,8.79262939858041,,7.80906210866071,8.46183436067463,8.11909282018207,8.61996382353137,8.25109302662029,
AAGAB,7.526951946968,8.2743453198995,7.52879467987245,,8.39748858985402,,8.68743461242911,7.5392464341135,6.91869682546529,7.71844843509623,,8.34095191331917,7.8117398774474,8.49543236052527,7.95216686851491,8.21100670613627,7.8067131725225,8.64087507586202,7.05023731986007,8.22350453652546,,,8.18884451610632,7.80618271369717,7.98714782831712,7.7039300115842,8.06486051938628,8.74993221108369,7.64612262542384,,6.87981038492134,8.78274442383164,,7.5683351284307,7.10237502817139,,8.30158801493965,8.92712003038795,7.59878894083053,,7.05324882939448,8.14209692273741,7.13763996120173,8.3399779893833,8.9530780593893,,7.95619667777317,8.68148655695956,8.18140833226231,8.27156430913307,8.83329775891034,7.50299760766221
AAK1,8.02350091762356,8.65731264471497,7.99648573354158,8.28317959301914,8.68253704820993,8.06865249050622,8.95023070129695,8.90218085719841,6.96557810963389,7.24758956687128,8.13708956509487,8.83852589531652,8.3739858004612,8.91283590160126,8.62840674722772,8.72168740616594,8.51323677141572,8.80435850043562,7.88148804488685,8.71031018342802,8.36065246148691,8.22950799634669,8.2269148037631,8.08198195645303,8.67218486168074,8.35890035989639,7.46620149956145,9.17453396379456,8.48724239754498,7.86861600735013,7.14381096880573,8.92229452804109,,8.66714174112428,7.82169161779325,,8.2443213354095,8.63904089955147,8.16508641875771,7.3374345390582,7.21140564404927,8.21333170338563,8.15258209518907,8.50763337758337,9.19013751308874,,8.53281919306309,8.90561316719524,8.53354092166818,8.51091271382238,8.77678193610594,7.94979085387238
AAMDC,9.35378033682294,9.54206372951965,9.73776285224882,9.0800006737397,9.77235783054158,8.79349974016239,9.25618069811459,10.9078170245604,8.36708219212913,8.20502323271841,9.3967538062717,9.56346363403325,10.4961657824513,9.8093618914223,9.60099162827144,9.98001636644421,11.0778110283699,8.31835115101855,8.14882281545523,9.89107303216119,9.58124029053432,8.54246728212743,8.80839713541002,8.97118128484539,9.40400339615135,9.5798591612318,7.89368658804119,11.9186186549306,8.89182186372,9.44141992150768,8.11270830568557,9.60554060036958,6.8988969439698,9.46236045246873,8.53460883901644,,9.19501586465525,9.28774675092651,8.77753169083166,8.14727262055561,7.73731670486476,9.27136302770769,10.1308447599064,8.72599416490753,10.1485951792416,,9.07356072047215,10.9680683348388,9.73928945266581,10.0984527184798,9.02206760790716,9.29233941945028
AAMP,6.92007402164847,8.49124780614346,7.52034653665745,7.93452896563489,8.6261331495714,7.07469766581139,8.48943250864134,8.87483048697971,,7.59384270139143,7.36360660530808,8.46772014327322,7.91902167274737,8.06240612884448,8.16120998000421,8.34666754893381,8.11794922947931,8.32347845868869,6.86271534759865,8.38658174873207,8.1016234048849,7.00677411433175,7.51188869221579,7.92134969317042,8.38071342604599,8.18180741958954,7.59614674075572,8.91157144855478,8.08425164169254,7.81302535799596,7.15410049368765,8.56172954160708,,8.31181741252361,,,8.02593543575158,8.45390875743155,7.19498736001874,7.72233785421975,6.39558574866671,7.98936643222673,7.64023773709403,8.01866704837761,8.61114515594875,,8.63333450606622,8.75766019776536,8.39585604596035,7.96024107647506,8.29258934773682,7.49649576707959
AAR2,7.7451575059154,8.24040465801821,,8.38023138767636,8.28367194092718,,8.34258453168092,8.76899959859402,,,,7.72673978469647,8.17217208439409,8.01515577355104,7.8761030545603,8.09478909102884,8.48737755347295,7.92344188162463,,7.74690713096267,7.96258365343732,,7.293699293172,7.97579221927726,7.88249212524478,7.7110034271096,7.66920958629436,8.69726248290075,8.33989735685958,,,8.11900375077548,,8.37001442595694,,,8.47592378051334,8.38536528543751,,,,7.1953469881038,8.14986694651203,8.23225748904617,8.54605819637963,,7.40193865615852,8.52234769073287,7.75395730227737,7.67804034625696,8.16989629044482,
AARS1,8.8413600867681,9.28129372369637,8.85828469113079,8.87496969282913,10.1454029827851,9.04762724697093,10.4057302474564,9.89961107901209,8.04122592851687,8.46617872341824,8.97041743985539,10.0536580324645,9.51565159904279,9.62529898448681,9.61530506417223,9.68639628892499,9.73386614344746,9.57598766210248,8.15311580852571,9.59957394216595,9.34224692263276,8.73874973754606,9.01386372563816,9.10869238359301,9.67268759204281,9.23694585538794,8.90912652080373,10.2788111037078,9.17359523889782,9.03726622618133,8.32347383281824,9.9638073460706,8.24236130580072,10.0006629674247,8.70515323273774,6.9953697640863,9.80408914070411,10.1780449309598,8.41666689216573,8.61305560044092,7.85087991499512,8.98839433181306,9.45782995290971,9.96799005317335,10.5196317442956,8.02905420218102,9.64001480466823,10.3519041033304,10.0348887730691,9.46019291876476,9.84043854071356,8.90798966788912
AARS2,8.13746549890875,8.66827579952374,8.25756259835388,7.64120888124073,9.12397680823974,,9.05139191526763,8.60273871746542,6.88984498974419,7.90654680696644,8.32279385191163,8.85397664807139,8.2415135870309,9.03839072368417,8.29517323558872,8.58641898811787,8.35590165403388,9.02675487850606,8.14587440584682,8.64818942054594,8.79588104410648,8.12168633667523,8.56110762766816,8.4676949908563,8.67438052176247,8.46686141762841,8.22333822414304,8.52600227195105,8.48201729273378,8.09886272473858,7.61653325713296,8.78583305864133,,8.40748204396119,7.99173994915986,,8.45850316514337,8.88042048498414,8.12521448496124,7.82617106836703,,8.20060264530392,8.23904934985404,8.82913240269608,9.20171615318772,,8.64384855964931,9.0261094058192,8.77235295379883,8.20980582510301,8.70942060220641,8.25584078882681
AARSD1,8.1375078677101,8.53984087686934,8.36874975936069,7.93654895697,8.90202879531356,8.4969364296533,8.87230201158037,9.35223942414265,7.26917994247395,7.9453599911515,8.38448038367449,8.86483164744299,8.65997488757859,8.6766036113153,8.39635719146654,8.51875071410581,8.9615820008109,8.72452456693805,8.40480578347631,8.46131781706095,8.44998055637676,8.07859665609754,8.43914702017717,8.21799310293394,8.65812820510084,8.34661573758943,8.30625591796001,9.44281399523563,8.43022311397055,7.71608855372924,7.94304675533017,8.99356537333816,,8.41539335192676,8.25908428276942,,8.48867345000867,9.03950125326738,7.76172205392795,8.10268383326398,,8.2192474443195,8.42951988012481,8.75350224887456,9.51681663744023,7.71481120041285,8.62888165616719,9.22099802456734,8.67120548351966,8.43737956500767,8.7031066933266,8.33283928163536
AASDHPPT,7.43521467808065,7.55549452679785,7.60751484166327,7.7865392579892,8.00324396015574,7.79757448200664,8.18538210582181,7.94060713556751,6.83007286553747,,7.2911520990472,8.10318424267334,7.76718378454665,8.17182255058694,7.71492706382891,7.71078735810612,7.85955405536879,7.82193436862338,,7.36765683912955,7.69811577122788,7.92347632893955,8.03892232266107,7.74746062840049,7.50976888299565,7.4943807126787,7.19168392218666,8.53603848280543,7.91604164878807,,6.56979594883006,7.95458047101882,,8.02664720136967,7.31168658000182,,7.66541070298492,7.81140244870643,,6.72578078975578,,7.6494346391198,7.63643336248964,7.80023835841199,8.18753180276287,6.48450524779721,7.50965512877738,8.1129249844594,7.95017484020629,7.85685548561459,8.18852493501635,6.95302036037547
AASS,8.70627131168919,8.81276334154275,7.96346890165827,7.97251897473948,8.6619740740198,7.21553269374189,8.83162172355506,9.00785015324079,,7.98762978296893,8.10812560593218,8.79455036713716,8.55970726641747,9.16195969116558,8.32871496101774,8.25145881623188,8.55037181087859,8.58032314268725,,7.81980930706368,8.80763100868681,,8.30219734997419,7.78511729937863,8.29703849572553,8.63185133156037,8.44440376711361,9.06952727425797,8.55770669158471,7.60886945265999,7.8426000893529,8.70853903370038,,8.24796457628426,7.62571294707164,,8.47973343464919,8.66896971022212,8.17943113247872,7.10794572954501,,8.00778060875812,8.33861842119391,8.41481844949768,8.87163764511894,,8.51949410083093,8.59847510759792,8.49873064377438,7.62418700233263,8.16263833239543,8.00253075570531
ABAT,7.64502205442961,8.75394347722858,7.85870691941862,7.62663373597145,8.60892561554347,7.65160855465048,8.59890725788877,9.04220536624125,,7.44626438613513,,10.3438430200392,8.40473035726058,9.90709222375277,8.06228180205685,7.95524546233402,8.01225931289089,8.21247511777054,,7.85767900147124,7.77636027576625,8.56806155818667,8.05241386135068,8.13887516182963,8.37428387024287,7.73180998833303,7.39429477705839,9.07588567278698,8.59481383587789,7.43766825142825,7.65712695027013,8.07929180483045,,8.1709169765568,7.60773686291794,,7.92864231054002,8.38495786557826,7.55597019847669,7.41879722947016,,7.62394343964158,8.07231359489744,8.12248820951559,8.31497209613019,,8.50968155884037,8.35683616999214,7.93352883570489,7.7392410302096,8.67119682342016,
ABCA1,7.74944629440103,8.08210649774332,,,8.06282080873324,,8.66313011677377,8.15497719599997,6.93549425150956,7.50850483923665,,,,8.41513126659547,8.15089330734327,8.28063727552118,7.65310172910087,8.85600921596696,8.89234076706583,9.35993876017729,7.85847606297768,8.01186390417226,7.58535270507999,8.5295038029715,7.90382466930069,7.56605913053572,7.5899138486819,,8.37676677862085,,,9.15056835481702,7.66810093871806,7.46331193567037,7.95782588362343,,8.34477087437458,8.74046077072167,7.99376487518379,7.89388700661846,8.04351219802819,8.48355071496161,,8.81632871926595,8.61809122988794,,8.49395749048592,9.71740219915422,8.19012123113534,8.86722287212177,9.03943065230229,7.44893781399473
ABCA6,7.95163226086221,9.11300637175822,7.66615401220839,,8.5021340340643,7.7431770045774,8.95707954321841,7.82221858097959,,7.53940954511973,8.33495108775115,8.6863888864225,7.69990285865791,8.99840662644285,7.82144577528646,8.91920434831133,6.4872446847886,6.89720524274955,,7.66206910127474,8.47731840790147,8.27656074282866,8.27753170390719,,8.20876035803737,7.97056301779949,8.05272791699149,7.91455842021048,8.49022332445872,8.36840462495966,7.88870800486262,8.72151584800719,,8.10072466938237,7.68590161471401,,7.54539404573052,8.76479242504495,,7.69028411256115,,8.04909927458086,,8.05907071654238,8.39896982654913,,8.18483045595689,7.7807583953445,8.35000309383682,7.68575801434916,8.02352765236166,8.30919952603066
ABCA8,9.01501365561122,10.5761602563078,8.99796190613951,7.46969289642456,8.1538245400667,9.05729769802758,10.0806176495021,8.48960099589625,,8.04860469974668,9.23779923117354,11.0972486163539,9.13592591796244,11.7794680937704,7.26322317063899,9.54204433099937,6.33326470760068,6.47296965600563,,,8.96987235582167,8.3781343209465,9.03038397476665,8.43552083701396,8.95652394340966,9.19657250729805,8.13522242387787,9.52497844117654,9.17266326706538,8.94340412238679,8.5588464401866,9.40444663535786,,8.91465196900193,8.08212439684581,,8.12974104698924,9.54333936051432,6.6574285944648,9.05997926345525,,8.26348619295228,,8.24346707309603,8.58221083722367,,9.02957923635032,7.14745741577274,8.85454670650143,7.53387216975393,7.81711528176817,9.27309638518237
ABCB10,8.64623061970332,8.916009766319,8.36548115997086,8.06390482021119,8.94521382927782,7.59798742009357,9.48311601082798,8.50545024516036,6.83075023781812,8.57029313314021,8.59919159579129,8.411632812435,8.665609965634,9.21346758021102,8.16880074135258,8.96304812494602,8.69895183693818,10.3242955847112,7.84527708951389,8.92231427665414,8.69695790140821,6.62969190109276,8.89219395109452,8.51569434059479,9.40020866363567,8.77618673468614,8.22172432813662,8.64417236523557,8.62241439609916,7.83900299013802,8.48169353115477,9.13274728896734,7.67892410273134,8.3811367733706,8.79899110947871,,9.21391689758963,9.11320264265368,9.1462368006268,7.09206445240073,7.32058299685545,8.72113492017647,8.32310155304209,8.99120025335531,9.28285468947599,,8.58059574842387,9.52650607431662,9.14449526713297,8.87346412431881,9.26128149134172,8.42198132107271
ABCB6,8.63203971344838,9.0065824577613,9.12206472618997,8.11136213628753,9.03750081973806,9.39698914181247,9.0566009157981,8.81157249112076,7.6452434907255,8.99679739546956,8.99281338641532,9.05302125919842,8.9425969975807,9.03659930530173,8.8795083341734,8.82213278998984,8.36184491791157,8.87227889267167,8.15678607393001,8.85682803333305,9.59408822406514,8.69673630309282,8.72893728794517,8.78070954263392,9.09089039098977,9.04018071097967,9.10886140072425,8.38492960435599,8.9085824146884,9.16046907437445,8.82860478521644,8.69158900695293,7.69822641746133,8.56679674382381,8.96652427710441,7.95920908622543,8.77053522924328,9.28458056589029,8.51942978357516,8.76825918583292,8.44903222094037,8.61622675727907,7.97068695338915,8.58343239297062,9.11059338017832,7.29985819311568,8.95583628259245,8.295267750554,9.28989816172636,8.29600829127162,8.72867170965545,8.91034400530141
ABCB7,8.29173285348732,8.9339075944958,7.50318892067227,8.3648237208177,8.77418057282802,7.17663640454908,9.22756360953746,8.93665132860727,6.74325499201018,8.17923385255811,8.16154005367701,8.88492356201995,8.4470376706693,9.15075725178789,8.18106043177225,8.48571533162112,8.6247575999352,9.106026274065,8.21705417650085,8.67013786295388,8.78871411723956,7.86732742583532,8.47514161360621,8.38444066172619,8.1969957133629,8.21617909236506,7.43785053071561,8.73559365777242,8.39975260281412,8.60896407232219,7.67221295399189,8.84818032499779,7.05948298485728,8.11331571775235,8.35038860073595,,8.69221283522535,8.90632082260016,7.56966497255266,7.24755019892821,7.42517661607528,8.42061597343816,8.20076561291892,8.63570011067022,9.02012668512149,,8.79531895987576,9.15080399421875,8.8055284717046,8.57599323049685,9.06911334938751,8.16303583314567
ABCC1,8.15656060943183,8.50947027906659,7.76046645422107,8.15109994906521,8.38768500941726,8.13019954478574,8.76475691281855,9.06190915042591,7.72591543852359,7.93807603853345,7.93773750545222,8.39936518245937,8.55570524889794,8.43290602742749,8.43989617689092,8.45201529487905,8.83142701420657,8.68485701229506,7.65862569679241,8.23866702867338,8.35056316281414,8.00299538420317,8.19739845068536,8.31104496146674,8.21433294787433,8.10305282825611,7.91544046400958,9.07697844452037,8.25855022847172,7.73826952877899,7.51554924854476,9.04617290961018,7.68837645339726,8.3222754893373,8.27486057405149,7.18219270095734,8.12272065000378,8.61639988721554,7.97231518390923,7.54270104885406,8.07050477321818,8.28282833609536,8.66355927632791,8.39349701490322,8.97909074404305,,8.49813034390586,8.69274850504764,8.68566354981543,8.40493255704608,8.52501434854338,7.95171330569935
ABCC3,8.0121253153228,8.02886456007745,6.69986474107019,8.31582996929879,8.47556907047933,,8.09288518768655,7.29067918917254,,,,,,7.78137452337328,7.91898265290067,7.81567380328907,7.83708501273749,8.16451265138825,,8.07432645912415,7.91184990593444,,8.0230177309286,7.9329334373111,7.97623591232801,,,8.14244123841383,7.30909246632861,,,7.45628033028554,,7.6369379049802,8.20690625023493,,8.1236863196492,8.32835717214844,,,7.07521928816785,6.90980059979823,7.76164824497891,8.00198015113482,7.13909370298286,,,8.96007727300312,8.71574138766288,7.93032591377906,9.23381474913199,
ABCC4,7.98068114631075,7.99320581040389,8.08504535444256,7.50910446821936,8.64660290642075,8.74799737874105,8.83411351973736,7.85260704213041,6.66107869953426,7.88749783262694,7.70446331827091,8.00617485018003,8.01341792729187,8.13780289716399,8.05872107565029,8.30511659281389,7.8777146394551,8.42658518837044,7.41608985049665,7.98666469631964,9.05326985837044,8.02659867954327,8.08544096135381,8.48263690355032,8.45956495737793,7.92431542717277,7.87228549470344,7.51893190615696,7.94653555235355,8.18856210729941,7.99190780190205,8.08441588450298,7.27740150016067,7.90641889512791,8.35333124222582,7.40946033167815,7.66350432284867,8.57911393109325,7.88891557309664,8.02409493699661,8.03600273765255,7.85520370700646,7.37698587240117,7.75470185325488,8.83211338244585,,8.66156391964156,8.40903908217552,8.91439490570528,7.74636560361491,8.43306992493912,7.88631652444025
