protein,missingness_percentage
A1BG,1.1764705882352942
A2M,0.0
A2ML1,92.94117647058823
A4GALT,60.0
AAAS,20.0
AACS,48.23529411764706
AAGAB,28.235294117647058
AAK1,14.117647058823529
AAMDC,5.88235294117647
AAMP,20.0
AAR2,38.82352941176471
AARS1,1.1764705882352942
AARS2,17.647058823529413
AARSD1,12.941176470588237
AASDHPPT,22.35294117647059
AASS,20.0
AATF,56.470588235294116
ABAT,21.176470588235293
ABCA1,29.411764705882355
ABCA2,83.52941176470588
ABCA6,29.411764705882355
ABCA8,23.52941176470588
ABCA9,78.82352941176471
ABCB1,63.52941176470588
ABCB10,9.411764705882353
ABCB11,85.88235294117646
ABCB6,2.3529411764705883
ABCB7,11.76470588235294
ABCB8,69.41176470588235
ABCC1,9.411764705882353
ABCC10,92.94117647058823
ABCC2,98.82352941176471
ABCC3,47.05882352941176
ABCC4,11.76470588235294
ABCC9,68.23529411764706
ABCD1,21.176470588235293
ABCD2,84.70588235294117
ABCD3,9.411764705882353
ABCD4,60.0
ABCE1,7.0588235294117645
ABCF1,8.235294117647058
ABCF2,22.35294117647059
ABCF3,16.470588235294116
ABCG1,92.94117647058823
ABCG2,62.35294117647059
ABHD10,7.0588235294117645
ABHD11,12.941176470588237
ABHD12,8.235294117647058
ABHD13,84.70588235294117
ABHD14B,1.1764705882352942
ABHD15,85.88235294117646
ABHD16A,7.0588235294117645
ABHD17B,58.82352941176471
ABHD4,45.88235294117647
ABHD5,36.470588235294116
ABHD6,30.58823529411765
ABI1,5.88235294117647
ABI2,38.82352941176471
ABI3,17.647058823529413
ABI3BP,2.3529411764705883
ABITRAM,98.82352941176471
ABL1,56.470588235294116
ABL2,88.23529411764706
ABLIM1,11.76470588235294
ABLIM2,28.235294117647058
ABLIM3,25.882352941176475
ABR,8.235294117647058
ABRACL,45.88235294117647
ABRAXAS2,7.0588235294117645
ABT1,95.29411764705881
ABTB2,95.29411764705881
ACAA1,5.88235294117647
ACAA2,3.5294117647058822
ACACA,18.823529411764707
ACACB,50.588235294117645
ACAD10,80.0
ACAD11,42.35294117647059
ACAD8,15.294117647058824
ACAD9,9.411764705882353
ACADL,47.05882352941176
ACADM,7.0588235294117645
ACADS,7.0588235294117645
ACADSB,12.941176470588237
ACADVL,1.1764705882352942
ACAN,11.76470588235294
ACAP1,28.235294117647058
ACAP2,9.411764705882353
ACAT1,5.88235294117647
ACAT2,0.0
ACBD3,10.588235294117647
ACBD5,18.823529411764707
ACBD6,37.64705882352941
ACE,7.0588235294117645
ACHE,38.82352941176471
ACIN1,10.588235294117647
ACLY,1.1764705882352942
ACO1,2.3529411764705883
ACO2,1.1764705882352942
ACOT1,5.88235294117647
ACOT11,63.52941176470588
ACOT13,5.88235294117647
ACOT7,4.705882352941177
ACOT8,22.35294117647059
ACOT9,7.0588235294117645
ACOX1,8.235294117647058
ACOX2,32.94117647058823
ACOX3,14.117647058823529
ACP1,1.1764705882352942
ACP2,2.3529411764705883
ACP3,50.588235294117645
ACP5,31.76470588235294
ACP6,57.647058823529406
ACSF2,15.294117647058824
ACSF3,15.294117647058824
ACSL1,4.705882352941177
ACSL3,5.88235294117647
ACSL4,7.0588235294117645
ACSL5,12.941176470588237
ACSL6,67.05882352941175
ACSM5,91.76470588235294
ACSS1,8.235294117647058
ACSS2,12.941176470588237
ACSS3,25.882352941176475
ACTA1,77.64705882352942
ACTA2,0.0
ACTB,0.0
ACTBL2,0.0
ACTC1,87.05882352941177
ACTG1,5.88235294117647
ACTG2,23.52941176470588
ACTL6A,8.235294117647058
ACTL8,100.0
ACTMAP,89.41176470588236
ACTN1,0.0
ACTN2,43.529411764705884
ACTN4,0.0
ACTR10,8.235294117647058
ACTR1A,0.0
ACTR1B,9.411764705882353
ACTR2,0.0
ACTR3,0.0
ACTR3B,100.0
ACTR5,61.1764705882353
ACTR6,69.41176470588235
ACTR8,55.294117647058826
ACVR1,42.35294117647059
ACVRL1,61.1764705882353
ACY1,10.588235294117647
ACYP1,1.1764705882352942
ACYP2,12.941176470588237
ADA,8.235294117647058
ADA2,5.88235294117647
ADAL,91.76470588235294
ADAM10,2.3529411764705883
ADAM15,28.235294117647058
ADAM17,11.76470588235294
ADAM22,85.88235294117646
ADAM28,84.70588235294117
ADAM8,43.529411764705884
ADAM9,8.235294117647058
ADAMDEC1,15.294117647058824
ADAMTS1,42.35294117647059
ADAMTS13,43.529411764705884
ADAMTS2,69.41176470588235
ADAMTS4,65.88235294117646
ADAMTS7,56.470588235294116
ADAMTS8,95.29411764705881
ADAMTSL1,45.88235294117647
ADAMTSL2,41.17647058823529
ADAMTSL3,29.411764705882355
ADAMTSL4,2.3529411764705883
ADAMTSL5,91.76470588235294
ADAP1,38.82352941176471
ADAP2,31.76470588235294
ADAR,9.411764705882353
ADARB1,30.58823529411765
ADAT2,96.47058823529412
ADAT3,90.58823529411765
ADCK1,81.17647058823529
ADCK5,48.23529411764706
ADCY3,47.05882352941176
ADCY5,48.23529411764706
ADCY6,34.11764705882353
ADCY7,54.11764705882353
ADCY9,72.94117647058823
ADD1,0.0
ADD2,1.1764705882352942
ADD3,5.88235294117647
ADGRA2,58.82352941176471
ADGRE2,36.470588235294116
ADGRE3,76.47058823529412
ADGRE5,1.1764705882352942
ADGRF5,27.058823529411764
ADGRG1,85.88235294117646
ADGRG3,44.70588235294118
ADGRG6,58.82352941176471
ADGRL2,40.0
ADGRL3,65.88235294117646
ADGRL4,85.88235294117646
ADH1B,0.0
ADH1C,52.94117647058824
ADH4,87.05882352941177
ADH5,0.0
ADHFE1,63.52941176470588
ADI1,9.411764705882353
ADIPOQ,1.1764705882352942
ADIRF,7.0588235294117645
ADK,4.705882352941177
ADNP,31.76470588235294
ADO,17.647058823529413
ADPGK,7.0588235294117645
ADPRH,16.470588235294116
ADPRS,7.0588235294117645
ADRA2A,42.35294117647059
ADRM1,4.705882352941177
ADSL,0.0
ADSS1,16.470588235294116
ADSS2,5.88235294117647
AEBP1,2.3529411764705883
AFAP1,22.35294117647059
AFAP1L1,70.58823529411765
AFAP1L2,22.35294117647059
AFDN,18.823529411764707
AFF1,65.88235294117646
AFF4,80.0
AFG1L,69.41176470588235
AFG3L2,8.235294117647058
AFM,1.1764705882352942
AFMID,54.11764705882353
AFP,94.11764705882352
AFTPH,48.23529411764706
AGA,9.411764705882353
AGAP2,58.82352941176471
AGAP3,20.0
AGFG1,5.88235294117647
AGFG2,25.882352941176475
AGK,9.411764705882353
AGL,5.88235294117647
AGMAT,92.94117647058823
AGO1,11.76470588235294
AGO2,2.3529411764705883
AGO3,22.35294117647059
AGPAT1,20.0
AGPAT2,12.941176470588237
AGPAT3,21.176470588235293
AGPAT4,29.411764705882355
AGPAT5,40.0
AGPS,9.411764705882353
AGR2,91.76470588235294
AGRN,7.0588235294117645
AGT,0.0
AGTPBP1,74.11764705882354
AGTRAP,8.235294117647058
AHCTF1,27.058823529411764
AHCY,1.1764705882352942
AHCYL1,4.705882352941177
AHCYL2,20.0
AHNAK,0.0
AHNAK2,14.117647058823529
AHR,32.94117647058823
AHSA1,7.0588235294117645
AHSG,0.0
AHSP,2.3529411764705883
AIDA,7.0588235294117645
AIF1,7.0588235294117645
AIF1L,25.882352941176475
AIFM1,5.88235294117647
AIFM2,16.470588235294116
AIG1,17.647058823529413
AIMP1,7.0588235294117645
AIMP2,12.941176470588237
AIP,7.0588235294117645
AJUBA,100.0
AK1,1.1764705882352942
AK2,2.3529411764705883
AK3,7.0588235294117645
AK4,7.0588235294117645
AK5,82.35294117647058
AK6,61.1764705882353
AKAP1,38.82352941176471
AKAP10,49.411764705882355
AKAP11,60.0
AKAP12,9.411764705882353
AKAP13,16.470588235294116
AKAP17A,65.88235294117646
AKAP2,10.588235294117647
AKAP5,88.23529411764706
AKAP7,67.05882352941175
AKAP8,57.647058823529406
AKAP8L,35.294117647058826
AKAP9,36.470588235294116
AKR1A1,0.0
AKR1B1,2.3529411764705883
AKR1B10,9.411764705882353
AKR1C1,40.0
AKR1C2,17.647058823529413
AKR1C3,4.705882352941177
