,Duplicate tissue proteins
0,SUGT1
1,IRF2BP2
2,REXO2
3,CUX1
4,NHERF2
5,SMTN
6,UBA3
7,SORBS3
8,MAP4
9,CAP1
10,RAP1GDS1
11,RUSC1
12,ANKFY1
13,FHL1
14,MAP7
15,TSTD1
16,TPM3
17,TPM4
18,PLEC
19,TPM1
20,PFN2
21,IRAG1
22,MYO1C
23,PDLIM2
24,MYLK
25,LIMS1
26,STAT3
27,HCFC1
28,NCDN
29,MPST
30,PUF60
31,EEF1D
32,PIP4K2A
33,PYM1
34,MAPRE2
35,MAPRE3
36,MYL6
37,SLC44A2
38,SLMAP
39,GARS1
40,TPD52L2
41,DNM1L
42,FLII
43,RO60
44,HNRNPA3
45,SYNPO
46,CRLF3
47,NAP1L1
48,PLS3
49,ZNF326
50,YWHAB
51,TES
52,RTN4
53,HNRNPDL
54,FMR1
55,LIMA1
56,CDKN2A
57,LMNA
58,CALD1
59,DMD
60,NEXN
61,RAB34
62,RTN1
63,LIMS2
64,CAPZB
65,PPP1R12C
66,SDCBP
67,PDLIM5
68,UGP2
69,CAST
70,MAP3K20
71,ALDH9A1
72,PXN
73,LDB3
74,UNC45A
75,ARHGEF7
76,CNN3
77,NT5C3A
78,LRRFIP1
79,EPB41L2
80,SPTBN1
81,GSN
82,PSMD4
83,POSTN
84,MYH11
85,NUMA1
86,ADD2
87,SVIL
88,COL6A3
89,DDX42
90,MASP1
91,HMCN1
92,APOM
93,DUT
94,NCAM1
95,MYO1B
96,TNC
97,RRBP1
98,MACF1
99,SPTAN1
100,DST
101,EIF4G1
102,IMMT
103,AP1B1
104,LY75
105,LYN
106,ESYT2
107,
108,CSNK1A1
109,TNS1
110,ANXA4
111,MOCS2
112,MAP4K4
113,KNG1
114,VCAN
115,COL6A2
116,ITGA7
117,APIP
118,TOR1AIP2
119,ACTN1
120,SEPTIN5
121,FKBP8
122,TJP1
123,CD46
124,HECTD4
125,NGFR
126,COL14A1
127,MYH10
128,SNAP25
129,EFEMP1
130,MKI67
131,SEPTIN7
132,ATP2B4
133,MAP2
134,RBM26
135,ESYT1
136,TCOF1
137,P4HA1
138,DBNL
139,NDUFV3
140,PKM
141,GANAB
142,LRBA
143,KALRN
144,TPM2
145,ZFYVE19
146,SPAG9
147,LMO7
148,SYNE1
149,DTNA
150,CRMP1
151,MICAL3
152,URI1
153,PDLIM7
154,GAPDH
155,MAMDC2
156,YBX3
157,TH
158,SYNJ1
159,PDCD6
160,DNM2
161,ELN
162,KANK2
163,ADAR
164,PABPC4
165,MCMBP
166,IKBIP
167,SPP1
168,TOP3A
169,ZC3H14
170,DNAJC25
171,PCBP2
172,FBLN1
173,EPB41
174,ACP1
175,SERPINE2
176,CACNA2D1
177,PRKG1
178,PLCD1
179,HYCC1
180,SBSN
181,MIEF1
182,GLYR1
183,SUPT6H
184,DCAF8
185,ARHGAP25
186,TMPO
187,ITGB4
188,KLC1
189,ZNF207
190,PPFIBP1
191,RIC8A
192,PDE4DIP
193,RGS14
194,GNAS
195,KDELR2
196,GNAI2
197,GNAO1
198,CD163
199,CCN2
200,SH3KBP1
201,ANP32E
202,SORBS2
203,PHF1
204,DNAJB6
205,BTF3
206,CBFB
207,MXRA7
208,SYNPO2
209,CORO7
210,ZNF185
211,A1BG
212,HLA-A
213,PPP1R12A
214,EPB41L3
215,API5
216,LTBP1
217,SORBS1
218,SGIP1
219,SMPD4
220,CLINT1
221,CLU
222,PNKD
223,FAH
224,RIOX2
225,TRIM33
226,NAXD
227,SNX2
228,CNBP
229,TOR1AIP1
230,PCYOX1
231,NPNT
232,YAP1
233,CD300LG
234,GLS
235,TIAL1
236,RTN3
237,CDC42
238,TNFSF12
239,CALU
240,AKR1C3
241,NDRG4
242,BCLAF1
243,STX16
244,HNRNPD
245,MAPK14
246,EPB41L1
247,UBQLN1
248,NDUFC2
249,CD34
250,MAT2A
251,RALGAPB
252,BSG
253,POLDIP3
254,SET
255,ARFIP1
256,LILRB4
257,RPL31
258,TSC22D1
259,CAMK2G
260,ARPIN
261,MRPL43
262,ADARB1
263,VEGFA
264,CENPV
265,CLEC16A
266,POLR2M
267,AGTRAP
268,PLAUR
269,FCGR2B
270,TSC22D3
271,MEF2C
