sample,missingness_percentage
Sample 60,35.231619209519764
Sample 65,21.844453888652783
Sample 18,38.110922226944325
Sample 59,43.82702932426689
Sample 42,22.131321716957075
Sample 30,42.47768805779856
Sample 31,13.387165320866979
Sample 77,21.430089247768805
Sample 32,55.227369315767106
Sample 7,43.15767105822354
Sample 55,39.12027199320017
Sample 76,19.942626434339143
Sample 28,26.476838079048026
Sample 72,17.807054823629407
Sample 88,28.559286017849555
Sample 11,23.916277093072676
Sample 25,20.208244793880155
Sample 78,49.5537611559711
Sample 83,27.13557161070973
Sample 70,27.443688907777307
Sample 90,50.82872928176796
Sample 45,28.314917127071826
Sample 85,32.71355716107097
Sample 17,22.73693157671058
Sample 22,29.292392690182744
Sample 57,39.82150446238844
Sample 38,23.300042498937525
Sample 82,44.889502762430936
Sample 39,47.41818954526137
Sample 61,19.86825329366766
Sample 23,29.292392690182744
Sample 73,28.144921376965577
Sample 15,19.188270293242667
Sample 49,39.991500212494685
Sample 75,44.5388865278368
Sample 79,52.35869103272418
Sample 34,33.54228644283893
Sample 1,29.961750956226098
Sample 36,24.160645983850404
Sample 29,15.416489587760307
Sample 86,23.076923076923077
Sample 52,16.97832554186145
Sample 20,27.60305992350191
Sample 51,22.70505737356566
Sample 48,38.15342116447089
