Community,Mean edge importance,Number of proteins,All subnetwork proteins,Pathway,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes
3,0.4611,72,SPTAN1;GPX3;ANXA2;GPI;PRDX2;LDHA;PDIA3;ENO2;TALDO1;UBE2H;RBX1;BLVRB;HSPA9;MAPK14;CCT5;HAGH;UQCRFS1;HP;CALR;ACTBL2;TPI1;HSP90B1;ATP5PD;PRDX3;YWHAG;PDIA6;SOD2;TCP1;GLRX3;GPX4;ORM2;P4HB;YWHAZ;EEF1G;DPYSL2;ACTG1;MMP2;YWHAE;ATP5F1A;PRDX6;CANX;LAP3;GSR;APOA1;GLO1;NDUFS8;IDH1;SOD3;CCT4;HSPD1;APOE;GLRX;ALDOA;ANXA1;GSTO1;YWHAB;CCT6A;ERP44;CASP14;HSPB1;VDAC1;ORM1;STOM;ATP5F1B;PGK1;PARK7;PLG;NME1;DLD;TXNDC5;PEBP1;CCT7,Detoxification Of Reactive Oxygen Species R-HSA-3299685,5.044775545909164e-07,0.00020935818515523032,57.54545454545455,834.3942722954774,PRDX3;PRDX2;GPX3;GSR;P4HB;SOD3
3,0.4611,72,SPTAN1;GPX3;ANXA2;GPI;PRDX2;LDHA;PDIA3;ENO2;TALDO1;UBE2H;RBX1;BLVRB;HSPA9;MAPK14;CCT5;HAGH;UQCRFS1;HP;CALR;ACTBL2;TPI1;HSP90B1;ATP5PD;PRDX3;YWHAG;PDIA6;SOD2;TCP1;GLRX3;GPX4;ORM2;P4HB;YWHAZ;EEF1G;DPYSL2;ACTG1;MMP2;YWHAE;ATP5F1A;PRDX6;CANX;LAP3;GSR;APOA1;GLO1;NDUFS8;IDH1;SOD3;CCT4;HSPD1;APOE;GLRX;ALDOA;ANXA1;GSTO1;YWHAB;CCT6A;ERP44;CASP14;HSPB1;VDAC1;ORM1;STOM;ATP5F1B;PGK1;PARK7;PLG;NME1;DLD;TXNDC5;PEBP1;CCT7,Association Of TriC/CCT With Target Proteins During Biosynthesis R-HSA-390471,2.2507606922179677e-06,0.00023351642181761414,94.55223880597015,1229.5802247125687,CCT6A;TCP1;CCT7;CCT5;CCT4
3,0.4611,72,SPTAN1;GPX3;ANXA2;GPI;PRDX2;LDHA;PDIA3;ENO2;TALDO1;UBE2H;RBX1;BLVRB;HSPA9;MAPK14;CCT5;HAGH;UQCRFS1;HP;CALR;ACTBL2;TPI1;HSP90B1;ATP5PD;PRDX3;YWHAG;PDIA6;SOD2;TCP1;GLRX3;GPX4;ORM2;P4HB;YWHAZ;EEF1G;DPYSL2;ACTG1;MMP2;YWHAE;ATP5F1A;PRDX6;CANX;LAP3;GSR;APOA1;GLO1;NDUFS8;IDH1;SOD3;CCT4;HSPD1;APOE;GLRX;ALDOA;ANXA1;GSTO1;YWHAB;CCT6A;ERP44;CASP14;HSPB1;VDAC1;ORM1;STOM;ATP5F1B;PGK1;PARK7;PLG;NME1;DLD;TXNDC5;PEBP1;CCT7,Folding Of Actin By CCT/TriC R-HSA-390450,2.2507606922179677e-06,0.00023351642181761414,94.55223880597015,1229.5802247125687,CCT6A;TCP1;CCT7;CCT5;CCT4
3,0.4611,72,SPTAN1;GPX3;ANXA2;GPI;PRDX2;LDHA;PDIA3;ENO2;TALDO1;UBE2H;RBX1;BLVRB;HSPA9;MAPK14;CCT5;HAGH;UQCRFS1;HP;CALR;ACTBL2;TPI1;HSP90B1;ATP5PD;PRDX3;YWHAG;PDIA6;SOD2;TCP1;GLRX3;GPX4;ORM2;P4HB;YWHAZ;EEF1G;DPYSL2;ACTG1;MMP2;YWHAE;ATP5F1A;PRDX6;CANX;LAP3;GSR;APOA1;GLO1;NDUFS8;IDH1;SOD3;CCT4;HSPD1;APOE;GLRX;ALDOA;ANXA1;GSTO1;YWHAB;CCT6A;ERP44;CASP14;HSPB1;VDAC1;ORM1;STOM;ATP5F1B;PGK1;PARK7;PLG;NME1;DLD;TXNDC5;PEBP1;CCT7,Mitochondrial Protein Import R-HSA-1268020,2.2507606922179677e-06,0.00023351642181761414,94.55223880597015,1229.5802247125687,HSPA9;ATP5F1A;ATP5F1B;VDAC1;HSPD1
3,0.4611,72,SPTAN1;GPX3;ANXA2;GPI;PRDX2;LDHA;PDIA3;ENO2;TALDO1;UBE2H;RBX1;BLVRB;HSPA9;MAPK14;CCT5;HAGH;UQCRFS1;HP;CALR;ACTBL2;TPI1;HSP90B1;ATP5PD;PRDX3;YWHAG;PDIA6;SOD2;TCP1;GLRX3;GPX4;ORM2;P4HB;YWHAZ;EEF1G;DPYSL2;ACTG1;MMP2;YWHAE;ATP5F1A;PRDX6;CANX;LAP3;GSR;APOA1;GLO1;NDUFS8;IDH1;SOD3;CCT4;HSPD1;APOE;GLRX;ALDOA;ANXA1;GSTO1;YWHAB;CCT6A;ERP44;CASP14;HSPB1;VDAC1;ORM1;STOM;ATP5F1B;PGK1;PARK7;PLG;NME1;DLD;TXNDC5;PEBP1;CCT7,Organelle Biogenesis And Maintenance R-HSA-1852241,8.851055739482949e-06,0.0007346376263770848,7.704714640198511,89.6441530789092,HSPA9;YWHAE;ATP5F1A;ATP5PD;ATP5F1B;TCP1;MAPK14;CCT5;YWHAG;CCT4
3,0.4611,72,SPTAN1;GPX3;ANXA2;GPI;PRDX2;LDHA;PDIA3;ENO2;TALDO1;UBE2H;RBX1;BLVRB;HSPA9;MAPK14;CCT5;HAGH;UQCRFS1;HP;CALR;ACTBL2;TPI1;HSP90B1;ATP5PD;PRDX3;YWHAG;PDIA6;SOD2;TCP1;GLRX3;GPX4;ORM2;P4HB;YWHAZ;EEF1G;DPYSL2;ACTG1;MMP2;YWHAE;ATP5F1A;PRDX6;CANX;LAP3;GSR;APOA1;GLO1;NDUFS8;IDH1;SOD3;CCT4;HSPD1;APOE;GLRX;ALDOA;ANXA1;GSTO1;YWHAB;CCT6A;ERP44;CASP14;HSPB1;VDAC1;ORM1;STOM;ATP5F1B;PGK1;PARK7;PLG;NME1;DLD;TXNDC5;PEBP1;CCT7,Interleukin-12 Family Signaling R-HSA-447115,1.915324344385447e-05,0.0013247660048666008,12.306293706293706,133.6837421544774,HSPA9;ANXA2;GSTO1;CANX;TCP1;TALDO1;P4HB
3,0.4611,72,SPTAN1;GPX3;ANXA2;GPI;PRDX2;LDHA;PDIA3;ENO2;TALDO1;UBE2H;RBX1;BLVRB;HSPA9;MAPK14;CCT5;HAGH;UQCRFS1;HP;CALR;ACTBL2;TPI1;HSP90B1;ATP5PD;PRDX3;YWHAG;PDIA6;SOD2;TCP1;GLRX3;GPX4;ORM2;P4HB;YWHAZ;EEF1G;DPYSL2;ACTG1;MMP2;YWHAE;ATP5F1A;PRDX6;CANX;LAP3;GSR;APOA1;GLO1;NDUFS8;IDH1;SOD3;CCT4;HSPD1;APOE;GLRX;ALDOA;ANXA1;GSTO1;YWHAB;CCT6A;ERP44;CASP14;HSPB1;VDAC1;ORM1;STOM;ATP5F1B;PGK1;PARK7;PLG;NME1;DLD;TXNDC5;PEBP1;CCT7,Citric Acid (TCA) Cycle And Respiratory Electron Transport R-HSA-1428517,2.3418517523786617e-05,0.0013883835389102066,7.732919254658385,82.448257510674,LDHA;ATP5F1A;ATP5PD;NDUFS8;ATP5F1B;GLO1;UQCRFS1;VDAC1;HAGH
3,0.4611,72,SPTAN1;GPX3;ANXA2;GPI;PRDX2;LDHA;PDIA3;ENO2;TALDO1;UBE2H;RBX1;BLVRB;HSPA9;MAPK14;CCT5;HAGH;UQCRFS1;HP;CALR;ACTBL2;TPI1;HSP90B1;ATP5PD;PRDX3;YWHAG;PDIA6;SOD2;TCP1;GLRX3;GPX4;ORM2;P4HB;YWHAZ;EEF1G;DPYSL2;ACTG1;MMP2;YWHAE;ATP5F1A;PRDX6;CANX;LAP3;GSR;APOA1;GLO1;NDUFS8;IDH1;SOD3;CCT4;HSPD1;APOE;GLRX;ALDOA;ANXA1;GSTO1;YWHAB;CCT6A;ERP44;CASP14;HSPB1;VDAC1;ORM1;STOM;ATP5F1B;PGK1;PARK7;PLG;NME1;DLD;TXNDC5;PEBP1;CCT7,Cellular Responses To Stress R-HSA-2262752,3.508662124358827e-05,0.0018201184770111417,3.8603481624758222,39.59825729561092,HSPA9;YWHAE;GPX3;IDH1;GSR;TALDO1;APOA1;MAPK14;PDIA6;SOD3;RBX1;HSP90B1;PRDX3;PRDX2;BLVRB;CALR;P4HB
3,0.4611,72,SPTAN1;GPX3;ANXA2;GPI;PRDX2;LDHA;PDIA3;ENO2;TALDO1;UBE2H;RBX1;BLVRB;HSPA9;MAPK14;CCT5;HAGH;UQCRFS1;HP;CALR;ACTBL2;TPI1;HSP90B1;ATP5PD;PRDX3;YWHAG;PDIA6;SOD2;TCP1;GLRX3;GPX4;ORM2;P4HB;YWHAZ;EEF1G;DPYSL2;ACTG1;MMP2;YWHAE;ATP5F1A;PRDX6;CANX;LAP3;GSR;APOA1;GLO1;NDUFS8;IDH1;SOD3;CCT4;HSPD1;APOE;GLRX;ALDOA;ANXA1;GSTO1;YWHAB;CCT6A;ERP44;CASP14;HSPB1;VDAC1;ORM1;STOM;ATP5F1B;PGK1;PARK7;PLG;NME1;DLD;TXNDC5;PEBP1;CCT7,Cellular Responses To Stimuli R-HSA-8953897,3.965318924551132e-05,0.0018284526152096887,3.8164593301435406,38.681109770713796,HSPA9;YWHAE;GPX3;IDH1;GSR;TALDO1;APOA1;MAPK14;PDIA6;SOD3;RBX1;HSP90B1;PRDX3;PRDX2;BLVRB;CALR;P4HB
3,0.4611,72,SPTAN1;GPX3;ANXA2;GPI;PRDX2;LDHA;PDIA3;ENO2;TALDO1;UBE2H;RBX1;BLVRB;HSPA9;MAPK14;CCT5;HAGH;UQCRFS1;HP;CALR;ACTBL2;TPI1;HSP90B1;ATP5PD;PRDX3;YWHAG;PDIA6;SOD2;TCP1;GLRX3;GPX4;ORM2;P4HB;YWHAZ;EEF1G;DPYSL2;ACTG1;MMP2;YWHAE;ATP5F1A;PRDX6;CANX;LAP3;GSR;APOA1;GLO1;NDUFS8;IDH1;SOD3;CCT4;HSPD1;APOE;GLRX;ALDOA;ANXA1;GSTO1;YWHAB;CCT6A;ERP44;CASP14;HSPB1;VDAC1;ORM1;STOM;ATP5F1B;PGK1;PARK7;PLG;NME1;DLD;TXNDC5;PEBP1;CCT7,Mitochondrial Biogenesis R-HSA-1592230,7.970701074587434e-05,0.0029377083363540117,18.850746268656717,177.89737692482842,HSPA9;ATP5F1A;ATP5PD;ATP5F1B;MAPK14
3,0.4611,72,SPTAN1;GPX3;ANXA2;GPI;PRDX2;LDHA;PDIA3;ENO2;TALDO1;UBE2H;RBX1;BLVRB;HSPA9;MAPK14;CCT5;HAGH;UQCRFS1;HP;CALR;ACTBL2;TPI1;HSP90B1;ATP5PD;PRDX3;YWHAG;PDIA6;SOD2;TCP1;GLRX3;GPX4;ORM2;P4HB;YWHAZ;EEF1G;DPYSL2;ACTG1;MMP2;YWHAE;ATP5F1A;PRDX6;CANX;LAP3;GSR;APOA1;GLO1;NDUFS8;IDH1;SOD3;CCT4;HSPD1;APOE;GLRX;ALDOA;ANXA1;GSTO1;YWHAB;CCT6A;ERP44;CASP14;HSPB1;VDAC1;ORM1;STOM;ATP5F1B;PGK1;PARK7;PLG;NME1;DLD;TXNDC5;PEBP1;CCT7,Interleukin-12 Signaling R-HSA-9020591,0.00010207806082675267,0.0029377083363540117,11.436363636363636,105.097582734731,HSPA9;ANXA2;GSTO1;TCP1;TALDO1;P4HB
3,0.4611,72,SPTAN1;GPX3;ANXA2;GPI;PRDX2;LDHA;PDIA3;ENO2;TALDO1;UBE2H;RBX1;BLVRB;HSPA9;MAPK14;CCT5;HAGH;UQCRFS1;HP;CALR;ACTBL2;TPI1;HSP90B1;ATP5PD;PRDX3;YWHAG;PDIA6;SOD2;TCP1;GLRX3;GPX4;ORM2;P4HB;YWHAZ;EEF1G;DPYSL2;ACTG1;MMP2;YWHAE;ATP5F1A;PRDX6;CANX;LAP3;GSR;APOA1;GLO1;NDUFS8;IDH1;SOD3;CCT4;HSPD1;APOE;GLRX;ALDOA;ANXA1;GSTO1;YWHAB;CCT6A;ERP44;CASP14;HSPB1;VDAC1;ORM1;STOM;ATP5F1B;PGK1;PARK7;PLG;NME1;DLD;TXNDC5;PEBP1;CCT7,Activation Of BAD And Translocation To Mitochondria R-HSA-111447,0.00010618222902484379,0.0029377083363540117,37.23529411764706,340.716114954314,YWHAE;YWHAB;YWHAZ;YWHAG
