New_Node_Index,Original_Protein_ID,Gene
0,0,MAPK1
1,1,SUGT1
2,2,RBX1
3,3,PEPD
4,4,EEF1G
5,5,VTA1
6,6,LSM5
7,7,PFDN1
8,8,PSMD5
9,9,RAN
10,10,SMIM5
11,11,LGALS1
12,12,SLC35A4
13,13,CAPZA1
14,14,PPP1CB
15,15,NAP1L4
16,16,CAPZA2
17,17,CAP1
18,18,GAS2L1
19,19,CALM1
20,20,APRT
21,21,RPS12
22,22,CLIC1
23,23,USP15
24,24,ABI1
25,25,DYNLRB1
26,26,SNAPIN
27,27,TPM3
28,28,PSMF1
29,29,BRK1
30,30,LGALSL
31,31,DBN1
32,32,PFN1
33,33,TWF2
34,34,STK24
35,35,CLIC4
36,36,LIMS1
37,37,GLRX
38,38,MYH9
39,39,VCP
40,40,CFL1
41,41,DSTN
42,42,ANXA3
43,43,CA1
44,44,ATP6V1G1
45,45,KRT6A
46,46,RAB14
47,47,EEF1D
48,48,PIP4K2A
49,49,FABP5
50,50,MAPRE2
51,51,MAPRE1
52,52,MYL6
53,53,MTPN
54,54,ACTB
55,55,ACTG1
56,56,YWHAH
57,57,CAVIN2
58,58,RAB11B
59,59,NRGN
60,60,ILK
61,61,YWHAE
62,62,MTURN
63,63,YWHAZ
64,64,YWHAB
65,65,SNAP23
66,66,SERPINB12
67,67,ELOB
68,68,COPZ1
69,69,DNM1L
70,70,PSMC4
71,71,YWHAQ
72,72,SULT1A1
73,73,KPNB1
74,74,DIAPH1
75,75,SERPINB1
76,76,TALDO1
77,77,PRKAR1A
78,78,ACTR1A
79,79,TKT
80,80,TMEM40
81,81,PSMB2
82,82,ATG3
83,83,SMIM1
84,84,RAB6B
85,85,KRT2
86,86,PTMA
87,87,TMSB4X
88,88,CAPZB
89,89,PPP1CA
90,90,GMFG
91,91,GNB1
92,92,H1-4
93,93,VASP
94,94,GNG5
95,95,PSMB3
96,96,RNH1
97,97,SDCBP
98,98,PDLIM5
99,99,MAPK14
100,100,KRT1
101,101,PSMA3
102,102,BLMH
103,103,RAB6A
104,104,VAMP3
105,105,STX7
106,106,ARPC4
107,107,RAB27B
108,108,GYG1
