Protein,Cohort,Missing % (Before),Median (Before),IQR (Before),Median (After),IQR (After)
SUGT1,AAA,39.13,8.057991,1.0129232,7.8304343,1.2931939363479614
SUGT1,AAA + Diab,10.0,7.9199286,0.87428284,7.8873343,0.9100977182388306
SUGT1,Control,60.0,7.926983,0.8586774,7.485486,0.4898500442504883
RBX1,AAA,36.96,8.802241,1.1074467,8.242939,1.1373306512832642
RBX1,AAA + Diab,5.0,8.828863,0.5994034,8.81119,0.6685588359832764
RBX1,Control,33.33,8.291451,0.6281624,8.242306,0.4521780014038086
PEPD,AAA,28.26,7.3515286,0.86477566,7.359915,0.8908315896987915
PEPD,AAA + Diab,5.0,7.049834,0.69521046,6.982279,0.7747558355331421
PEPD,Control,40.0,7.4253063,0.70938015,6.7947993,0.9953126907348633
CLIC4,AAA,43.48,7.941454,0.9713001,7.324516,1.2856793403625488
CLIC4,AAA + Diab,20.0,7.4723396,0.8694539,7.6708727,0.9925075769424438
CLIC4,Control,60.0,7.601588,1.083025,7.3187356,0.38611388206481934
ANXA3,AAA,34.78,7.7414646,0.63763285,7.601406,0.8828895092010498
ANXA3,AAA + Diab,5.0,7.800471,0.72882175,7.7990522,0.6864410638809204
ANXA3,Control,33.33,7.855047,1.5779514,7.354578,1.6550242900848389
TKT,AAA,21.74,7.562272,1.0830817,7.327091,1.1088786125183105
TKT,AAA + Diab,5.0,7.5703235,0.5849161,7.5673504,0.5867502689361572
TKT,Control,46.67,7.668336,0.8185797,7.224426,0.6987290382385254
H1-4,AAA,45.65,7.653779,1.2083697,7.628367,1.1809850931167603
H1-4,AAA + Diab,35.0,7.9474616,0.7546077,7.972786,0.7643493413925171
H1-4,Control,80.0,9.069225,1.6496658,9.803328,1.390805721282959
POSTN,AAA,2.17,7.762791,0.40940285,7.757399,0.390826940536499
POSTN,AAA + Diab,5.0,7.6677833,0.30849552,7.686902,0.33661580085754395
POSTN,Control,20.0,7.859177,0.30886984,7.8974557,0.3836078643798828
DUSP3,AAA,28.26,8.634887,1.2500496,8.49909,1.2221771478652954
DUSP3,AAA + Diab,5.0,8.59942,0.8586545,8.556223,0.9446345567703247
DUSP3,Control,40.0,8.069981,0.6890588,8.009953,0.6182265281677246
BASP1,AAA,34.78,7.5068903,0.8777561,7.6621065,1.1434979438781738
BASP1,AAA + Diab,5.0,7.3669767,1.0587616,7.394726,1.0320873260498047
BASP1,Control,33.33,7.300906,0.6265621,7.0587015,0.5784049034118652
ADH5,AAA,39.13,7.9923854,0.6856098,7.7572117,1.035261631011963
ADH5,AAA + Diab,5.0,8.070761,0.298728,8.0707245,0.35120081901550293
ADH5,Control,46.67,8.079208,0.746192,8.166034,0.8114700317382812
CYCS,AAA,50.0,7.779836,0.8009939,7.256013,1.2247413396835327
CYCS,AAA + Diab,10.0,7.7227526,0.61247444,7.68011,0.7282921075820923
CYCS,Control,53.33,7.6226263,1.2797661,6.8008337,1.1286585330963135
SLC3A2,AAA,15.22,7.4213223,0.69308615,7.341035,0.7925801277160645
SLC3A2,AAA + Diab,10.0,7.5231543,0.6563597,7.4958143,0.7638462781906128
SLC3A2,Control,46.67,7.1485953,0.47333765,7.1188855,0.43094635009765625
LST1,AAA,45.65,8.516158,0.40284443,8.430232,0.5673112869262695
LST1,AAA + Diab,15.0,8.59578,0.4267931,8.540501,0.4864778518676758
LST1,Control,66.67,8.534687,0.4879923,8.14665,0.508220911026001
DIABLO,AAA,45.65,8.586895,1.0486631,8.030443,1.400344967842102
