Protein,Cohort,Missing % (Before),Median (Before),IQR (Before),Median (After),IQR (After)
SUGT1,AAA,39.13,8.057991,1.0129232,7.535470597743988,0.9006684231758122
SUGT1,AAA + Diab,10.0,7.9199286,0.87428284,7.959691662788391,0.7599742412567139
SUGT1,Control,60.0,7.926983,0.8586774,7.958581347465515,0.2674853277206406
RBX1,AAA,36.96,8.802241,1.1074467,8.317575025558472,0.8385166263580324
RBX1,AAA + Diab,5.0,8.828863,0.5994034,8.811189651489258,0.5636754035949707
RBX1,Control,33.33,8.291451,0.6281624,8.406639361381531,0.22427153587341309
PEPD,AAA,28.26,7.3515286,0.86477566,7.068915843963623,0.7196034824848176
PEPD,AAA + Diab,5.0,7.049834,0.69521046,7.021268954277039,0.5784493684768677
PEPD,Control,40.0,7.4253063,0.70938015,7.301659913063049,0.26423313379287716
CLIC4,AAA,43.48,7.941454,0.9713001,7.484896740913391,0.6608092272281647
CLIC4,AAA + Diab,20.0,7.4723396,0.8694539,7.472339391708374,0.6497021913528442
CLIC4,Control,60.0,7.601588,1.083025,7.679726309776306,0.17684481859207146
ANXA3,AAA,34.78,7.7414646,0.63763285,7.579221112728119,0.4829272401332858
ANXA3,AAA + Diab,5.0,7.800471,0.72882175,7.7990522384643555,0.6864410638809204
ANXA3,Control,33.33,7.855047,1.5779514,7.9781898546218875,0.6334471201896665
TKT,AAA,21.74,7.562272,1.0830817,7.320496277809143,0.9743543434143067
TKT,AAA + Diab,5.0,7.5703235,0.5849161,7.567350387573242,0.5522861480712891
TKT,Control,46.67,7.668336,0.8185797,7.589061260223389,0.30919656276702856
H1-4,AAA,45.65,7.653779,1.2083697,7.55782541513443,0.39184674620628357
H1-4,AAA + Diab,35.0,7.9474616,0.7546077,7.963848087787628,0.4335765838623047
H1-4,Control,80.0,9.069225,1.6496658,9.88956932067871,0.16375148773193438
POSTN,AAA,2.17,7.762791,0.40940285,7.773206949234009,0.4035276699066159
POSTN,AAA + Diab,5.0,7.6677833,0.30849552,7.686901807785034,0.33661580085754395
POSTN,Control,20.0,7.859177,0.30886984,7.813410634994507,0.1328527879714967
DUSP3,AAA,28.26,8.634887,1.2500496,8.029346497058869,1.0779753923416138
DUSP3,AAA + Diab,5.0,8.59942,0.8586545,8.571244249343872,0.821807861328125
DUSP3,Control,40.0,8.069981,0.6890588,8.06998062133789,0.22402732372284007
BASP1,AAA,34.78,7.5068903,0.8777561,7.435660898685455,0.5285749590396884
BASP1,AAA + Diab,5.0,7.3669767,1.0587616,7.394726037979126,1.0320873260498047
BASP1,Control,33.33,7.300906,0.6265621,7.27390193939209,0.3480849075317387
ADH5,AAA,39.13,7.9923854,0.6856098,7.726010148525238,0.6229215419292444
ADH5,AAA + Diab,5.0,8.070761,0.298728,8.070724964141846,0.3294412887096403
ADH5,Control,46.67,8.079208,0.746192,8.31422779083252,0.36751589059829826
CYCS,AAA,50.0,7.779836,0.8009939,7.421753182411194,0.5116532313823701
CYCS,AAA + Diab,10.0,7.7227526,0.61247444,7.680109977722168,0.5313445460796355
CYCS,Control,53.33,7.6226263,1.2797661,7.514308342933655,0.45430752277374253
SLC3A2,AAA,15.22,7.4213223,0.69308615,7.3717752456665036,0.5226120948791504
SLC3A2,AAA + Diab,10.0,7.5231543,0.6563597,7.545909905433655,0.5830047130584717
SLC3A2,Control,46.67,7.1485953,0.47333765,7.111748442649842,0.09282648324966392
LST1,AAA,45.65,8.516158,0.40284443,8.353018555641174,0.3286915040016183
LST1,AAA + Diab,15.0,8.59578,0.4267931,8.63014256477356,0.40799546241760254
LST1,Control,66.67,8.534687,0.4879923,8.641277904510497,0.1390452241897595
DIABLO,AAA,45.65,8.586895,1.0486631,7.948441932201385,0.9338983285427096
DIABLO,AAA + Diab,15.0,8.877117,0.58843327,8.862048897743225,0.4099453699588782
DIABLO,Control,46.67,7.798227,0.56350994,7.857962155342102,0.2997662329673769
ADSL,AAA,41.3,8.383231,0.75558853,8.021527090072631,0.6240322482585903
ADSL,AAA + Diab,10.0,8.11454,0.8365526,8.149968161582947,0.7795348167419434
ADSL,Control,60.0,8.496949,0.471941,8.365288667678833,0.25504427909851124
VAMP7,AAA,15.22,8.414377,1.3954182,7.955530142784118,1.0731882047653203
VAMP7,AAA + Diab,15.0,9.095903,1.1736822,8.92492787361145,0.8992759656906131
VAMP7,Control,46.67,8.594408,0.7439947,8.459759984016419,0.22921120166778586
SERPINB9,AAA,47.83,8.379692,0.6513252,8.114163539409638,0.4464823412895207
SERPINB9,AAA + Diab,15.0,8.405681,1.0724006,8.334511723518371,0.8529385697841647
