,,count,count,count
cohort,,0,1,2
protein,missing_status,,,
0,0,38,18,12
0,1,11,3,3
1,0,19,14,7
1,1,30,7,8
2,0,30,18,6
2,1,19,3,9
3,0,30,19,10
3,1,19,2,5
4,0,34,20,9
4,1,15,1,6
5,0,49,21,15
5,1,0,0,0
6,0,37,18,10
6,1,12,3,5
7,0,37,20,10
7,1,12,1,5
8,0,38,20,13
8,1,11,1,2
9,0,46,21,15
9,1,3,0,0
10,0,49,21,15
10,1,0,0,0
11,0,26,13,8
11,1,23,8,7
12,0,47,21,15
12,1,2,0,0
13,0,40,18,10
13,1,9,3,5
14,0,49,21,15
14,1,0,0,0
15,0,46,19,13
15,1,3,2,2
16,0,49,21,15
16,1,0,0,0
17,0,5,6,2
17,1,44,15,13
18,0,49,20,15
18,1,0,1,0
19,0,49,21,15
19,1,0,0,0
20,0,25,17,9
20,1,24,4,6
21,0,49,21,15
21,1,0,0,0
22,0,49,21,14
22,1,0,0,1
23,0,23,16,7
23,1,26,5,8
24,0,49,21,15
24,1,0,0,0
25,0,45,17,15
25,1,4,4,0
26,0,47,20,15
26,1,2,1,0
27,0,34,18,9
27,1,15,3,6
28,0,46,19,13
28,1,3,2,2
29,0,20,11,9
29,1,29,10,6
30,0,49,21,15
30,1,0,0,0
31,0,26,15,8
31,1,23,6,7
32,0,47,20,15
32,1,2,1,0
33,0,47,20,14
33,1,2,1,1
34,0,49,21,15
34,1,0,0,0
35,0,49,21,15
35,1,0,0,0
36,0,34,17,10
36,1,15,4,5
37,0,48,21,15
37,1,1,0,0
38,0,27,16,6
38,1,22,5,9
39,0,49,21,15
39,1,0,0,0
40,0,46,19,13
40,1,3,2,2
41,0,49,21,15
41,1,0,0,0
42,0,49,21,15
42,1,0,0,0
43,0,49,21,15
43,1,0,0,0
44,0,40,18,12
44,1,9,3,3
45,0,30,19,10
45,1,19,2,5
46,0,9,4,2
46,1,40,17,13
47,0,44,21,12
47,1,5,0,3
48,0,42,19,12
48,1,7,2,3
49,0,49,21,15
49,1,0,0,0
50,0,49,21,15
50,1,0,0,0
51,0,6,0,1
51,1,43,21,14
52,0,49,20,15
52,1,0,1,0
53,0,49,21,15
53,1,0,0,0
54,0,48,21,15
54,1,1,0,0
55,0,49,20,15
55,1,0,1,0
56,0,49,21,15
56,1,0,0,0
57,0,49,21,15
57,1,0,0,0
58,0,30,16,7
58,1,19,5,8
59,0,49,21,15
59,1,0,0,0
60,0,48,21,14
60,1,1,0,1
61,0,49,21,15
61,1,0,0,0
62,0,49,21,15
62,1,0,0,0
63,0,49,21,15
63,1,0,0,0
64,0,31,14,12
64,1,18,7,3
65,0,49,21,15
65,1,0,0,0
66,0,49,21,15
66,1,0,0,0
67,0,47,20,14
67,1,2,1,1
68,0,49,21,15
68,1,0,0,0
69,0,36,20,14
69,1,13,1,1
70,0,49,21,15
70,1,0,0,0
71,0,48,21,15
71,1,1,0,0
72,0,48,21,14
72,1,1,0,1
73,0,47,19,15
73,1,2,2,0
74,0,46,21,14
74,1,3,0,1
75,0,37,18,14
75,1,12,3,1
76,0,49,21,15
76,1,0,0,0
77,0,21,15,5
77,1,28,6,10
78,0,36,19,10
78,1,13,2,5
79,0,49,21,15
79,1,0,0,0
80,0,48,21,15
80,1,1,0,0
81,0,48,21,14
81,1,1,0,1
82,0,39,20,11
82,1,10,1,4
83,0,46,19,15
83,1,3,2,0
84,0,48,19,15
84,1,1,2,0
85,0,36,19,8
85,1,13,2,7
86,0,46,20,15
86,1,3,1,0
87,0,49,21,15
87,1,0,0,0
88,0,49,21,15
88,1,0,0,0
89,0,30,18,10
89,1,19,3,5
90,0,10,12,3
90,1,39,9,12
91,0,48,21,15
91,1,1,0,0
92,0,49,21,15
92,1,0,0,0
93,0,49,21,15
93,1,0,0,0
94,0,14,6,2
94,1,35,15,13
95,0,48,19,15
95,1,1,2,0
96,0,49,21,15
96,1,0,0,0
97,0,47,21,13
97,1,2,0,2
98,0,39,20,10
98,1,10,1,5
99,0,49,21,15
99,1,0,0,0
100,0,27,13,3
100,1,22,8,12
101,0,6,0,3
101,1,43,21,12
102,0,49,20,15
102,1,0,1,0
103,0,18,12,4
103,1,31,9,11
104,0,46,20,15
104,1,3,1,0
105,0,49,21,15
105,1,0,0,0
106,0,46,21,12
106,1,3,0,3
107,0,47,21,14
107,1,2,0,1
108,0,47,20,13
108,1,2,1,2
109,0,47,21,15
109,1,2,0,0
110,0,49,21,15
110,1,0,0,0
111,0,49,21,15
111,1,0,0,0
112,0,41,21,10
112,1,8,0,5
113,0,15,9,6
113,1,34,12,9
114,0,46,20,14
114,1,3,1,1
115,0,48,19,15
115,1,1,2,0
116,0,47,21,15
116,1,2,0,0
117,0,49,20,15
117,1,0,1,0
118,0,49,21,15
118,1,0,0,0
119,0,40,19,14
119,1,9,2,1
120,0,19,13,6
120,1,30,8,9
121,0,34,16,11
121,1,15,5,4
122,0,49,21,15
122,1,0,0,0
123,0,45,19,14
123,1,4,2,1
124,0,49,21,15
124,1,0,0,0
125,0,49,21,15
125,1,0,0,0
126,0,49,21,15
126,1,0,0,0
127,0,49,21,15
127,1,0,0,0
128,0,43,19,14
128,1,6,2,1
129,0,49,21,15
129,1,0,0,0
130,0,27,17,9
130,1,22,4,6
131,0,49,21,15
131,1,0,0,0
132,0,48,21,15
132,1,1,0,0
133,0,47,20,12
133,1,2,1,3
134,0,36,18,11
134,1,13,3,4
135,0,49,21,15
135,1,0,0,0
136,0,46,20,13
136,1,3,1,2
137,0,49,21,15
137,1,0,0,0
138,0,6,3,1
138,1,43,18,14
139,0,49,21,15
139,1,0,0,0
140,0,18,9,4
140,1,31,12,11
141,0,49,21,15
141,1,0,0,0
142,0,49,21,15
142,1,0,0,0
143,0,49,21,15
143,1,0,0,0
144,0,33,19,9
144,1,16,2,6
145,0,47,21,14
145,1,2,0,1
146,0,49,21,15
