,,count,count,count
cohort,,0,1,2
protein,missing_status,,,
0,0,36,18,12
0,1,10,2,3
1,0,28,18,6
1,1,18,2,9
2,0,29,19,10
2,1,17,1,5
3,0,33,19,9
3,1,13,1,6
4,0,46,20,15
4,1,0,0,0
5,0,36,18,10
5,1,10,2,5
6,0,35,20,10
6,1,11,0,5
7,0,38,20,13
7,1,8,0,2
8,0,45,20,15
8,1,1,0,0
9,0,46,20,15
9,1,0,0,0
10,0,26,13,8
10,1,20,7,7
11,0,46,20,15
11,1,0,0,0
12,0,40,18,10
12,1,6,2,5
13,0,46,20,15
13,1,0,0,0
14,0,44,19,13
14,1,2,1,2
15,0,46,20,15
15,1,0,0,0
16,0,46,20,15
16,1,0,0,0
17,0,46,20,15
17,1,0,0,0
18,0,25,17,9
18,1,21,3,6
19,0,46,20,15
19,1,0,0,0
20,0,46,20,14
20,1,0,0,1
21,0,23,16,7
21,1,23,4,8
22,0,46,20,15
22,1,0,0,0
23,0,42,17,15
23,1,4,3,0
24,0,46,20,15
24,1,0,0,0
25,0,34,18,9
25,1,12,2,6
26,0,44,18,13
26,1,2,2,2
27,0,46,20,15
27,1,0,0,0
28,0,26,15,8
28,1,20,5,7
29,0,45,20,15
29,1,1,0,0
30,0,45,20,14
30,1,1,0,1
31,0,46,20,15
31,1,0,0,0
32,0,46,20,15
32,1,0,0,0
33,0,34,17,10
33,1,12,3,5
34,0,45,20,15
34,1,1,0,0
35,0,26,16,6
35,1,20,4,9
36,0,46,20,15
36,1,0,0,0
37,0,45,19,13
37,1,1,1,2
38,0,46,20,15
38,1,0,0,0
39,0,46,20,15
39,1,0,0,0
40,0,46,20,15
40,1,0,0,0
41,0,38,18,12
41,1,8,2,3
42,0,30,19,10
42,1,16,1,5
43,0,42,20,12
43,1,4,0,3
44,0,40,19,12
44,1,6,1,3
45,0,46,20,15
45,1,0,0,0
46,0,46,20,15
46,1,0,0,0
47,0,46,20,15
47,1,0,0,0
48,0,46,20,15
48,1,0,0,0
49,0,45,20,15
49,1,1,0,0
50,0,46,20,15
50,1,0,0,0
51,0,46,20,15
51,1,0,0,0
52,0,46,20,15
52,1,0,0,0
53,0,30,16,7
53,1,16,4,8
54,0,46,20,15
54,1,0,0,0
55,0,45,20,14
55,1,1,0,1
56,0,46,20,15
56,1,0,0,0
57,0,46,20,15
57,1,0,0,0
58,0,46,20,15
58,1,0,0,0
59,0,30,14,12
59,1,16,6,3
60,0,46,20,15
60,1,0,0,0
61,0,46,20,15
61,1,0,0,0
62,0,46,20,14
62,1,0,0,1
63,0,46,20,15
63,1,0,0,0
64,0,34,20,14
64,1,12,0,1
65,0,46,20,15
65,1,0,0,0
66,0,46,20,15
66,1,0,0,0
67,0,46,20,14
67,1,0,0,1
68,0,44,19,15
68,1,2,1,0
69,0,45,20,14
69,1,1,0,1
70,0,37,18,14
70,1,9,2,1
71,0,46,20,15
71,1,0,0,0
72,0,36,19,10
72,1,10,1,5
73,0,46,20,15
73,1,0,0,0
74,0,46,20,15
74,1,0,0,0
75,0,45,20,14
75,1,1,0,1
76,0,38,19,11
76,1,8,1,4
77,0,44,19,15
77,1,2,1,0
78,0,45,19,15
78,1,1,1,0
79,0,36,19,8
79,1,10,1,7
80,0,44,19,15
80,1,2,1,0
81,0,46,20,15
81,1,0,0,0
82,0,46,20,15
82,1,0,0,0
83,0,29,18,10
83,1,17,2,5
84,0,46,20,15
84,1,0,0,0
85,0,46,20,15
85,1,0,0,0
86,0,46,20,15
86,1,0,0,0
87,0,45,19,15
87,1,1,1,0
88,0,46,20,15
88,1,0,0,0
89,0,46,20,13
89,1,0,0,2
90,0,38,20,10
90,1,8,0,5
91,0,46,20,15
91,1,0,0,0
92,0,25,13,3
92,1,21,7,12
93,0,46,20,15
93,1,0,0,0
94,0,45,20,15
94,1,1,0,0
95,0,46,20,15
95,1,0,0,0
96,0,45,20,12
96,1,1,0,3
97,0,46,20,14
97,1,0,0,1
98,0,45,20,13
98,1,1,0,2
99,0,46,20,15
99,1,0,0,0
100,0,46,20,15
100,1,0,0,0
101,0,46,20,15
101,1,0,0,0
102,0,40,20,10
102,1,6,0,5
103,0,44,20,14
103,1,2,0,1
104,0,45,19,15
104,1,1,1,0
105,0,44,20,15
105,1,2,0,0
106,0,46,20,15
106,1,0,0,0
107,0,46,20,15
107,1,0,0,0
108,0,39,19,14
108,1,7,1,1
109,0,32,16,11
109,1,14,4,4
110,0,46,20,15
110,1,0,0,0
111,0,44,18,14
111,1,2,2,1
112,0,46,20,15
112,1,0,0,0
113,0,46,20,15
113,1,0,0,0
114,0,46,20,15
114,1,0,0,0
115,0,46,20,15
115,1,0,0,0
116,0,42,19,14
116,1,4,1,1
117,0,46,20,15
117,1,0,0,0
118,0,27,17,9
118,1,19,3,6
119,0,46,20,15
119,1,0,0,0
120,0,46,20,15
120,1,0,0,0
121,0,45,19,12
121,1,1,1,3
122,0,36,18,11
122,1,10,2,4
123,0,46,20,15
123,1,0,0,0
124,0,44,19,13
124,1,2,1,2
125,0,46,20,15
125,1,0,0,0
126,0,46,20,15
126,1,0,0,0
127,0,46,20,15
127,1,0,0,0
128,0,46,20,15
128,1,0,0,0
129,0,46,20,15
129,1,0,0,0
130,0,33,19,9
130,1,13,1,6
131,0,45,20,14
131,1,1,0,1
132,0,46,20,15
132,1,0,0,0
133,0,46,20,15
133,1,0,0,0
134,0,30,19,10
134,1,16,1,5
135,0,45,20,14
135,1,1,0,1
136,0,44,19,13
136,1,2,1,2
137,0,35,18,11
137,1,11,2,4
138,0,45,20,15
138,1,1,0,0
139,0,46,20,15
139,1,0,0,0
140,0,46,20,15
140,1,0,0,0
141,0,29,16,7
141,1,17,4,8
142,0,46,20,15
142,1,0,0,0
143,0,30,16,13
143,1,16,4,2
144,0,46,20,15
144,1,0,0,0
145,0,46,20,15
145,1,0,0,0
146,0,45,19,15
