protein,missingness_percentage
MAPK1,20.0
EEF1G,0.0
VTA1,23.52941176470588
LSM5,21.176470588235293
PFDN1,16.470588235294116
PSMD5,3.5294117647058822
RAN,0.0
LGALS1,2.3529411764705883
SLC35A4,20.0
CAPZA1,0.0
PPP1CB,8.235294117647058
NAP1L4,0.0
CAPZA2,1.1764705882352942
CAP1,0.0
CALM1,0.0
APRT,1.1764705882352942
CLIC1,0.0
USP15,9.411764705882353
ABI1,3.5294117647058822
SNAPIN,8.235294117647058
TPM3,0.0
BRK1,3.5294117647058822
LGALSL,4.705882352941177
DBN1,0.0
PFN1,0.0
STK24,1.1764705882352942
LIMS1,0.0
GLRX,8.235294117647058
MYH9,0.0
VCP,0.0
CFL1,0.0
DSTN,17.647058823529413
CA1,9.411764705882353
ATP6V1G1,14.117647058823529
KRT6A,0.0
RAB14,0.0
EEF1D,1.1764705882352942
PIP4K2A,0.0
FABP5,1.1764705882352942
MAPRE2,1.1764705882352942
MAPRE1,0.0
MYL6,0.0
ACTB,0.0
ACTG1,2.3529411764705883
YWHAH,0.0
CAVIN2,0.0
RAB11B,0.0
ILK,0.0
YWHAE,0.0
MTURN,4.705882352941177
YWHAZ,0.0
YWHAB,17.647058823529413
SNAP23,0.0
SERPINB12,1.1764705882352942
ELOB,2.3529411764705883
COPZ1,4.705882352941177
DNM1L,4.705882352941177
PSMC4,18.823529411764707
YWHAQ,0.0
SULT1A1,23.52941176470588
KPNB1,0.0
DIAPH1,1.1764705882352942
SERPINB1,2.3529411764705883
TALDO1,17.647058823529413
PRKAR1A,5.88235294117647
ACTR1A,3.5294117647058822
TMEM40,4.705882352941177
PSMB2,0.0
ATG3,0.0
RAB6B,1.1764705882352942
KRT2,0.0
PTMA,0.0
TMSB4X,3.5294117647058822
CAPZB,0.0
PPP1CA,4.705882352941177
GMFG,18.823529411764707
GNB1,0.0
VASP,1.1764705882352942
GNG5,4.705882352941177
PSMB3,0.0
RNH1,7.0588235294117645
SDCBP,3.5294117647058822
PDLIM5,5.88235294117647
MAPK14,2.3529411764705883
KRT1,0.0
PSMA3,0.0
BLMH,15.294117647058824
RAB6A,5.88235294117647
VAMP3,3.5294117647058822
STX7,2.3529411764705883
ARPC4,1.1764705882352942
RAB27B,0.0
GYG1,14.117647058823529
SPTB,0.0
FTH1,8.235294117647058
PDLIM1,0.0
YWHAG,0.0
HBD,0.0
PPIA,0.0
PSMD4,10.588235294117647
SERPINA5,0.0
TLN1,0.0
BMP1,1.1764705882352942
POSTN,7.0588235294117645
CHCHD3,23.52941176470588
C4A,0.0
SEPTIN11,7.0588235294117645
SLC4A1,0.0
CD248,0.0
ALB,0.0
LCP1,0.0
TTR,0.0
LY6G6F,3.5294117647058822
F5,0.0
BPIFB1,1.1764705882352942
LTBP4,3.5294117647058822
CLTA,7.0588235294117645
PTMS,22.35294117647059
PHB,4.705882352941177
MST1,2.3529411764705883
LGALS3BP,0.0
HSPG2,0.0
TNC,0.0
APOB,0.0
FCER1G,2.3529411764705883
CLEC11A,0.0
APLP1,1.1764705882352942
KRT9,0.0
UBE2O,0.0
KIF2A,4.705882352941177
DCHS1,11.76470588235294
LRP1,0.0
JUP,0.0
AGT,0.0
ITLN1,0.0
VCL,0.0
PSMA2,0.0
HYOU1,0.0
CORO1A,0.0
QSOX1,0.0
COL6A3,1.1764705882352942
LCAT,0.0
ALDOA,0.0
FCGR2A,14.117647058823529
CAT,1.1764705882352942
LAMB1,1.1764705882352942
A2M,0.0
PRKAR2B,4.705882352941177
CLSTN1,0.0
C7,0.0
STRAP,3.5294117647058822
PDIA6,0.0
FAM177A1,0.0
APOE,0.0
SERPINB3,7.0588235294117645
TGFBI,0.0
UBA1,21.176470588235293
ETFA,9.411764705882353
HSPD1,8.235294117647058
SPTA1,0.0
ALAD,2.3529411764705883
COL18A1,0.0
ENO1,0.0
C3,0.0
LMNA,12.941176470588237
PGK1,4.705882352941177
CFI,0.0
PSTPIP2,15.294117647058824
LASP1,1.1764705882352942
GNB2,5.88235294117647
F10,0.0
PTTG1IP,5.88235294117647
ACTN1,0.0
ACTN4,0.0
MANSC1,8.235294117647058
ECM1,0.0
THBS2,2.3529411764705883
PNP,7.0588235294117645
LTF,4.705882352941177
FAT4,5.88235294117647
CP,0.0
PRDX1,0.0
PIGR,2.3529411764705883
SERPINB6,9.411764705882353
SERPINC1,0.0
MFAP4,22.35294117647059
DLD,14.117647058823529
CD109,1.1764705882352942
HSP90AB1,0.0
KRT17,0.0
KRT14,0.0
KRT10,0.0
HRG,0.0
PTX3,7.0588235294117645
HSP90AA1,0.0
SLC3A2,23.52941176470588
SERPINA3,0.0
UQCRC1,4.705882352941177
APLP2,11.76470588235294
EFEMP1,0.0
TNXB,0.0
ITIH3,0.0
SEPTIN2,11.76470588235294
SEPTIN7,23.52941176470588
TGOLN2,7.0588235294117645
PTPRC,12.941176470588237
KRT78,1.1764705882352942
PF4V1,0.0
SPARCL1,0.0
AKAP12,17.647058823529413
FLNA,0.0
ITGA6,0.0
ITIH4,0.0
ITGA2B,0.0
C8G,0.0
NID1,0.0
ITIH2,0.0
LAMA2,1.1764705882352942
RALB,7.0588235294117645
BIN2,0.0
ARHGAP45,9.411764705882353
LYVE1,0.0
DSP,0.0
ARHGDIA,11.76470588235294
VWF,0.0
FAT1,0.0
KRT5,0.0
SELL,0.0
DCTN1,1.1764705882352942
THBS1,0.0
CDH1,0.0
GRAP2,22.35294117647059
APOA1,0.0
C4B,0.0
RSU1,0.0
C9,0.0
RALA,16.470588235294116
AFM,0.0
LAMA4,12.941176470588237
NRCAM,5.88235294117647
PKHD1L1,1.1764705882352942
CAMK1,24.705882352941178
THBS4,0.0
APOA5,0.0
MMP9,4.705882352941177
CD36,0.0
SVEP1,0.0
C5,0.0
LAMC1,0.0
SLC2A14,5.88235294117647
AMBP,0.0
RPLP0,4.705882352941177
GSTP1,9.411764705882353
NELL2,16.470588235294116
APOM,0.0
CSF1,0.0
RAB10,0.0
CMTM5,11.76470588235294
VAMP7,24.705882352941178
CD14,0.0
MMP19,1.1764705882352942
COMP,0.0
MMP2,17.647058823529413
PLG,0.0
LAMP1,1.1764705882352942
TFRC,0.0
C1QBP,18.823529411764707
TUBA4A,0.0
IGFALS,0.0
KNG1,0.0
MDH2,3.5294117647058822
GSN,0.0
PLTP,0.0
ITGA5,5.88235294117647
DPP4,10.588235294117647
TXNL1,0.0
FCGBP,0.0
FERMT3,0.0
ITGA2,1.1764705882352942
CORO1B,0.0
CFH,0.0
AZGP1,0.0
HSPA4,0.0
INHBC,1.1764705882352942
PSMB1,0.0
CPN2,0.0
SYTL4,14.117647058823529
WAS,9.411764705882353
SOD3,0.0
ADAMTS13,0.0
KRT13,0.0
PTPRF,7.0588235294117645
PGLYRP2,0.0
EIF2S1,4.705882352941177
TSKU,4.705882352941177
H2AC11,2.3529411764705883
CD59,11.76470588235294
ATP5PD,11.76470588235294
DPT,0.0
GSTK1,8.235294117647058
STK4,8.235294117647058
EFEMP2,0.0
CNN2,1.1764705882352942
SDC4,0.0
ST8SIA4,1.1764705882352942
OSTF1,1.1764705882352942
APOA2,0.0
ITGAV,12.941176470588237
COLEC10,0.0
PCSK9,0.0
FBN1,0.0
PCDH12,1.1764705882352942
WDR1,1.1764705882352942
ATP5F1B,0.0
F8,0.0
LDLR,1.1764705882352942
CLTC,0.0
PPP2CA,20.0
PROS1,0.0
ANGPTL6,0.0
FGB,0.0
NAPA,0.0
NID2,0.0
PSMB8,0.0
CFHR5,0.0
C8A,0.0
CAMP,0.0
ST13,1.1764705882352942
ADAM10,0.0
SGTA,11.76470588235294
CORO1C,0.0
FETUB,0.0
CTSD,0.0
COLEC11,0.0
PRG4,0.0
PSMA5,0.0
TGM1,12.941176470588237
CNDP1,0.0
PSMB4,0.0
CD9,2.3529411764705883
AEBP1,4.705882352941177
PTPRZ1,3.5294117647058822
SCRN1,11.76470588235294
CPQ,15.294117647058824
BCHE,4.705882352941177
TUBB,0.0
ARL1,21.176470588235293
SERPING1,0.0
PSMA6,0.0
COPS4,1.1764705882352942
FGG,0.0
CASS4,16.470588235294116
PCBP1,1.1764705882352942
FHL1,2.3529411764705883
PSMA7,0.0
SOD2,2.3529411764705883
PACSIN2,4.705882352941177
GRB2,12.941176470588237
SNCA,0.0
HSPA5,0.0
APOA4,0.0
PON1,0.0
GC,0.0
STOM,0.0
ITGB3,0.0
ARPC5,2.3529411764705883
APOL1,0.0
NCSTN,10.588235294117647
RAP2B,3.5294117647058822
RHEB,8.235294117647058
SHBG,0.0
TXNDC5,0.0
IGFBP3,0.0
TWSG1,16.470588235294116
C4BPA,0.0
PSMC2,2.3529411764705883
CST3,14.117647058823529
UQCRB,12.941176470588237
DSC1,1.1764705882352942
TGFB1,0.0
STIM1,7.0588235294117645
S100A4,7.0588235294117645
APEH,0.0
KRT27,0.0
KRT16,0.0
ESAM,7.0588235294117645
GPLD1,0.0
AGRN,1.1764705882352942
RUVBL1,8.235294117647058
GP9,0.0
TMOD3,4.705882352941177
ALCAM,2.3529411764705883
CFB,0.0
ITGB2,12.941176470588237
LRG1,2.3529411764705883
SERPINI1,16.470588235294116
SELPLG,7.0588235294117645
LTBP1,0.0
NOTCH2,1.1764705882352942
C2,1.1764705882352942
IGFBP1,3.5294117647058822
LYPLA1,17.647058823529413
OAF,0.0
RASGRP2,5.88235294117647
C4BPB,0.0
PZP,3.5294117647058822
GANAB,0.0
GSR,8.235294117647058
ICOSLG,9.411764705882353
C6,0.0
S100A8,0.0
DSG1,1.1764705882352942
PRDX5,7.0588235294117645
ISLR,4.705882352941177
HPX,0.0
FCN3,1.1764705882352942
ALDOB,12.941176470588237
CLU,0.0
PSMC6,4.705882352941177
MBL2,0.0
PSMA1,0.0
F11,21.176470588235293
CD44,0.0
F2,0.0
HEG1,1.1764705882352942
TUBB1,0.0
FBLN2,8.235294117647058
GCA,24.705882352941178
FGA,0.0
CSF1R,0.0
SELP,0.0
