Genes,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Sample 60,Sample 6,Sample 7,Sample 8,Sample 9,Sample 62,Sample 10,Sample 11,Sample 21,Sample 12,Sample 13,Sample 63,Sample 14,Sample 15,Sample 23,Sample 16,Sample 17,Sample 64,Sample 18,Sample 19,Sample 26,Sample 20,Sample 22,Sample 24,Sample 25,Sample 30,Sample 53,Sample 32,Sample 33,Sample 34,Sample 36,Sample 38,Sample 39,Sample 41,Sample 69,Sample 43,Sample 91,Sample 45,Sample 70,Sample 47,Sample 92,Sample 48,Sample 49,Sample 93,Sample 54,Sample 55,Sample 94,Sample 73,Sample 74,Sample 80,Sample 81,Sample 96,Sample 75,Sample 85,Sample 86,Sample 88,Sample 89,Sample 72,Sample 82,Sample 78,Sample 77,Sample 95,Sample 29,Sample 37,Sample 79,Sample 61,Sample 66,Sample 76,Sample 83,Sample 87
MAPK1,7.80251391004462,10.2021037641938,9.95374109134794,9.39861456689034,8.75008325628872,8.61837650465127,8.98199575906311,10.487751346645,9.48739286676081,9.40281503737182,8.64411560610376,10.0264651155008,9.92674253241006,9.66341783405788,9.34414538603231,9.78407355571468,9.23998961577875,9.14343652419986,9.22457870660504,10.0323032573702,9.42985233696302,9.53250473230893,7.37586248350151,9.26357424938713,7.16849489322104,7.94050428889922,8.69581968847673,9.13213750019861,9.60293873527639,9.46373162683572,9.2498071916209,8.78351654528396,7.88108051296791,8.31185371598437,7.90306333150039,8.2854826243478,7.16588474099437,7.61082972965153,8.13983948667184,8.02338319208505,10.7976720460695,8.94268265399843,10.5836792921983,10.2795453608514,9.31291375209276,9.20624472166653,9.1634863753717,9.80156659838918,8.95494159673924,7.67244058406337,8.30471794415222,9.4451092582539,8.3399355735148,8.0922601565399,7.37328090261878,7.97183198331623,7.89578944816808,9.31187782248171,7.40197057387948,8.93587841520784,7.72015269950449,8.20756365241506,,,,,,,,,,,,,
PEPD,,8.23896967303222,7.63321292615283,8.19781174210136,7.96780864209102,7.55071243701843,7.95835922730871,8.6228010812296,7.63237106251721,7.36830059942578,7.50417937615979,7.8929337014902,7.76362234487989,6.87078069047326,6.51918679674161,7.79052001883074,7.4253062117136,7.65414733054703,7.58379649733177,8.3001762631179,7.06524591420303,7.41587911986367,6.78076764763234,7.06364943312547,6.40824895673971,6.61958015064162,7.0115682183547,6.89785506842976,7.04761930031643,7.35152862176347,6.87252906178454,7.54831219312605,7.07418193178075,,,,6.85054939390306,6.6896332531916,6.4406058178822,6.79479941799418,9.1089197581564,6.91472387332977,7.01183955756121,8.95476834986382,7.71532506918374,6.5879551299624,10.3442800545163,7.33246892055424,7.04983375341495,7.34929023644736,,6.5628724776791,7.14374452733523,6.24009311249362,,,7.07529260360472,7.45309409271059,6.39394436183865,6.44934512602093,6.6442280378411,7.63046963677797,,7.57687200412442,,5.92035091627338,7.09591185043658,6.89121753300729,6.5326242641715,5.85633599841667,,,,,
EEF1G,8.65819381172921,10.9677746493776,12.9130321368775,10.4528115393767,12.0987844014398,10.5379736084234,11.9932995742127,11.5247747345672,12.1390934923631,11.5979340981322,10.4902519937014,11.5330085280701,11.7797201481581,11.8706944952974,12.5339836669886,12.2920469358691,11.6888027701909,11.7054559948901,12.1471552026631,11.472509922385,11.6705020357438,11.5171461663893,8.55420361675813,11.6141143910868,10.3455433360719,10.5956485403891,11.6871789782216,11.2745816530746,11.8711825908765,12.0252923344933,9.97253109221869,9.86089044950595,9.56866475084335,8.81261563219274,9.15952747477813,8.19348709281441,9.20488997922038,8.60426921342208,9.53416711091992,9.58064018586546,11.2356624885765,11.8390882599768,10.9328161588698,8.70279526384145,11.2135980566898,12.4268743918142,10.4619304509062,11.6899758575203,12.027638800275,9.37775270398826,9.89087718233215,12.0746999009125,9.6472849280897,10.8656089188781,9.21619958713494,8.93342932365316,10.0664144743414,11.6697722100861,10.785955551437,12.3457412961871,9.99397867654331,10.112905591252,10.1711147323403,10.109762226074,9.04936367494353,9.10876725677563,8.33552020544818,7.65617354633437,8.72851241207103,8.29809134618645,7.58490121622322,8.7669360641715,8.05976940133598,7.48599805762918,9.13742383376888
VTA1,,8.46817153636245,9.32274820970449,8.31256874524905,10.0844008028828,8.74755627147954,8.98200971665708,8.98458491210694,8.92280285668281,9.08124802002261,8.27427407478625,8.77145409145069,8.36673991490024,8.67544368093898,8.45782318082122,8.90392129710324,8.87620205337909,8.74359477054111,8.80439159007306,8.8696725983054,8.50037194310148,8.40300778312829,,8.65749093990583,7.14143865974583,7.0373281383479,8.10837457362296,7.48345915347923,7.63626463118401,9.14232086128247,7.83784384948711,8.56179229435428,6.90778039281679,7.15104915373744,7.64453858241825,,6.19076675112203,6.14862005771962,5.95252121462548,7.10636067874325,8.97395870449582,7.82620605574087,8.06951827377668,8.25497683378369,8.25404321949681,8.16960999914587,7.83645464307091,8.79713802451102,8.05130878413269,7.52374800077772,7.38572187507086,8.02353840942696,6.6172641309769,7.64360190872717,6.71600301258099,6.14080722690801,7.53232982819174,8.40993658385023,7.53067824909481,8.12515163368626,7.46988471466938,8.36936169547843,,6.94848423099506,,7.29342021502146,,,,,6.49695088598105,,,,
LSM5,6.61038248255888,8.41618657308795,10.0325271375203,7.74403861871598,11.0510904735884,8.79514470831455,9.02326221014549,9.30733755978394,8.70767498111592,9.3486468416739,8.1775268780328,9.00066020926677,7.98640434904722,9.11917741493028,8.20706783736389,8.0196450841989,8.38283073753982,8.03265974416988,8.59763408377721,9.13031456957265,8.33147354208356,7.7630757033823,,7.8608894995014,6.70589805352205,6.99886345500672,7.57524097441024,8.29441150784626,8.36838797205995,9.49416588089888,8.91240162705811,8.09981296099118,6.91170317249505,,7.32084711113739,,6.24181766285655,6.4700510322305,6.73001249780813,6.37725668126864,7.91381902595817,6.31342841066263,7.44128414778525,8.46312305145548,7.90625234749425,7.67381343007362,7.40162383901545,8.27984991567574,7.33281439860512,7.51667536791836,6.28394388805583,8.47738682676918,,7.45373663744504,,7.07804735926573,6.42303764234109,8.96862053543955,7.40315303220228,7.51172023033948,6.98384135807457,8.32843062556471,6.54900134232281,6.50744181806984,6.57732754092051,,5.90220357116345,,,,,,,5.61517331740401,
PFDN1,,9.44879552570698,10.1368924410588,8.8299307592133,10.2665739545174,8.93964047903838,9.38693082059519,10.3798430579532,9.36722239151231,9.0891033390471,8.64501959679503,9.4884227753092,9.85562029894118,9.5649506243189,9.37564529114565,9.42852709204507,9.4839423654515,9.45279389397382,9.62225830917618,9.5028165556597,9.72911123151854,9.56557065812873,7.3805490920405,9.18571155838097,8.02261002323786,8.67229385815718,9.49700370694788,9.63415048390227,9.32713649616,9.49385543910902,7.92993911142774,8.16441200643018,7.62957964752282,6.88956479668775,7.80465172105717,7.97914410140895,7.83743080414273,7.50741778270859,8.16134120601744,7.66571947858344,9.9302368164598,9.35311923516185,9.30286213944702,9.07446383619038,9.26704186446243,9.7317948035723,8.51140001110413,9.41327148785716,9.29229396090248,7.86613658740378,8.23284386208277,9.67769040935199,8.92100671242516,8.24174310966809,,7.45026141413732,7.84241496739265,10.0212172173238,8.37700281240255,9.71569589996801,7.77089926862995,8.50616633660373,7.91537739330961,7.85555920413921,6.86203999871955,7.54834508687815,6.63413683168424,,8.12074892909558,,,7.81614537083172,,7.40996891754536,8.01109621002002
PSMD5,7.07215550680888,8.61299295534153,9.98470468792604,8.19951456686809,10.078999339796,9.30748046861153,9.69908413221279,9.31766947094443,9.36138613941596,8.7458497702556,8.60921840214218,9.00206039853128,9.06024680941955,9.11264315588447,9.58757268641866,9.52748664764944,10.3838889047723,9.23483155704667,9.29720368998051,8.78334992587282,9.10548924069031,9.08466126379283,8.20316049823354,8.90685552972685,7.89320728563597,8.54346719339935,9.05484785710326,8.898052154903,9.20731619837681,9.50751973606954,7.71442333854445,7.90710553640736,7.35961354501398,7.25245998736607,7.5020518993629,7.49444412057036,7.72140231078753,6.51804871178028,7.51740590271298,7.50238481552119,8.95451200016424,8.98670513072324,8.67162217991459,8.5051978866331,8.81931288192172,9.61417088756791,8.30560237901504,9.61497534692996,9.20978321476369,7.71279095237378,8.0412701056268,9.40722364309632,7.30705162670507,9.05886144364393,7.75934240466465,7.89796770105615,7.85759595612656,9.12122123459526,8.56311144991364,9.31017790843113,8.17549431428609,8.73549166556456,7.65647813355095,7.90704899184298,7.51892551167068,8.04677454057977,6.43739819201316,7.35783218916555,7.57903111458105,6.92793914246218,7.55524601172061,8.05301807222384,6.49320249022762,7.05497748636487,7.51442977380571
RAN,9.60794252579149,10.2094878497273,10.6522255346034,9.6187293881354,10.5223992900686,10.5556187088243,10.6372606652745,10.3292284981842,10.4910999315217,10.4850723419604,9.70087341178501,10.0650459791506,9.97793309387225,11.2528764675699,10.2277792679574,9.75727832168201,12.1107475972171,10.3813125348308,10.2891624676989,9.65307453267957,10.2076600444222,10.5614141578465,10.3849670310341,10.1524871504845,9.54157720669872,9.29173534806633,10.1942765045345,10.2554959567686,10.9618432605706,10.4836611360587,11.0360050666019,11.2167857386537,9.20959325620766,9.54240601128184,9.57870653809479,9.11679001156719,9.93496775916558,8.80583657109044,9.52103832345895,8.87239441088466,10.3023398823111,10.6000302749442,11.3839432185747,12.2359226008715,10.3385155220918,10.5603193648749,9.82006873319457,11.246141217859,10.2833610602193,9.89202670644281,9.86846252678004,10.6925912385621,8.81476421764562,10.564386421732,10.2898184962161,10.7998252145174,10.1475445673098,10.0366787620456,10.0473557665804,10.4178105937944,10.6714476159042,9.84570843681176,9.74932185647652,9.92328718837971,9.47825462443689,10.1676389438243,8.58677285619137,10.0925398115422,9.86216289430103,9.26980745759892,9.7262418913996,9.97220137419257,9.43671148329503,10.1526815652896,9.69151921235343
LGALS1,7.71447804053,9.29811925767847,8.3870041120932,8.46932622452564,9.09531227103782,8.39098548542525,8.57341501418036,9.29771775089374,8.55234197856839,8.13163792861835,8.16531341321168,8.71707611103123,8.75021990915371,9.64477741419492,8.30843715621845,8.54700780545807,8.26763769645086,8.61352167949699,9.41170429657856,9.11896724687648,9.05934144314084,8.69990860076011,8.00729243065832,8.33114575667275,8.01961099286895,7.92438237748245,8.40348928118209,8.14726043523517,9.00642873642228,8.8561621250983,9.26095165439025,8.76509507262527,8.23279940205539,7.66436017618666,8.63514444854753,7.84013824184554,7.76993425459786,8.31222559858358,8.47024798915663,7.61432237583759,10.0136704517017,7.99456137292797,8.97332471784591,8.77280377895155,8.40959726070833,8.55152708585346,7.91735950763374,8.9227869056505,8.75855898422102,8.08175215841135,8.63048390032819,8.49571020510468,7.61619772696191,7.62188568823777,7.94109795678487,8.50110019366328,8.25148935231362,9.83678688652795,8.33210957761364,9.17431773034278,8.07577715880203,7.76082430821864,7.89223239632204,8.03822839218438,8.15476679730829,7.8594252525748,7.59198822195731,7.73682799919241,8.22685815209817,7.43363143352583,8.03651253530316,8.20507647610696,7.94128726603375,7.6941678085238,7.83089045939208
SLC35A4,,8.81435219061871,9.10267181974295,8.41940488078407,9.06089838342305,8.65190103426703,8.66887687369647,9.25979095250026,8.72767798248786,8.29269326993934,8.16045180073627,8.96096798205211,9.09154484037573,8.95173093978809,8.67865518289536,9.11342412243342,9.04867422624162,9.16595424040142,9.2449876273642,8.77713415760027,9.13398502138388,8.79824950124994,7.82891550817957,8.94034269372469,8.344669691042,8.82268007580625,9.20669880315773,8.92047324953282,8.40031385180359,9.18752161294702,7.31209154865706,6.90627997807709,6.87744085088603,5.33846261679531,7.34716646599241,6.70182280866032,6.22296075929412,,7.6327265722624,7.90250596705646,8.84228156892766,8.99010565215095,9.22603596508712,6.61600985201973,8.82754299675925,8.97825060645739,8.06939621889402,7.69400981791729,9.52644048854309,7.43320149149286,8.07443918934526,9.18630127019087,8.39509607779629,8.52053204238837,7.33800497990961,6.74124140314576,8.10801523815076,9.22777460046025,8.09972370108727,8.7562686597265,7.85134789904692,8.60407283848981,8.03832800848064,6.58921558891441,6.72787708862355,6.93571965618804,,,6.69568499339165,6.3010620916142,,,6.1655008093529,,7.24042937056976
