Gene,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Sample 60,Sample 6,Sample 7,Sample 8,Sample 9,Sample 62,Sample 10,Sample 11,Sample 21,Sample 12,Sample 13,Sample 63,Sample 14,Sample 15,Sample 23,Sample 16,Sample 17,Sample 64,Sample 18,Sample 19,Sample 26,Sample 20,Sample 22,Sample 24,Sample 25,Sample 30,Sample 53,Sample 32,Sample 33,Sample 34,Sample 36,Sample 38,Sample 39,Sample 41,Sample 69,Sample 43,Sample 91,Sample 45,Sample 70,Sample 47,Sample 92,Sample 48,Sample 49,Sample 50,Sample 93,Sample 54,Sample 55,Sample 94,Sample 73,Sample 74,Sample 80,Sample 81,Sample 96,Sample 75,Sample 85,Sample 86,Sample 88,Sample 89,Sample 72,Sample 82,Sample 78,Sample 77,Sample 29,Sample 37,Sample 79,Sample 61,Sample 66,Sample 76,Sample 83,Sample 87
MAPK1,7.802514,10.202104,9.953741,9.398615,8.750083,8.618377,8.981996,10.487751,9.487392,9.402815,8.644115,10.026465,9.926743,9.663418,9.344146,9.784074,9.239989,9.143436,9.224579,10.032303,9.4298525,9.532505,7.3758626,9.263575,7.1684947,7.940504,8.69582,9.132137,9.602939,9.463732,9.249807,8.783517,7.8810806,8.311853,7.9030633,8.285482,7.165885,7.61083,8.139839,8.023383,10.797672,8.942682,10.583679,10.279546,9.312914,9.206244,9.1634865,9.801566,7.3342204,8.954942,7.6724405,8.304718,9.445109,8.339935,8.09226,7.373281,7.971832,7.8957896,9.311878,7.4019704,8.935879,7.720153,8.207563,8.020327,7.670138,7.7199388,7.782894,7.713483,7.7382293,7.6813455,7.713482,7.7382293,7.6813445,7.7013526,7.827389
EEF1G,8.658194,10.967774,12.913033,10.452811,12.098784,10.537973,11.9932995,11.524775,12.139093,11.597934,10.490252,11.533009,11.77972,11.870694,12.533983,12.292047,11.688803,11.705456,12.147155,11.47251,11.670502,11.517146,8.554204,11.614115,10.345543,10.595649,11.687179,11.274582,11.871182,12.025292,9.972531,9.86089,9.568665,8.812615,9.159528,8.193487,9.20489,8.604269,9.534167,9.58064,11.235662,11.839088,10.9328165,8.702795,11.213598,12.426874,10.46193,11.689976,8.373314,12.027638,9.377752,9.890877,12.0747,9.6472845,10.865609,9.2162,8.93343,10.066415,11.669772,10.785955,12.345741,9.9939785,10.1129055,10.171115,10.109762,9.049364,9.1087675,7.6561737,8.728513,8.298091,7.5849013,8.766936,8.05977,7.485998,9.1374235
VTA1,6.7397523,8.468171,9.322748,8.312569,10.084401,8.747557,8.98201,8.984585,8.922803,9.081248,8.274274,8.771454,8.36674,8.675444,8.457823,8.903921,8.876202,8.743595,8.804392,8.869673,8.500372,8.4030075,6.999429,8.657491,7.1414385,7.0373282,8.108375,7.483459,7.636265,9.142321,7.837844,8.561792,6.90778,7.151049,7.6445384,6.886055,6.190767,6.14862,5.9525213,7.106361,8.973959,7.826206,8.069518,8.254977,8.254044,8.16961,7.836455,8.797138,6.7876706,8.051309,7.523748,7.3857217,8.023539,6.6172643,7.643602,6.716003,6.140807,7.53233,8.409937,7.5306783,8.125152,7.469885,8.369362,7.4290657,6.9484844,6.884671,7.2934203,6.751831,6.8316116,6.8164496,6.496951,6.847693,6.8164496,6.871878,6.975605
LSM5,6.6103826,8.416186,10.032527,7.7440386,11.05109,8.795145,9.023262,9.307338,8.707675,9.348647,8.177526,9.00066,7.9864044,9.119178,8.2070675,8.019645,8.382831,8.03266,8.597634,9.130315,8.331473,7.763076,6.785697,7.8608894,6.7058983,6.998863,7.575241,8.294412,8.368388,9.494165,8.912401,8.0998125,6.911703,6.760314,7.320847,6.760314,6.2418175,6.470051,6.7300124,6.377257,7.913819,6.3134284,7.441284,8.463123,7.9062524,7.6738133,7.4016237,8.27985,6.7168846,7.332814,7.5166755,6.2839437,8.477386,6.924998,7.453737,6.691091,7.0780473,6.4230375,8.96862,7.403153,7.51172,6.9838414,8.32843,6.549001,6.507442,6.5773277,6.7808714,6.665465,6.760314,6.624551,6.665465,6.78701,6.6488304,5.6151733,6.7808714
PFDN1,7.595248,9.448795,10.136892,8.82993,10.266574,8.93964,9.38693,10.379843,9.367223,9.089104,8.64502,9.488422,9.85562,9.564951,9.375646,9.428527,9.483942,9.452794,9.622258,9.502816,9.729112,9.565571,7.380549,9.185712,8.02261,8.672294,9.497004,9.6341505,9.327136,9.493855,7.9299393,8.164412,7.6295795,6.889565,7.8046517,7.979144,7.837431,7.5074177,8.161342,7.6657195,9.930237,9.353119,9.302862,9.074464,9.267042,9.731794,8.5114,9.413272,7.623749,9.292294,7.8661366,8.232843,9.6776905,8.921007,8.241743,7.5979476,7.4502616,7.842415,10.021217,8.377003,9.715696,7.7708993,8.506166,7.9153776,7.8555593,6.86204,7.548345,7.546786,8.1207485,7.5855036,7.5855036,7.8161454,7.5525017,7.409969,8.011096
PSMD5,7.0721555,8.612993,9.984705,8.199514,10.0789995,9.307481,9.699084,9.31767,9.361386,8.74585,8.609219,9.00206,9.060246,9.112643,9.587573,9.527487,10.383889,9.234832,9.297204,8.78335,9.105489,9.0846615,8.20316,8.906856,7.893207,8.5434675,9.054848,8.898052,9.207316,9.50752,7.714423,7.9071054,7.3596134,7.25246,7.502052,7.494444,7.721402,6.518049,7.517406,7.5023847,8.954512,8.986705,8.671622,8.505198,8.819313,9.614171,8.305602,9.614975,7.3892736,9.209784,7.712791,8.04127,9.407224,7.3070517,9.058862,7.759342,7.897968,7.857596,9.121222,8.563111,9.310178,8.175494,8.735492,7.656478,7.907049,7.5189257,8.046775,7.357832,7.579031,6.927939,7.555246,8.053018,6.4932027,7.0549774,7.5144296
RAN,9.607943,10.209488,10.6522255,9.61873,10.522399,10.555618,10.63726,10.329228,10.4911,10.485072,9.700873,10.065046,9.977933,11.252876,10.227779,9.757278,12.110747,10.381312,10.289163,9.653074,10.20766,10.561414,10.384967,10.152487,9.541577,9.291736,10.194277,10.255496,10.9618435,10.483661,11.036005,11.216785,9.209593,9.542406,9.578707,9.11679,9.934968,8.805837,9.521038,8.872395,10.30234,10.60003,11.383944,12.235923,10.338515,10.560319,9.820068,11.246141,8.667924,10.283361,9.892027,9.868463,10.692592,8.814764,10.564386,10.289819,10.799826,10.147545,10.036678,10.047356,10.41781,10.671448,9.845709,9.749322,9.923287,9.478254,10.167639,10.09254,9.862163,9.269808,9.726242,9.972201,9.436711,10.152681,9.691519
LGALS1,7.714478,9.29812,8.387004,8.469326,9.095312,8.3909855,8.573415,9.297718,8.552342,8.131638,8.165314,8.717076,8.75022,9.644777,8.308437,8.547008,8.267637,8.613522,9.411704,9.118967,9.059341,8.699908,8.007293,8.331145,8.019611,7.924382,8.403489,8.147261,9.006429,8.856162,9.260952,8.765095,8.2328,7.66436,8.635144,7.8401384,7.769934,8.312225,8.470248,7.614322,10.013671,7.994561,8.973325,8.772803,8.409597,8.551527,7.9173594,8.922787,8.365413,8.758559,8.081752,8.630484,8.49571,7.6161976,7.621886,7.9410977,8.501101,8.25149,9.836787,8.332109,9.174317,8.075777,7.760824,7.8922324,8.038228,8.154767,7.859425,7.736828,8.226858,7.4336314,8.036512,8.205076,7.941287,7.6941676,7.8308907
SLC35A4,6.6560717,8.814352,9.102672,8.419405,9.060899,8.651901,8.668877,9.259791,8.727678,8.292693,8.160452,8.960968,9.091545,8.951731,8.678656,9.113424,9.048675,9.165955,9.2449875,8.777134,9.133985,8.798249,7.8289156,8.940343,8.344669,8.82268,9.206698,8.920473,8.400313,9.187522,7.3120914,6.90628,6.877441,5.338463,7.3471665,6.7018228,6.222961,6.931882,7.6327267,7.902506,8.842281,8.990106,9.226036,6.6160097,8.827543,8.9782505,8.069396,7.69401,6.7702017,9.526441,7.4332013,8.074439,9.186301,8.395096,8.520532,7.338005,6.7412415,8.108015,9.227775,8.099724,8.7562685,7.851348,8.604073,8.038328,6.5892158,6.727877,6.9357195,6.677429,6.695685,6.301062,6.656072,6.846308,6.1655006,6.606154,7.2404294
CAPZA1,7.8810225,10.797766,11.177635,9.861063,10.914107,9.953179,10.765275,11.123125,10.925387,9.850172,9.742847,10.845883,10.919171,10.505433,10.721655,11.358336,10.674175,11.070415,10.91639,10.803634,10.561938,10.512867,8.134884,10.292902,9.398201,9.747795,10.67546,9.965127,10.214842,10.798974,9.024908,8.934991,8.888991,8.490209,8.7995615,8.054062,8.415852,8.447986,9.2595825,8.982434,11.289281,10.457408,10.387529,9.271149,10.522207,10.846446,9.802899,10.142252,7.8725524,11.100674,9.141196,9.542881,10.719662,9.533333,9.396854,8.553652,8.140015,9.61357,11.2416725,9.617358,10.662321,9.00011,9.889105,9.2237835,8.435127,8.030133,8.886813,7.339686,8.434399,7.181138,7.076083,8.378458,7.475955,7.3020897,8.503639
