sample,missingness_percentage
Sample 1,4.892966360856269
Sample 2,0.9174311926605505
Sample 3,0.40774719673802245
Sample 4,0.40774719673802245
Sample 5,0.20387359836901123
Sample 60,0.3058103975535168
Sample 6,0.20387359836901123
Sample 7,0.7135575942915392
Sample 8,0.3058103975535168
Sample 9,3.9755351681957185
Sample 62,0.6116207951070336
Sample 10,0.509683995922528
Sample 11,0.3058103975535168
Sample 21,0.20387359836901123
Sample 12,0.20387359836901123
Sample 13,0.6116207951070336
Sample 63,0.509683995922528
Sample 14,0.509683995922528
Sample 15,0.509683995922528
Sample 23,1.1213047910295617
Sample 16,0.6116207951070336
Sample 17,0.509683995922528
Sample 64,1.6309887869520898
Sample 18,0.8154943934760449
Sample 19,0.9174311926605505
Sample 26,0.40774719673802245
Sample 20,0.3058103975535168
Sample 22,0.8154943934760449
Sample 24,0.20387359836901123
Sample 25,0.40774719673802245
Sample 30,0.10193679918450561
Sample 53,0.7135575942915392
Sample 32,1.6309887869520898
Sample 33,4.587155963302752
Sample 67,16.309887869520896
Sample 34,1.529051987767584
Sample 36,3.873598369011213
Sample 68,13.761467889908257
Sample 38,2.1406727828746175
Sample 39,5.81039755351682
Sample 41,2.344546381243629
Sample 69,10.703363914373089
Sample 43,2.2426095820591234
Sample 91,0.40774719673802245
Sample 45,0.9174311926605505
Sample 70,2.54841997961264
Sample 46,35.57594291539245
Sample 47,0.20387359836901123
Sample 92,0.3058103975535168
Sample 48,3.2619775739041796
Sample 49,1.1213047910295617
Sample 71,13.25178389398573
Sample 50,9.683995922528032
Sample 93,0.7135575942915392
Sample 54,1.4271151885830784
Sample 55,0.3058103975535168
Sample 57,24.057084607543324
Sample 94,0.3058103975535168
Sample 73,7.237512742099899
Sample 74,0.8154943934760449
Sample 80,1.834862385321101
Sample 81,1.4271151885830784
Sample 96,0.40774719673802245
Sample 75,0.9174311926605505
Sample 85,0.40774719673802245
Sample 86,0.7135575942915392
Sample 88,0.7135575942915392
Sample 89,3.058103975535168
Sample 72,1.4271151885830784
Sample 82,2.038735983690112
Sample 35,11.722731906218145
Sample 78,2.4464831804281344
Sample 77,0.6116207951070336
Sample 95,12.232415902140673
Sample 29,7.543323139653414
Sample 37,1.2232415902140672
Sample 79,7.135575942915392
Sample 61,10.805300713557594
Sample 66,1.529051987767584
Sample 31,21.202854230377167
Sample 52,29.153924566768602
Sample 76,8.56269113149847
Sample 83,9.887869520897045
Sample 87,4.17940876656473
Sample 90,23.44546381243629
