gene,string_id
(FM-3),['9606.ENSP00000305877']
(ppGpp)ase,['9606.ENSP00000377814']
0610011B16Rik,['9606.ENSP00000251166']
0610037N12Rik,['9606.ENSP00000304353']
0710008D09Rik,['9606.ENSP00000467262']
1-8D,"['9606.ENSP00000484689', '9606.ENSP00000484689', '9606.ENSP00000484689']"
1-8U,"['9606.ENSP00000382707', '9606.ENSP00000382707', '9606.ENSP00000382707']"
1-AGPAT1,['9606.ENSP00000378877']
1-AGPAT2,['9606.ENSP00000360761']
1-AGPAT4,['9606.ENSP00000314036']
1-AGPAT_3,['9606.ENSP00000291572']
1-AGPAT_6,['9606.ENSP00000380184']
1-Cys,"['9606.ENSP00000342026', '9606.ENSP00000342026', '9606.ENSP00000342026']"
10-FTHFDH,['9606.ENSP00000273450']
10-fTHF,"['9606.ENSP00000273450', '9606.ENSP00000273450', '9606.ENSP00000273450']"
101F10.1,"['9606.ENSP00000219837', '9606.ENSP00000219837', '9606.ENSP00000219837']"
101F6,"['9606.ENSP00000391209', '9606.ENSP00000391209', '9606.ENSP00000391209', '9606.ENSP00000391209']"
103AS,"['9606.ENSP00000339634', '9606.ENSP00000339634']"
104p,['9606.ENSP00000261965']
10C,"['9606.ENSP00000499232', '9606.ENSP00000499232', '9606.ENSP00000499232']"
10q23del,"['9606.ENSP00000361021', '9606.ENSP00000361107']"
11-DH,['9606.ENSP00000355995']
11-DH3,['9606.ENSP00000480443']
11-beta-HSD1,['9606.ENSP00000355995']
11-beta-HSD3,['9606.ENSP00000480443']
1110001C14Rik,['9606.ENSP00000337701']
1110008L20Rik,['9606.ENSP00000371811']
1110019O13Rik,['9606.ENSP00000389903']
1110035O14Rik,['9606.ENSP00000222553']
1110046B12Rik,['9606.ENSP00000288078']
1190004M21Rik,['9606.ENSP00000357442']
11B6,"['9606.ENSP00000364193', '9606.ENSP00000364193', '9606.ENSP00000364193']"
11orf9,['9606.ENSP00000278836']
12-HETER,"['9606.ENSP00000355799', '9606.ENSP00000355799', '9606.ENSP00000355799']"
12-LOX,"['9606.ENSP00000251535', '9606.ENSP00000293761']"
123F2,"['9606.ENSP00000349547', '9606.ENSP00000349547', '9606.ENSP00000349547']"
12CC4,"['9606.ENSP00000484803', '9606.ENSP00000484803', '9606.ENSP00000497585']"
12LO,['9606.ENSP00000251535']
12R-LOX,"['9606.ENSP00000497784', '9606.ENSP00000497784', '9606.ENSP00000497784']"
12S-LOX,"['9606.ENSP00000251535', '9606.ENSP00000251535', '9606.ENSP00000251535']"
133K02,"['9606.ENSP00000341597', '9606.ENSP00000341597', '9606.ENSP00000341597']"
13CDNA73,"['9606.ENSP00000445043', '9606.ENSP00000445043', '9606.ENSP00000445043']"
14-3-3,"['9606.ENSP00000371267', '9606.ENSP00000371267', '9606.ENSP00000371267']"
14-3-3-zeta,"['9606.ENSP00000379287', '9606.ENSP00000379287', '9606.ENSP00000379287']"
14-3-3?,['9606.ENSP00000306330']
14-3-3E,['9606.ENSP00000264335']
14-3-3GAMMA,"['9606.ENSP00000306330', '9606.ENSP00000306330', '9606.ENSP00000306330']"
14-3-3γ,['9606.ENSP00000306330']
14.1,"['9606.ENSP00000329312', '9606.ENSP00000329312', '9606.ENSP00000329312']"
15-LOX,['9606.ENSP00000293761']
15-LOX-1,"['9606.ENSP00000293761', '9606.ENSP00000293761', '9606.ENSP00000293761']"
15-LOX-2,"['9606.ENSP00000369530', '9606.ENSP00000369530', '9606.ENSP00000369530']"
15-PGDH,['9606.ENSP00000296522']
15.212,"['9606.ENSP00000339634', '9606.ENSP00000339634']"
15.5K,"['9606.ENSP00000383949', '9606.ENSP00000383949', '9606.ENSP00000383949']"
150-225,['9606.ENSP00000265131']
1500003D12Rik,['9606.ENSP00000237380']
156DAG,"['9606.ENSP00000442600', '9606.ENSP00000442600', '9606.ENSP00000442600']"
15E1.1,['9606.ENSP00000449795']
15E1.2,"['9606.ENSP00000446872', '9606.ENSP00000446872', '9606.ENSP00000446872', '9606.ENSP00000446872']"
16.3A5,"['9606.ENSP00000498879', '9606.ENSP00000498879', '9606.ENSP00000498879']"
160-KD,['9606.ENSP00000326261']
1600019D15Rik,['9606.ENSP00000422473']
16A,"['9606.ENSP00000358777', '9606.ENSP00000358777', '9606.ENSP00000358777']"
16E1BP,"['9606.ENSP00000166345', '9606.ENSP00000166345', '9606.ENSP00000166345']"
16G2,['9606.ENSP00000265029']
17-1A,"['9606.ENSP00000263735', '9606.ENSP00000263735']"
17-BETA-HSD11,"['9606.ENSP00000351035', '9606.ENSP00000351035', '9606.ENSP00000351035']"
17-BETA-HSDXI,"['9606.ENSP00000351035', '9606.ENSP00000351035', '9606.ENSP00000351035']"
17-beta-HSD,['9606.ENSP00000225929']
1700010H15RiK,"['9606.ENSP00000452037', '9606.ENSP00000452037']"
1700027G07Rik,['9606.ENSP00000326022']
1700028P05Rik,['9606.ENSP00000480715']
170A,"['9606.ENSP00000364543', '9606.ENSP00000364543', '9606.ENSP00000364543']"
17BHSD11,['9606.ENSP00000351035']
17b-HSD10,"['9606.ENSP00000168216', '9606.ENSP00000168216', '9606.ENSP00000168216']"
17orf28,['9606.ENSP00000413520']
1810012E07Rik,['9606.ENSP00000452697']
1810061I13Rik,['9606.ENSP00000298527']
